research_period,feature,role,quintile,n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q1,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q2,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q3,72,54.166666666666664,56.043956043956044,-1.8772893772893795
DISCOVERY,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q4,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q5,73,50.68493150684932,56.043956043956044,-5.359024537106727
DISCOVERY,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q1,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q2,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q3,72,56.94444444444444,56.043956043956044,0.9004884004883991
DISCOVERY,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q4,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q5,73,49.31506849315068,56.043956043956044,-6.728887550805361
DISCOVERY,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q1,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q2,73,65.75342465753425,56.043956043956044,9.70946861357821
DISCOVERY,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q3,72,52.77777777777778,56.043956043956044,-3.2661782661782652
DISCOVERY,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q4,73,57.534246575342465,56.043956043956044,1.490290531386421
DISCOVERY,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q5,73,50.68493150684932,56.043956043956044,-5.359024537106727
DISCOVERY,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q1,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q2,73,61.64383561643836,56.043956043956044,5.599879572482315
DISCOVERY,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q3,72,58.333333333333336,56.043956043956044,2.289377289377292
DISCOVERY,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q4,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q5,73,49.31506849315068,56.043956043956044,-6.728887550805361
VALIDATION,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q1,70,65.71428571428571,57.840616966580974,7.873668747704734
VALIDATION,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q2,55,58.18181818181818,57.840616966580974,0.3412012152372057
VALIDATION,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q3,87,50.57471264367816,57.840616966580974,-7.265904322902813
VALIDATION,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q4,78,58.97435897435897,57.840616966580974,1.1337420077779967
VALIDATION,a43_stock_vs_market_avg_open_rs_pp,PRIMARY,Q5,99,57.57575757575758,57.840616966580974,-0.26485939082339627
VALIDATION,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q1,63,61.904761904761905,57.840616966580974,4.064144938180931
VALIDATION,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q2,57,64.91228070175438,57.840616966580974,7.071663735173409
VALIDATION,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q3,90,51.111111111111114,57.840616966580974,-6.72950585546986
VALIDATION,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q4,82,57.31707317073171,57.840616966580974,-0.5235437958492639
VALIDATION,a43_stock_vs_spy_open_rs_pp,ROBUSTNESS,Q5,97,57.7319587628866,57.840616966580974,-0.10865820369437529
VALIDATION,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q1,61,59.01639344262295,57.840616966580974,1.1757764760419747
VALIDATION,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q2,59,66.10169491525424,57.840616966580974,8.261077948673268
VALIDATION,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q3,88,51.13636363636363,57.840616966580974,-6.704253330217341
VALIDATION,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q4,85,52.94117647058823,57.840616966580974,-4.899440495992742
VALIDATION,a43_stock_vs_qqq_open_rs_pp,ROBUSTNESS,Q5,96,62.5,57.840616966580974,4.659383033419026
VALIDATION,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q1,76,69.73684210526316,57.840616966580974,11.89622513868219
VALIDATION,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q2,69,53.6231884057971,57.840616966580974,-4.217428560783873
VALIDATION,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q3,63,44.44444444444444,57.840616966580974,-13.396172522136531
VALIDATION,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q4,79,62.0253164556962,57.840616966580974,4.184699489115225
VALIDATION,a43_stock_vs_dia_open_rs_pp,ROBUSTNESS,Q5,102,56.86274509803921,57.840616966580974,-0.9778718685417616
