quarter,relative_consensus_5d,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,BOTH_RELATIVE_ALIGNED,276,274,138,136,0,2,50.36496350364963,47.82608695652174,1.2703469367898108,1.2898968091582905,0.9192705306240914,0.99362050107655,101,19
2025Q2,BOTH_RELATIVE_OPPOSING,227,224,109,115,0,3,48.660714285714285,49.33920704845815,1.0841057296298335,1.1932650711412698,0.8271099333493946,0.9535838332807195,94,19
2025Q2,MIXED,43,39,20,19,0,4,51.282051282051285,44.18604651162791,0.98045351834068,0.6980698247944412,0.5728112191990502,0.5588523362332194,24,17
2025Q2,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6
2025Q3,BOTH_RELATIVE_ALIGNED,719,710,326,384,2,7,45.91549295774648,40.055632823365784,1.160314345743599,1.2785161725371992,0.815252396989262,0.9436509628366356,110,64
2025Q3,BOTH_RELATIVE_OPPOSING,792,779,365,414,7,6,46.85494223363286,42.42424242424242,1.1890014718224333,1.2639894989665326,0.907608722912178,0.8983300224996574,110,64
2025Q3,MIXED,114,101,52,49,0,13,51.48514851485149,53.50877192982456,0.8584655981835566,0.8971781573386461,0.6572909511696686,0.5870979025882932,56,46
2025Q4,BOTH_RELATIVE_ALIGNED,817,801,398,403,3,13,49.68789013732834,45.165238678090574,1.402601948140016,1.3048017972407258,0.9912650898027335,0.915658215616808,110,64
2025Q4,BOTH_RELATIVE_OPPOSING,719,698,391,307,2,19,56.01719197707737,51.182197496522946,1.4571008420245704,1.3109277128627217,1.0602973965768938,0.8452975673327576,109,64
2025Q4,MIXED,166,154,79,75,0,12,51.298701298701296,44.57831325301205,1.0264254881733865,1.093957742234823,0.7102475999521998,0.867145221877173,76,51
2026Q1,BOTH_RELATIVE_ALIGNED,749,736,387,349,12,1,52.58152173913044,48.197596795727634,1.6983358032512146,1.5072802336496693,1.2257651017465159,1.1097020933977408,110,61
2026Q1,BOTH_RELATIVE_OPPOSING,699,687,366,321,12,0,53.275109170305676,46.9241773962804,1.6819726479925865,1.4372328356820623,1.2398808269884753,1.1047187469214796,107,61
2026Q1,MIXED,121,118,57,61,0,3,48.30508474576271,43.80165289256198,1.237459883353962,1.16019617188051,0.9288824383164014,0.8595275536124775,61,49
2026Q2,BOTH_RELATIVE_ALIGNED,687,677,351,326,9,1,51.84638109305761,51.09170305676856,1.938638016159927,1.607628353487867,1.3023877108031316,1.1406708145605438,109,62
2026Q2,BOTH_RELATIVE_OPPOSING,769,754,363,391,12,3,48.143236074270554,44.993498049414825,1.6981138247601786,1.599756968039986,1.205913934087723,1.141360501718048,110,62
2026Q2,MIXED,171,162,85,77,1,8,52.46913580246913,47.36842105263158,1.3406598209576732,1.373558429191427,0.8254612871899023,0.7950467881516889,70,53
2026Q3,BOTH_RELATIVE_ALIGNED,464,448,203,245,13,3,45.3125,43.31896551724138,1.6884485703104735,1.640996237600737,1.2242370071397648,1.1844718714750593,107,41
2026Q3,BOTH_RELATIVE_OPPOSING,500,492,241,251,7,1,48.983739837398375,50.2,1.6653972962667303,1.6095536792633671,1.131589533531064,1.1624631587770304,108,41
2026Q3,MIXED,131,123,56,67,1,7,45.52845528455285,54.961832061068705,1.1549134931026388,1.3131459757801545,0.7295851017018902,0.9230769230769144,62,40
