feature,research_period,n,winner_mean,loser_mean,outcome_difference,confirmed_mean,not_confirmed_mean,confirmation_difference
directional_stock_vs_spy_1d_pct,DISCOVERY,4173,0.08344807001995432,0.10708563381361312,-0.023637563793658806,0.12206563145247383,0.07170372145348566,0.050361909998988166
directional_stock_vs_spy_1d_pct,VALIDATION,4134,0.3103654884373991,0.14123099318364998,0.1691344952537491,0.3082476115023814,0.15144930997413117,0.15679830152825022
directional_stock_vs_qqq_1d_pct,DISCOVERY,4173,0.07875108403390298,0.10589404734540638,-0.0271429633115034,0.1231099170463699,0.06536486453180133,0.05774505251456856
directional_stock_vs_qqq_1d_pct,VALIDATION,4134,0.27783327367083516,0.061081883306178614,0.21675139036465654,0.2700496743875399,0.0796848615468145,0.1903648128407254
directional_stock_vs_market_avg_1d_pct,DISCOVERY,4173,0.08109957702692865,0.10648984057950975,-0.025390263552581102,0.12258777424942188,0.06853429299264349,0.05405348125677839
directional_stock_vs_market_avg_1d_pct,VALIDATION,4134,0.2940993810541172,0.10115643824491431,0.19294294280920288,0.2891486429449606,0.11556708576047285,0.17358155718448776
directional_stock_vs_spy_5d_pct,DISCOVERY,4173,0.03970139983852955,0.2581508556102305,-0.21844945577170094,0.07637268503769949,0.1848931350088952,-0.10852044997119571
directional_stock_vs_spy_5d_pct,VALIDATION,4134,-0.2572992222220119,-0.02566463676191826,-0.23163458546009363,-0.16743160632729745,-0.08720494255949895,-0.0802266637677985
directional_stock_vs_qqq_5d_pct,DISCOVERY,4173,0.04779170525004367,0.27707520546701814,-0.22928350021697447,0.10445019796353472,0.18726046195656376,-0.08281026399302904
directional_stock_vs_qqq_5d_pct,VALIDATION,4134,-0.23613125063449927,-0.15995121143717583,-0.07618003919732344,-0.17750743827115323,-0.18428063673598188,0.006773198464828656
directional_stock_vs_market_avg_5d_pct,DISCOVERY,4173,0.04374655254428659,0.26761303053862423,-0.22386647799433765,0.09041144150061708,0.18607679848272946,-0.09566535698211237
directional_stock_vs_market_avg_5d_pct,VALIDATION,4134,-0.2467152364282556,-0.09280792409954701,-0.15390731232870858,-0.17246952229922524,-0.13574278964774042,-0.03672673265148482
directional_stock_vs_spy_10d_pct,DISCOVERY,4173,-0.09985045504840982,0.3320213296063737,-0.43187178465478354,-0.0011963628066708966,0.19563231910544657,-0.19682868191211747
directional_stock_vs_spy_10d_pct,VALIDATION,4134,-0.08404380727345939,0.10920601558902916,-0.19324982286248854,-0.022626905840807923,0.05168873603198095,-0.07431564187278887
directional_stock_vs_qqq_10d_pct,DISCOVERY,4173,-0.06984444105087058,0.3465406619183398,-0.4163851029692104,0.03616258345145543,0.2074193561719134,-0.17125677272045797
directional_stock_vs_qqq_10d_pct,VALIDATION,4134,-0.1825238372598756,0.08860833464028703,-0.2711321719001626,-0.08693725599208232,0.010852179053201258,-0.09778943504528358
directional_stock_vs_market_avg_10d_pct,DISCOVERY,4173,-0.08484744804964021,0.3392809957623567,-0.42412844381199694,0.017483110322392272,0.20152583763867996,-0.18404272731628768
directional_stock_vs_market_avg_10d_pct,VALIDATION,4134,-0.13328382226666757,0.09890717511465813,-0.2321909973813257,-0.05478208091644512,0.03127045754259105,-0.08605253845903617
directional_stock_vs_spy_1w_pct,DISCOVERY,4173,0.02376841417866597,0.16605644287643456,-0.1422880286977686,0.15236803228666979,0.026804978351024387,0.1255630539356454
directional_stock_vs_spy_1w_pct,VALIDATION,4134,-0.281543807425733,0.13225483391112042,-0.4137986413368534,-0.15588478247353083,0.014391555924604634,-0.17027633839813547
directional_stock_vs_qqq_1w_pct,DISCOVERY,4173,0.03280977361646254,0.21619529717101066,-0.18338552355454812,0.17404512601933522,0.06102110686307807,0.11302401915625715
directional_stock_vs_qqq_1w_pct,VALIDATION,4134,-0.27276163022879285,0.05663031253783517,-0.32939194276662803,-0.1272167926218271,-0.06395100367522448,-0.06326578894660263
directional_stock_vs_market_avg_1w_pct,DISCOVERY,4173,0.02828909389756433,0.19112587002372264,-0.16283677612615832,0.16320657915300257,0.04391304260705126,0.11929353654595132
directional_stock_vs_market_avg_1w_pct,VALIDATION,4134,-0.27715271882726294,0.09444257322447774,-0.3715952920517407,-0.14155078754767902,-0.024779723875309936,-0.11677106367236909
directional_stock_vs_spy_4w_pct,DISCOVERY,4173,-0.0725471699602288,0.14105209545218597,-0.21359926541241475,0.22781133907572967,-0.1458717939048084,0.37368313298053807
directional_stock_vs_spy_4w_pct,VALIDATION,4134,0.05119447938074005,0.23198717648408676,-0.18079269710334672,0.061715670408071535,0.05302457420122129,0.008691096206850248
directional_stock_vs_qqq_4w_pct,DISCOVERY,4173,-0.014288961953466357,0.1528387303662757,-0.16712769231974206,0.26262492535015974,-0.11628674410429773,0.3789116694544575
directional_stock_vs_qqq_4w_pct,VALIDATION,4134,0.009568916832248517,0.23731717862233148,-0.22774826179008295,0.06676560085700069,0.03936509677731433,0.027400504079686354
directional_stock_vs_market_avg_4w_pct,DISCOVERY,4173,-0.04341806595684757,0.14694541290923085,-0.19036347886607843,0.2452181322129447,-0.13107926900455302,0.3762974012174977
directional_stock_vs_market_avg_4w_pct,VALIDATION,4134,0.030381698106494354,0.234652177553209,-0.20427047944671464,0.06424063563253606,0.0461948354892679,0.018045800143268155
