research_period,volume_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,volume_feature,context_feature
DISCOVERY,BOTH_ABOVE_BASELINE,CONSENSUS_ALIGNED,676,668,342,326,1,7,51.19760479041916,45.11834319526627,1.4852256057418551,1.2999799923348254,1.0814386487397925,0.960549215000337,110,134,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_ABOVE_BASELINE,CONSENSUS_OPPOSING,733,717,343,374,11,5,47.83821478382148,42.97407912687585,1.3809842700877049,1.489339954688017,0.9531866892272897,1.1416434355502336,111,137,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_ABOVE_BASELINE,MIXED,64,64,31,33,0,0,48.4375,43.75,1.5698648018174612,1.784653402251766,1.1258298741331805,1.3437574569375599,54,6,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_BELOW_BASELINE,CONSENSUS_ALIGNED,594,573,290,283,0,21,50.610820244328096,42.76094276094276,1.101490590978097,1.1490054199397277,0.7750250132277257,0.7721528345788309,111,129,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_BELOW_BASELINE,CONSENSUS_OPPOSING,558,538,275,263,0,20,51.11524163568773,50.0,1.1794587302546886,1.1647695548126695,0.8550188114991313,0.7576122613157537,110,133,opening_participation_state,market_prior_5d_consensus
DISCOVERY,BOTH_BELOW_BASELINE,MIXED,22,22,9,13,0,0,40.90909090909091,27.272727272727273,1.845909769446792,1.5081212767312417,1.6312014606434575,1.0531217271416977,21,5,opening_participation_state,market_prior_5d_consensus
DISCOVERY,MIXED,CONSENSUS_ALIGNED,633,621,304,317,1,11,48.95330112721417,42.654028436018955,1.2938845867422457,1.1572447442475304,0.9211187405794746,0.7982583454281732,111,135,opening_participation_state,market_prior_5d_consensus
DISCOVERY,MIXED,CONSENSUS_OPPOSING,592,583,320,263,1,8,54.888507718696395,48.479729729729726,1.242237763506204,1.1175519112840326,0.9101931245239766,0.7873043229332534,110,137,opening_participation_state,market_prior_5d_consensus
DISCOVERY,MIXED,MIXED,48,46,19,27,0,2,41.30434782608695,62.5,1.3495518235773594,1.1124140688012798,0.9713582267592229,1.0357885423446391,44,6,opening_participation_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_ALIGNED,46,44,25,19,0,2,56.81818181818182,65.21739130434783,1.236110835980876,1.2684551927485164,0.9650363920561931,1.037725611642224,35,8,opening_participation_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,CONSENSUS_OPPOSING,64,61,31,30,0,3,50.81967213114754,62.5,0.9236141575794601,1.284298279261059,0.6349123008862757,0.9615146306149052,52,6,opening_participation_state,market_prior_5d_consensus
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.037823061218928,0.9549312853678329,0.7626422621142857,83,6,opening_participation_state,market_prior_5d_consensus
VALIDATION,BOTH_ABOVE_BASELINE,CONSENSUS_ALIGNED,733,714,327,387,16,3,45.79831932773109,45.70259208731242,1.6724699174399364,1.7303135507067895,1.1318879855465176,1.244792913574339,112,140,opening_participation_state,market_prior_5d_consensus
VALIDATION,BOTH_ABOVE_BASELINE,CONSENSUS_OPPOSING,657,640,332,308,14,3,51.875,49.31506849315068,2.0500566677161154,1.618951352378122,1.5568605496063104,1.1529717440727523,112,137,opening_participation_state,market_prior_5d_consensus
VALIDATION,BOTH_ABOVE_BASELINE,MIXED,122,120,70,50,2,0,58.333333333333336,50.81967213114754,1.660293568024925,1.5552961524200337,1.2291773359467841,1.1013134321964304,77,13,opening_participation_state,market_prior_5d_consensus
