research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ABOVE_BASELINE,1955,1922,952,970,12,21,49.53173777315297,45.1150895140665,1.3801609323253818,1.342804802081097,0.9796049462020225,0.9949687067195363,112,148,ALL,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,1971,1916,982,934,2,53,51.25260960334029,45.35768645357687,1.2149494380238341,1.1590588273130153,0.8644317942230733,0.7930828861061494,112,148,ALL,c1_rvol_20d_state
DISCOVERY,UNKNOWN,247,240,146,94,0,7,60.833333333333336,62.75303643724696,1.166212964951261,1.121889466189356,0.8776053910045483,0.8423586040914595,97,10,ALL,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,2042,1996,1006,990,38,8,50.40080160320641,47.40450538687561,1.7759054860837928,1.5901868736088491,1.2476869072507026,1.1335812619727383,112,159,ALL,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,2092,2044,992,1052,29,19,48.53228962818004,47.37093690248566,1.566518785030452,1.5133154108619313,1.1157327317508814,1.1041155226021935,112,158,ALL,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,984,965,468,497,10,9,48.49740932642487,43.59756097560975,1.4024833700378336,1.40209411836335,0.9945770113367384,1.0423135626095004,112,148,BEAR,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,990,963,477,486,1,26,49.532710280373834,44.84848484848485,1.2501921285205082,1.15385283452958,0.8716458078962517,0.8110480260203635,112,146,BEAR,c1_rvol_20d_state
DISCOVERY,UNKNOWN,147,144,82,62,0,3,56.94444444444444,62.585034013605444,1.0392623560340373,1.1520518300236502,0.7208062183658708,0.9682323757701913,83,10,BEAR,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,971,957,484,473,2,12,50.57471264367816,46.652935118434605,1.357539636023577,1.2827217050453226,0.9509767784740081,0.9338574447297296,112,145,BULL,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,981,953,505,448,1,27,52.990556138509966,45.87155963302752,1.1793834200914104,1.1643125814981337,0.8454673555659922,0.7650323275861984,111,143,BULL,c1_rvol_20d_state
DISCOVERY,UNKNOWN,100,96,64,32,0,4,66.66666666666667,63.0,1.3528303600595806,1.0775507913529436,1.1270586073079474,0.5746505841567794,61,10,BULL,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,982,959,498,461,16,7,51.92909280500521,48.06517311608961,1.7169105154113338,1.6024554100266153,1.2455871799020122,1.1380872773591164,112,154,BEAR,c1_rvol_20d_state
