research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ABOVE_BASELINE,984,965,468,497,10,9,48.49740932642487,43.59756097560975,1.4024833700378336,1.40209411836335,0.9945770113367384,1.0423135626095004,112,148,BEAR,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,990,963,477,486,1,26,49.532710280373834,44.84848484848485,1.2501921285205082,1.15385283452958,0.8716458078962517,0.8110480260203635,112,146,BEAR,c1_rvol_20d_state
DISCOVERY,UNKNOWN,147,144,82,62,0,3,56.94444444444444,62.585034013605444,1.0392623560340373,1.1520518300236502,0.7208062183658708,0.9682323757701913,83,10,BEAR,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,971,957,484,473,2,12,50.57471264367816,46.652935118434605,1.357539636023577,1.2827217050453226,0.9509767784740081,0.9338574447297296,112,145,BULL,c1_rvol_20d_state
DISCOVERY,BELOW_BASELINE,981,953,505,448,1,27,52.990556138509966,45.87155963302752,1.1793834200914104,1.1643125814981337,0.8454673555659922,0.7650323275861984,111,143,BULL,c1_rvol_20d_state
DISCOVERY,UNKNOWN,100,96,64,32,0,4,66.66666666666667,63.0,1.3528303600595806,1.0775507913529436,1.1270586073079474,0.5746505841567794,61,10,BULL,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,982,959,498,461,16,7,51.92909280500521,48.06517311608961,1.7169105154113338,1.6024554100266153,1.2455871799020122,1.1380872773591164,112,154,BEAR,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,1034,1018,496,522,8,8,48.722986247544206,47.77562862669246,1.5573001242268034,1.507453845395219,1.1129429572920442,1.1148694029548833,112,157,BEAR,c1_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1060,1037,508,529,22,1,48.98746383799421,46.79245283018868,1.8305593174048818,1.5788211162859758,1.2559861105255057,1.1324022916733605,112,157,BULL,c1_rvol_20d_state
VALIDATION,BELOW_BASELINE,1058,1026,496,530,21,11,48.34307992202729,46.975425330812854,1.5755283268744715,1.5190440107604004,1.1179874294995074,1.090399023673149,112,156,BULL,c1_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1114,1091,534,557,11,12,48.94592117323556,42.28007181328546,1.4292597589209362,1.3718227584352125,0.9904384452638417,1.0227238916035006,112,147,BEAR,c2_rvol_20d_state
DISCOVERY,BELOW_BASELINE,857,834,410,424,0,23,49.16067146282974,46.79113185530922,1.1942145956432118,1.151323075005316,0.8678309616213958,0.8016516219718384,112,143,BEAR,c2_rvol_20d_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1156,1141,590,551,3,12,51.70902716914987,46.02076124567474,1.3548286334154136,1.2762591487613693,0.9645558466871492,0.9072486297741482,112,147,BULL,c2_rvol_20d_state
DISCOVERY,BELOW_BASELINE,793,766,399,367,0,27,52.088772845953,46.658259773013874,1.143974440133529,1.1445047972424927,0.8099396677594418,0.750828500414259,112,145,BULL,c2_rvol_20d_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,c2_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1133,1108,562,546,18,7,50.72202166064982,47.308031774051194,1.7221350784971294,1.6166112647019533,1.2284716367577937,1.1770843522775485,112,158,BEAR,c2_rvol_20d_state
VALIDATION,BELOW_BASELINE,883,869,432,437,6,8,49.712313003452245,48.69762174405436,1.5233017108122273,1.4730440836664556,1.114388725008205,1.0747663551401834,111,156,BEAR,c2_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1236,1205,591,614,28,3,49.045643153526974,47.896440129449836,1.8006597836255083,1.5963269215097091,1.264465911116607,1.136689795109338,112,159,BULL,c2_rvol_20d_state
VALIDATION,BELOW_BASELINE,882,858,413,445,15,9,48.13519813519814,45.46485260770975,1.566537816010474,1.4825837547184102,1.1001167902282187,1.0820799807202728,112,157,BULL,c2_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1026,1005,488,517,10,11,48.55721393034826,42.69005847953216,1.4250261910928592,1.3938713634689834,1.0247728078951281,1.0521164220564088,112,146,BEAR,opening_2m_rvol_20d_state
DISCOVERY,BELOW_BASELINE,944,919,455,464,1,24,49.51033732317737,45.86864406779661,1.221448739721551,1.147879051412761,0.8629699960964178,0.7956399428692673,112,144,BEAR,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,151,148,84,64,0,3,56.75675675675676,62.25165562913907,1.0290127637822317,1.1762694981090995,0.711703569814726,0.9726443768996944,86,14,BEAR,opening_2m_rvol_20d_state
DISCOVERY,ABOVE_BASELINE,1022,1011,517,494,2,9,51.137487636003954,45.89041095890411,1.3711054345414417,1.2883377054028304,0.9734082742478929,0.9292112400790831,112,145,BULL,opening_2m_rvol_20d_state
DISCOVERY,BELOW_BASELINE,927,896,472,424,1,30,52.67857142857143,46.709816612729234,1.1565090368422366,1.150233813656685,0.8156840297653225,0.7650323275861984,111,141,BULL,opening_2m_rvol_20d_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,opening_2m_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1023,998,528,470,18,7,52.90581162324649,48.582600195503424,1.72232265844656,1.5992613887019593,1.2454212454212448,1.1631825021078874,112,158,BEAR,opening_2m_rvol_20d_state
VALIDATION,BELOW_BASELINE,993,979,466,513,6,8,47.599591419816136,47.230614300100704,1.5451343152000139,1.5068218410298981,1.110733310665311,1.1000793114590384,112,156,BEAR,opening_2m_rvol_20d_state
VALIDATION,ABOVE_BASELINE,1131,1103,531,572,27,1,48.14143245693563,46.50751547303271,1.804560364873147,1.6132145054242983,1.2747671098549185,1.1529717440727523,112,157,BULL,opening_2m_rvol_20d_state
VALIDATION,BELOW_BASELINE,987,960,473,487,16,11,49.270833333333336,47.31509625126646,1.5869747452997327,1.4753326656664203,1.0996766543340843,1.0731302181230111,112,154,BULL,opening_2m_rvol_20d_state
DISCOVERY,C2_VOLUME_ACCELERATING,144,141,76,65,2,1,53.90070921985816,48.611111111111114,1.4134345703686395,1.2333159502611981,1.0634296649543198,0.9581021213694119,45,96,BEAR,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,1977,1931,951,980,9,37,49.24909373381668,45.27061203844208,1.2984172137361916,1.2714866165046457,0.914628017769918,0.9161250872145347,112,158,BEAR,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_ACCELERATING,129,126,61,65,0,3,48.41269841269841,46.51162790697674,1.2536911514748466,1.3796191030263898,0.8713720758764069,0.9482129832239253,47,80,BULL,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,1923,1880,992,888,3,40,52.765957446808514,47.113884555382214,1.2733764946200052,1.2051469749836543,0.9109086869584551,0.8391406911206097,112,158,BULL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,172,169,99,70,2,1,58.57988165680474,48.83720930232558,1.8135217196940017,1.5758877129937723,1.381219188645664,1.1497478556814353,45,106,BEAR,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,1844,1808,895,913,22,14,49.50221238938053,47.83080260303688,1.618399522124228,1.5516625825107724,1.1539344588276534,1.1186699602925951,112,159,BEAR,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,171,160,83,77,11,0,51.875,46.198830409356724,1.7240002670226942,1.5086990895746648,1.226842634203695,1.1801260991567486,43,101,BULL,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,1947,1903,921,982,32,12,48.39726747241198,46.94401643554186,1.7013342581517643,1.5524968681717362,1.1700992861245583,1.1164219031500793,112,159,BULL,c2_vs_c1_volume_state
DISCOVERY,BOTH_ABOVE_BASELINE,735,719,345,374,10,6,47.98331015299026,41.7687074829932,1.4499912226806169,1.5141713780612642,0.9862021155265391,1.1553736911782329,112,141,BEAR,opening_participation_state
DISCOVERY,BOTH_BELOW_BASELINE,611,591,288,303,0,20,48.73096446700507,45.826513911620296,1.1640562757244415,1.1898849691693723,0.8219178082191815,0.8093731775849649,111,135,BEAR,opening_participation_state
DISCOVERY,MIXED,625,615,311,304,1,9,50.56910569105691,45.6,1.3418485548260295,1.0799339986221876,1.0023217622742002,0.8054388050704159,112,140,BEAR,opening_participation_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,opening_participation_state
DISCOVERY,BOTH_ABOVE_BASELINE,738,730,371,359,2,6,50.821917808219176,46.205962059620596,1.4241216505445067,1.3167676374982957,1.019197061777026,0.957632706409191,111,142,BULL,opening_participation_state
DISCOVERY,BOTH_BELOW_BASELINE,563,542,286,256,0,21,52.76752767527675,46.00355239786856,1.139955618087569,1.134297660666552,0.8078767987881855,0.7332763507130304,110,134,BULL,opening_participation_state
DISCOVERY,MIXED,648,635,332,303,1,12,52.28346456692913,46.60493827160494,1.2045630249520978,1.1922280567167107,0.8692865629464053,0.8168383019078522,111,143,BULL,opening_participation_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,opening_participation_state
VALIDATION,BOTH_ABOVE_BASELINE,721,702,356,346,14,5,50.712250712250714,47.8502080443828,1.7792472052348176,1.674021413264239,1.3044214806030845,1.2293942034897727,112,150,BEAR,opening_participation_state
VALIDATION,BOTH_BELOW_BASELINE,622,612,290,322,4,6,47.38562091503268,48.71382636655949,1.5143191631632966,1.501697993882412,1.0923806764557211,1.1063179313718736,109,146,BEAR,opening_participation_state
VALIDATION,MIXED,673,663,348,315,6,4,52.48868778280543,47.25111441307578,1.5921407134064942,1.4729463560570826,1.150999380481911,1.054960013612379,112,151,BEAR,opening_participation_state
VALIDATION,BOTH_ABOVE_BASELINE,791,772,373,399,18,1,48.3160621761658,47.53476611883691,1.8868852850792646,1.662133454882719,1.2785309764887547,1.1801260991567486,112,152,BULL,opening_participation_state
VALIDATION,BOTH_BELOW_BASELINE,613,593,278,315,11,9,46.880269814502526,45.840130505709624,1.5233600942410461,1.5478565272605775,1.059398019146405,1.1250092517208277,110,144,BULL,opening_participation_state
VALIDATION,MIXED,714,698,353,345,14,2,50.5730659025788,47.05882352941177,1.653999787135723,1.4245312781858166,1.1803833248517486,1.0645398060945133,112,156,BULL,opening_participation_state
DISCOVERY,HIGH,409,399,194,205,9,1,48.62155388471178,42.54278728606357,1.5280671446409269,1.630136764141415,1.1575691048797492,1.167810242195662,109,133,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,LOW,402,388,205,183,1,13,52.83505154639175,47.2636815920398,1.2721468685538433,1.1600081977531462,0.8823740405542126,0.8360004691736225,102,130,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,MODERATE,1163,1141,546,595,1,21,47.852760736196316,43.76612209802236,1.2737328805122505,1.194261123493738,0.9007053716766139,0.8892512228772145,111,145,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,147,144,82,62,0,3,56.94444444444444,62.585034013605444,1.0392623560340373,1.1520518300236502,0.7208062183658708,0.9682323757701913,83,10,BEAR,c1_rvol_20d_discovery_state
DISCOVERY,HIGH,377,375,177,198,1,1,47.2,43.236074270557026,1.5631400543901617,1.489028023798921,1.0937205841772817,1.0503354909073637,108,127,BULL,c1_rvol_20d_discovery_state
DISCOVERY,LOW,384,371,195,176,0,13,52.56064690026954,47.65625,1.2249906321019386,1.1495900425908563,0.8308776753882376,0.7204683464937566,106,121,BULL,c1_rvol_20d_discovery_state
DISCOVERY,MODERATE,1191,1164,617,547,2,25,53.00687285223368,46.76742233417296,1.188451652776097,1.1628104758367719,0.8719902583415292,0.8431952662721793,111,144,BULL,c1_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,100,96,64,32,0,4,66.66666666666667,63.0,1.3528303600595806,1.0775507913529436,1.1270586073079474,0.5746505841567794,61,10,BULL,c1_rvol_20d_discovery_state
VALIDATION,HIGH,366,357,189,168,9,0,52.94117647058823,48.36065573770492,1.864308294140929,1.6106926274401838,1.4735859358613146,1.3481299620879272,106,125,BEAR,c1_rvol_20d_discovery_state
VALIDATION,LOW,428,422,215,207,3,3,50.947867298578196,48.36448598130841,1.6244801738220171,1.5533580909600202,1.192332512836868,1.135101643526026,106,138,BEAR,c1_rvol_20d_discovery_state
VALIDATION,MODERATE,1222,1198,590,608,12,12,49.248747913188645,47.62684124386252,1.5700819186031432,1.5367984649842856,1.1111152501205974,1.0933464815027547,111,157,BEAR,c1_rvol_20d_discovery_state
VALIDATION,HIGH,432,417,208,209,15,0,49.88009592326139,47.916666666666664,1.938644989674243,1.7626002927995201,1.3835785905309672,1.2267385364698247,107,136,BULL,c1_rvol_20d_discovery_state
VALIDATION,LOW,445,427,207,220,14,4,48.477751756440284,44.26966292134831,1.5509469578851236,1.6113926936910163,1.0633687789592914,1.2216233872284856,107,140,BULL,c1_rvol_20d_discovery_state
VALIDATION,MODERATE,1241,1219,589,630,14,8,48.31829368334701,47.46172441579372,1.6757742260146757,1.4522045700771498,1.1682242990654206,1.057529151977679,111,157,BULL,c1_rvol_20d_discovery_state
DISCOVERY,HIGH,393,384,192,192,7,2,50.0,42.49363867684478,1.5040007451645276,1.6403756725870833,1.0647565579324445,1.2274069086954293,103,128,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,LOW,408,398,198,200,0,10,49.74874371859296,45.833333333333336,1.1883647099159744,1.1905611546738422,0.8917895219454881,0.7985173907043667,108,127,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,MODERATE,1170,1143,554,589,4,23,48.46894138232721,44.27350427350427,1.3159933208622039,1.183314391233104,0.9256579998078385,0.8805182272148362,111,148,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,150,147,83,64,0,3,56.46258503401361,62.0,1.0324541985691964,1.1762140632727631,0.7162548940902984,0.9704383763349429,85,13,BEAR,c2_rvol_20d_discovery_state
DISCOVERY,HIGH,391,386,200,186,2,3,51.81347150259067,48.33759590792839,1.5325177892576898,1.3362486833417202,1.0739127864588554,0.9282764004902324,105,130,BULL,c2_rvol_20d_discovery_state
DISCOVERY,LOW,376,365,194,171,0,11,53.15068493150685,44.9468085106383,1.1614761208083648,1.0979556637207757,0.8486173580968924,0.7107847508568104,107,125,BULL,c2_rvol_20d_discovery_state
DISCOVERY,MODERATE,1182,1156,595,561,1,25,51.470588235294116,46.02368866328257,1.2160948851357063,1.2247405375937521,0.8841382611712354,0.8596516250080848,112,147,BULL,c2_rvol_20d_discovery_state
DISCOVERY,UNKNOWN,103,99,64,35,0,4,64.64646464646465,62.13592233009709,1.330830353790468,1.0924331747818619,1.1239515043647987,0.6424622740176265,63,13,BULL,c2_rvol_20d_discovery_state
VALIDATION,HIGH,373,365,195,170,8,0,53.42465753424658,46.64879356568365,1.8667843677428808,1.6842149419303645,1.4295925661186637,1.3199942016317552,99,142,BEAR,c2_rvol_20d_discovery_state
VALIDATION,LOW,439,434,226,208,2,3,52.07373271889401,50.569476082004556,1.484635439590161,1.4101322275042598,1.067785624125813,1.0328679592104621,105,142,BEAR,c2_rvol_20d_discovery_state
VALIDATION,MODERATE,1204,1178,573,605,14,12,48.64176570458404,47.3421926910299,1.6180971158108548,1.5656630129322235,1.160516162307164,1.100404432383813,112,159,BEAR,c2_rvol_20d_discovery_state
VALIDATION,HIGH,476,456,224,232,20,0,49.12280701754386,47.26890756302521,1.8932182515446276,1.7261810872830836,1.380339869775474,1.2581795252698933,106,140,BULL,c2_rvol_20d_discovery_state
VALIDATION,LOW,392,377,192,185,8,7,50.92838196286472,47.95918367346939,1.5517118699839765,1.4218645444366662,1.129135000019006,1.057889449458981,109,139,BULL,c2_rvol_20d_discovery_state
VALIDATION,MODERATE,1250,1230,588,642,15,5,47.80487804878049,46.4,1.6782871244107236,1.5213326781453735,1.1514763726664934,1.0826321974561455,112,159,BULL,c2_rvol_20d_discovery_state
