research_period,candidate_state,aligned_exhaustion_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,OTHER,MULTIPLE,904,892,420,472,1,11,47.08520179372197,43.915929203539825,1.5495630822413236,1.4589491602483116,1.0722134812537236,1.07567701191299,107,153,positive_candidate_state
DISCOVERY,OTHER,NONE,1888,1826,985,841,4,58,53.943044906900326,47.722457627118644,1.1305850271115767,1.0444119298375818,0.8364901505359637,0.766334987828974,112,161,positive_candidate_state
DISCOVERY,OTHER,ONE,619,614,299,315,1,4,48.697068403908794,43.941841680129244,1.3014302994180789,1.3494634552352036,0.9004147978282069,0.9702254694005809,109,156,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,MULTIPLE,17,17,7,10,0,0,41.1764705882353,47.05882352941177,1.867882104624692,1.9208591687054262,1.4456791455388969,1.3164687661331884,12,16,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,NONE,767,753,388,365,6,8,51.527224435590966,48.5006518904824,1.3792565144795375,1.3194156739502256,0.9479166666666631,0.8895038545166943,109,148,positive_candidate_state
DISCOVERY,POSITIVE_CANDIDATE,ONE,77,75,35,40,2,0,46.666666666666664,45.45454545454545,1.2389626580477315,1.745279047413931,0.9106732928029094,1.2605284888521873,39,54,positive_candidate_state
VALIDATION,OTHER,MULTIPLE,1154,1127,535,592,26,1,47.47116237799467,45.320623916811094,1.9434783020668918,1.7803081847962257,1.3667475741612993,1.2912079414644022,112,159,positive_candidate_state
VALIDATION,OTHER,NONE,1606,1568,750,818,15,23,47.83163265306123,47.38480697384807,1.289932477921811,1.3484673255373447,0.9274407263095255,0.9801856065746389,112,161,positive_candidate_state
VALIDATION,OTHER,ONE,681,670,331,339,9,2,49.40298507462686,45.22760646108664,1.6683487379307815,1.5313669887724084,1.1963737243634303,1.1617302180144111,111,157,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,MULTIPLE,33,31,16,15,2,0,51.61290322580645,51.515151515151516,3.4142909828655896,2.0456612110548975,2.904396934247676,1.6377236629650342,23,22,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,NONE,617,600,332,268,15,2,55.333333333333336,51.053484602917344,1.9291306600986668,1.612550313602301,1.4600262123197885,1.161751563896349,106,143,positive_candidate_state
VALIDATION,POSITIVE_CANDIDATE,ONE,94,92,50,42,2,0,54.34782608695652,55.319148936170215,2.558825761692768,1.7982960564358315,2.141820183813609,1.5085262821544072,47,63,positive_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,MULTIPLE,28,27,12,15,0,1,44.44444444444444,50.0,1.5135912717477378,1.0334495907202932,1.1759523914004522,0.8763324812526443,26,23,negative_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,NONE,157,151,90,61,0,6,59.602649006622514,44.5859872611465,1.1866485535410938,1.0039915210471055,0.9083402146986063,0.6189875070735321,74,78,negative_candidate_state
DISCOVERY,NEGATIVE_CANDIDATE,ONE,50,50,25,25,0,0,50.0,38.0,1.2992449427449881,1.4198040603775683,0.9262674574661238,1.1620248757626874,40,40,negative_candidate_state
DISCOVERY,OTHER,MULTIPLE,893,882,415,467,1,10,47.05215419501134,43.784994400895854,1.556750802369361,1.4810840517270971,1.079066117323927,1.0810266733769518,107,153,negative_candidate_state
DISCOVERY,OTHER,NONE,2498,2428,1283,1145,10,60,52.84184514003295,48.158526821457166,1.2034149138857126,1.131391063510321,0.8713558112796286,0.814801607626831,112,161,negative_candidate_state
DISCOVERY,OTHER,ONE,646,639,309,330,3,4,48.35680751173709,44.582043343653254,1.2941536112573016,1.3911983938430112,0.9022412573669552,0.9937708355957966,110,155,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,MULTIPLE,46,46,20,26,0,0,43.47826086956522,41.30434782608695,1.0885495562468153,1.5855463951693025,0.9156903787611765,1.1627524355387333,37,25,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,NONE,118,115,42,73,1,2,36.52173913043478,35.59322033898305,1.1396238324403791,1.3040214284999168,0.7159770274250239,1.0509050190046194,60,64,negative_candidate_state
VALIDATION,NEGATIVE_CANDIDATE,ONE,61,61,21,40,0,0,34.42622950819672,37.704918032786885,1.288590568543426,1.5697498787074546,1.0739359140667077,1.3047638859995891,46,43,negative_candidate_state
VALIDATION,OTHER,MULTIPLE,1141,1112,531,581,28,1,47.75179856115108,45.661700262927255,2.0204840345595123,1.795834645961322,1.425598335067628,1.3024883359253396,112,159,negative_candidate_state
VALIDATION,OTHER,NONE,2105,2053,1040,1013,29,23,50.65757428153921,49.12114014251782,1.4857147575274778,1.428364626956107,1.0806363137685129,1.0224715436548026,112,161,negative_candidate_state
VALIDATION,OTHER,ONE,714,701,360,341,11,2,51.35520684736091,47.19887955182073,1.8180267331216151,1.563229700361097,1.3082728601425826,1.1974842376725086,110,158,negative_candidate_state
