research_period,trend_5d_binary_state,market_prior_5d_consensus,relative_consensus_5d,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_ALIGNED,931,921,445,476,1,9,48.31704668838219,42.74973147153598,1.429363035779832,1.3074339462902882,0.9394081728511061,0.9275290625772941,110,147
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,235,228,127,101,0,7,55.70175438596491,43.829787234042556,1.2495601091580333,1.0959721717593285,0.9460666713509887,0.7253232418795309,94,101
DISCOVERY,ALIGNED,CONSENSUS_ALIGNED,MIXED,146,133,70,63,0,13,52.63157894736842,44.52054794520548,1.0081832110053974,0.9092972139701744,0.6777313624742354,0.5917113092231724,61,83
DISCOVERY,ALIGNED,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,710,700,347,353,3,7,49.57142857142857,44.929577464788736,1.2519561745263907,1.2449037408432668,0.9157589488188793,0.9115359475832985,109,145
DISCOVERY,ALIGNED,MIXED,BOTH_RELATIVE_ALIGNED,60,60,26,34,0,0,43.333333333333336,50.0,1.4561117932981127,1.6392467855558293,0.977895899918851,1.2356922922768603,49,6
DISCOVERY,ALIGNED,MIXED,MIXED,5,5,2,3,0,0,40.0,60.0,1.33140044096519,2.2844700417952852,0.9777153086759839,2.2920989776488288,5,3
DISCOVERY,FLAT,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,2,2,1,1,0,0,50.0,0.0,0.6877377816798345,2.0576438269592314,0.6877377816798345,2.0576438269592314,2,2
DISCOVERY,OPPOSING,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,683,670,346,324,1,12,51.64179104477612,46.99853587115666,1.2292068611549893,1.1620718665755438,0.9232311161652108,0.8350202429149826,107,144
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,238,231,126,105,1,6,54.54545454545455,50.42016806722689,1.1202382786120286,1.2436771686602683,0.7851402356472028,0.9015829187655011,96,100
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_OPPOSING,861,845,430,415,8,8,50.887573964497044,48.199767711962835,1.3763575691685253,1.369376207245863,0.9631240589823935,0.9266690988690126,109,148
DISCOVERY,OPPOSING,CONSENSUS_OPPOSING,MIXED,189,174,92,82,0,15,52.87356321839081,49.20634920634921,1.0110904480718803,1.013955195953578,0.7053542802180149,0.7172565329985168,76,88
DISCOVERY,OPPOSING,MIXED,BOTH_RELATIVE_OPPOSING,64,63,31,32,0,1,49.20634920634921,45.3125,1.7317595269758703,1.330300576727472,1.3965650788604234,1.0292291003431222,57,6
DISCOVERY,OPPOSING,MIXED,MIXED,5,4,0,4,0,1,0.0,40.0,0.20070604933835448,1.175193376355477,0.22639409118943324,1.4643265136566646,4,5
DISCOVERY,UNKNOWN,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,0.9549312853678329,0.7626422621142857,83,6
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_ALIGNED,764,738,344,394,24,2,46.612466124661246,45.41884816753927,1.870492325046158,1.812013480746488,1.238148210436858,1.3418763974005459,110,145
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,225,222,83,139,1,2,37.387387387387385,37.333333333333336,1.1695685177620767,1.4336195792974793,0.8636456004877096,1.1372053505293946,89,82
VALIDATION,ALIGNED,CONSENSUS_ALIGNED,MIXED,203,194,90,104,1,8,46.391752577319586,43.34975369458128,1.1319405804695049,1.2327792046535329,0.7520828642197774,0.8172214470799357,78,100
VALIDATION,ALIGNED,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,732,721,371,350,8,3,51.45631067961165,46.03825136612022,1.7453086785269396,1.4636217252867212,1.263113528143835,1.0196151149853534,109,146
VALIDATION,ALIGNED,MIXED,BOTH_RELATIVE_ALIGNED,135,133,71,62,2,0,53.38345864661654,54.074074074074076,1.604826545401571,1.5663812122902894,1.1575595208006977,1.1491875923190507,78,13
VALIDATION,ALIGNED,MIXED,MIXED,20,20,10,10,0,0,50.0,50.0,1.2806671351291052,1.258433761144494,1.134778380661813,0.958057527380917,16,10
VALIDATION,OPPOSING,CONSENSUS_ALIGNED,BOTH_RELATIVE_OPPOSING,806,795,373,422,11,0,46.918238993710695,45.40942928039702,1.5054756914111065,1.4948625008137284,1.0717361778475447,1.073287085237141,108,146
VALIDATION,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_ALIGNED,208,206,107,99,1,1,51.94174757281554,51.92307692307692,1.467461860609711,1.2965352865854567,1.1526962585997338,0.9118767342012581,93,92
VALIDATION,OPPOSING,CONSENSUS_OPPOSING,BOTH_RELATIVE_OPPOSING,744,723,398,325,19,2,55.04840940525588,51.61290322580645,2.074562958756132,1.6552287537129025,1.562533467804121,1.2016817844776064,107,145
VALIDATION,OPPOSING,CONSENSUS_OPPOSING,MIXED,176,165,85,80,1,10,51.515151515151516,52.27272727272727,1.4122991410312822,1.3744993867487778,0.8467252243083551,0.8519403024519653,73,84
VALIDATION,OPPOSING,MIXED,BOTH_RELATIVE_OPPOSING,160,159,78,81,1,0,49.056603773584904,49.375,1.4488491188457757,1.684042296604129,1.0050330821115963,1.1647498890772754,84,13
VALIDATION,OPPOSING,MIXED,MIXED,12,12,4,8,0,0,33.333333333333336,66.66666666666667,0.8084299047438664,0.9899824719057145,0.6701205873608778,0.9947511941910632,8,9
