research_period,market_open_3idx_state,n,favorable_first_n,ff_pct,preferred_baseline_ff_pct,lift_pp
DISCOVERY,ALL_3_ALIGNED,103,67,65.04854368932038,56.043956043956044,9.004587645364339
DISCOVERY,TWO_OF_3_ALIGNED,128,69,53.90625,56.043956043956044,-2.137706043956044
DISCOVERY,MIXED,4,3,75.0,56.043956043956044,18.956043956043956
DISCOVERY,TWO_OF_3_OPPOSING,69,31,44.927536231884055,56.043956043956044,-11.116419812071989
DISCOVERY,ALL_3_OPPOSING,60,34,56.666666666666664,56.043956043956044,0.6227106227106205
VALIDATION,ALL_3_ALIGNED,75,45,60.0,57.840616966580974,2.159383033419026
VALIDATION,TWO_OF_3_ALIGNED,147,80,54.42176870748299,57.840616966580974,-3.4188482590979845
VALIDATION,MIXED,0,0,,57.840616966580974,
VALIDATION,TWO_OF_3_OPPOSING,118,69,58.47457627118644,57.840616966580974,0.6339593046054688
VALIDATION,ALL_3_OPPOSING,49,31,63.265306122448976,57.840616966580974,5.424689155868002
