symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,spy_0930_open,spy_0931_close,spy_open_impulse_pct,directional_spy_open_impulse_pct,qqq_0930_open,qqq_0931_close,qqq_open_impulse_pct,directional_qqq_open_impulse_pct,dia_0930_open,dia_0931_close,dia_open_impulse_pct,directional_dia_open_impulse_pct,market_open_3idx_state
AAPL,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,575.98,576.29,0.053821313240032254,0.053821313240032254,506.18,505.94,-0.047413963412223925,-0.047413963412223925,413.935,414.7438,0.19539299648496655,0.19539299648496655,TWO_OF_3_ALIGNED
AAPL,2025-05-29,BEAR,AE2_RECLAIM,2,2025-05-29 13:31:00+00:00,593.06,591.93,-0.19053721377263466,0.19053721377263466,526.33,524.865,-0.2783424847529137,0.2783424847529137,422.46,421.86,-0.14202528049992447,0.14202528049992447,ALL_3_ALIGNED
AAPL,2025-06-05,BEAR,AE2_RECLAIM,2,2025-06-05 13:31:00+00:00,597.63,596.87,-0.12716898415406908,0.12716898415406908,530.18,529.84,-0.06412916368024879,0.06412916368024879,425.945,425.46,-0.11386446606956868,0.11386446606956868,ALL_3_ALIGNED
AAPL,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,604.33,604.61,0.04633230188804127,-0.04633230188804127,536.89,537.28,0.07264057814448943,-0.07264057814448943,428.53,428.68,0.03500338366042577,-0.03500338366042577,ALL_3_OPPOSING
AAPL,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,607.91,608.075,0.027142175651007072,0.027142175651007072,542.06,542.54,0.08855108290595215,0.08855108290595215,430.75,430.54,-0.04875217643643959,-0.04875217643643959,TWO_OF_3_ALIGNED
AAPL,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,608.99,609.23,0.03940951411354199,0.03940951411354199,543.35,543.47,0.022085212110067864,0.022085212110067864,430.82,431.57,0.17408662550484344,0.17408662550484344,ALL_3_ALIGNED
AAPL,2025-06-30,BEAR,AE2_RECLAIM,2,2025-06-30 13:31:00+00:00,617.38,616.78,-0.09718487803298537,0.09718487803298537,551.26,550.66,-0.10884156296484537,0.10884156296484537,440.45,439.98,-0.10670904756497901,0.10670904756497901,ALL_3_ALIGNED
AAPL,2025-07-01,BULL,AE2_RECLAIM,2,2025-07-01 13:31:00+00:00,616.36,616.77,0.06651956648711099,0.06651956648711099,549.73,549.665,-0.011823986320569357,-0.011823986320569357,440.19,441.02,0.18855494218406044,0.18855494218406044,TWO_OF_3_ALIGNED
AAPL,2025-07-03,BEAR,AE2_RECLAIM,2,2025-07-03 13:31:00+00:00,622.45,623.06,0.09799983934450918,-0.09799983934450918,553.18,554.21,0.1861961748436558,-0.1861961748436558,445.67,445.82,0.03365719029775338,-0.03365719029775338,ALL_3_OPPOSING
AAPL,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,623.16,622.89,-0.04332755632582286,-0.04332755632582286,553.99,554.058,0.012274589794025736,0.012274589794025736,443.11,442.575,-0.12073751438694824,-0.12073751438694824,TWO_OF_3_OPPOSING
