feature,state,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
pd_failed_break_candidate,PD_FAILED_BREAK,240,94,7,2.9166666666666665,31,12.916666666666666,56,23.333333333333332
multiple_c2_break_candidate,MULTIPLE_C2_BREAKS,590,109,13,2.2033898305084745,60,10.169491525423728,111,18.8135593220339
all3_market_opposing_candidate,ALL3_CLEARED_MARKET_OPPOSING,772,112,17,2.2020725388601035,73,9.455958549222798,134,17.357512953367877
all3_positive_reversal_candidate,ALL3_CLEARED_POSITIVE_REVERSAL,247,95,11,4.4534412955465585,41,16.59919028340081,70,28.34008097165992
