symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature,state
AXP,3,3,2,1,0,0,66.66666666666667,66.66666666666667,1.3678287186681812,0.7275872472955895,1.3861978928461636,0.3144654088050315,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
BA,1,1,1,0,0,0,100.0,100.0,1.4235682430900336,1.5092342966565067,1.4235682430900336,1.5092342966565067,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
BAC,2,2,0,2,0,0,0.0,0.0,0.2651783150814151,2.515829436856567,0.2651783150814151,2.515829436856567,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
BKNG,1,0,0,0,1,0,,100.0,3.2045258460126016,0.5383334254588541,3.2045258460126016,0.5383334254588541,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
BMY,3,3,0,3,0,0,0.0,0.0,1.8631689226721129,1.281887364848842,0.8603877480784674,1.264516129032257,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
C,2,2,2,0,0,0,100.0,50.0,1.023926987473648,0.6976074780251077,1.023926987473648,0.6976074780251077,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
CEG,2,2,1,1,0,0,50.0,50.0,1.236980961259153,1.8564128031177218,1.236980961259153,1.8564128031177218,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
CMCSA,1,1,0,1,0,0,0.0,100.0,0.2855611150821963,2.5017869907076458,0.2855611150821963,2.5017869907076458,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
CME,4,4,1,3,0,0,25.0,25.0,0.2873481306323164,0.9325222281918635,0.24275810087352268,0.880631819112914,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
CMG,2,2,2,0,0,0,100.0,50.0,1.7072597059816763,0.7593347531782613,1.7072597059816763,0.7593347531782613,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
COP,2,2,0,2,0,0,0.0,50.0,1.0714968266230844,0.7842509209541664,1.0714968266230844,0.7842509209541664,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
COST,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.7871600752334874,1.4012994741388056,0.13252163829875063,1.3376402865780386,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
CRM,3,3,1,2,0,0,33.333333333333336,66.66666666666667,1.2087491773534256,2.0162011463583367,0.7289847161572032,1.7281814248958254,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
CRWD,3,3,1,2,0,0,33.333333333333336,66.66666666666667,2.735829819751211,0.9450435253502999,1.8497061642979151,0.9174750551010996,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
CVS,3,3,1,2,0,0,33.333333333333336,66.66666666666667,0.9344200510701488,1.2307953793776145,1.1904761904761836,0.8791208791208778,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
CVX,4,4,1,3,0,0,25.0,25.0,0.34776755982704455,1.0647808188038388,0.34296134086719665,1.0053288535472915,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
DASH,2,2,1,1,0,0,50.0,50.0,2.9795374695725947,0.9199023408474164,2.9795374695725947,0.9199023408474164,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
DDOG,5,5,3,2,0,0,60.0,80.0,0.8423973732693744,3.3571175340388564,0.6880436193690784,3.3425088478175407,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
DELL,2,2,0,2,0,0,0.0,50.0,1.305925596051194,1.9306598404833302,1.305925596051194,1.9306598404833302,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
DIS,5,5,2,3,0,0,40.0,40.0,0.7387105269588429,0.5996756570446674,0.7759750075582084,0.5603066941905115,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
ETN,1,1,0,1,0,0,0.0,0.0,1.0552531580568851,2.6342816062442207,1.0552531580568851,2.6342816062442207,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
GE,2,2,1,1,0,0,50.0,50.0,0.4211292917863186,2.2432659042867513,0.4211292917863186,2.2432659042867513,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
GILD,7,7,4,3,0,0,57.142857142857146,57.142857142857146,1.5242933537952879,0.8894924078367986,1.5549901046084307,0.5779923909862394,1,7,pd_failed_break_candidate,PD_FAILED_BREAK
GS,5,5,1,4,0,0,20.0,40.0,1.228875117717211,1.0276514092066795,1.7337018680899783,0.7742230347349203,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
HAL,2,2,1,1,0,0,50.0,0.0,2.3997657167797466,1.3195527821112851,2.3997657167797466,1.3195527821112851,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
HD,4,4,0,4,0,0,0.0,25.0,0.49736029750991406,0.8860726463371066,0.6134107827151923,0.9213794256693323,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
HON,4,4,2,2,0,0,50.0,75.0,0.5644000692628851,0.7236983981001813,0.6008559158064977,0.8514809682778757,1,4,pd_failed_break_candidate,PD_FAILED_BREAK
HOOD,1,1,0,1,0,0,0.0,0.0,2.862933873828227,0.8766151507473979,2.862933873828227,0.8766151507473979,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
INTC,1,1,1,0,0,0,100.0,0.0,1.277156023699801,0.6451612903225739,1.277156023699801,0.6451612903225739,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
ISRG,2,2,1,1,0,0,50.0,50.0,2.462823072806853,0.320292266693358,2.462823072806853,0.320292266693358,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
JNJ,2,2,2,0,0,0,100.0,0.0,0.8055048875377238,0.2959592888201086,0.8055048875377238,0.2959592888201086,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
JPM,2,2,0,2,0,0,0.0,0.0,0.5216470962158808,1.429037638079153,0.5216470962158808,1.429037638079153,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
KLAC,1,1,0,1,0,0,0.0,100.0,0.38199254128928317,2.212040490143855,0.38199254128928317,2.212040490143855,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
LLY,6,6,2,4,0,0,33.333333333333336,33.333333333333336,1.177915354655651,0.7033786249913918,1.2345060211470464,0.6331359859401928,1,6,pd_failed_break_candidate,PD_FAILED_BREAK
LMT,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.3303671411131632,1.432133500245807,0.38445506451205375,1.590651324654185,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
LOW,3,3,2,1,0,0,66.66666666666667,66.66666666666667,0.9098657288664911,0.7668538521485254,0.512797545737515,1.1159768328859954,1,3,pd_failed_break_candidate,PD_FAILED_BREAK
LRCX,1,1,1,0,0,0,100.0,0.0,1.27659574468085,2.9526704298740696,1.27659574468085,2.9526704298740696,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
LULU,5,5,4,1,0,0,80.0,60.0,2.6579998379735796,1.114117475568127,1.974269762925801,0.877434345287214,1,5,pd_failed_break_candidate,PD_FAILED_BREAK
MA,1,1,0,1,0,0,0.0,0.0,0.0398274707861288,0.5906329178283036,0.0398274707861288,0.5906329178283036,1,1,pd_failed_break_candidate,PD_FAILED_BREAK
MCD,2,2,1,1,0,0,50.0,100.0,0.6127216374390159,0.5212708063911771,0.6127216374390159,0.5212708063911771,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
META,2,2,2,0,0,0,100.0,100.0,0.9492640206902165,0.9201249476795911,0.9492640206902165,0.9201249476795911,1,2,pd_failed_break_candidate,PD_FAILED_BREAK
