research_period,policy_name,warning_candle,triggered_n,clean_actionable_n,clean_actionable_pct,avg_exit_return_pct
DISCOVERY,THREE_CONSECUTIVE_ADVERSE,9.0,124,73,58.87096774193548,-0.1511592233563818
DISCOVERY,THREE_CONSECUTIVE_ADVERSE,10.0,105,55,52.38095238095238,-0.15421643592047082
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,4.0,1694,1040,61.39315230224321,-0.17617233784620656
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,5.0,287,211,73.5191637630662,-0.1624614523323345
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,6.0,209,131,62.67942583732057,-0.17663888510066533
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,7.0,185,125,67.56756756756756,-0.15161869040972842
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,8.0,125,78,62.4,-0.1251096699010952
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,9.0,102,56,54.90196078431372,-0.13706106596523554
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,10.0,54,33,61.111111111111114,-0.1195162243890561
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,4.0,430,305,70.93023255813954,-0.15077384708659708
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,5.0,352,210,59.65909090909091,-0.12929926587502746
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,6.0,267,156,58.42696629213483,-0.11641963301548149
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,7.0,195,93,47.69230769230769,-0.10518223855833907
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,8.0,151,63,41.72185430463576,-0.11040107700597743
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,9.0,122,53,43.442622950819676,-0.08886620450263286
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,10.0,104,36,34.61538461538461,-0.0805707736196562
VALIDATION,FIRST_ADVERSE_CLOSE,3.0,2142,1502,70.12138188608778,-0.16871402526403664
VALIDATION,FIRST_ADVERSE_CLOSE,4.0,441,312,70.74829931972789,-0.15071117324742486
VALIDATION,FIRST_ADVERSE_CLOSE,5.0,213,120,56.33802816901409,-0.12841817853894436
VALIDATION,FIRST_ADVERSE_CLOSE,6.0,145,80,55.172413793103445,-0.1170568862985294
VALIDATION,FIRST_ADVERSE_CLOSE,7.0,104,43,41.34615384615385,-0.0927590682276488
VALIDATION,FIRST_ADVERSE_CLOSE,8.0,57,21,36.8421052631579,-0.10541917696443023
VALIDATION,FIRST_ADVERSE_CLOSE,9.0,50,24,48.0,-0.06899677764495878
VALIDATION,FIRST_ADVERSE_CLOSE,10.0,48,15,31.25,-0.089900075121186
VALIDATION,ONE_BAR_NONRECOVERY,4.0,1630,787,48.282208588957054,-0.19294661296691967
VALIDATION,ONE_BAR_NONRECOVERY,5.0,334,186,55.68862275449102,-0.18556531126775247
VALIDATION,ONE_BAR_NONRECOVERY,6.0,156,73,46.794871794871796,-0.13699885220463157
VALIDATION,ONE_BAR_NONRECOVERY,7.0,105,49,46.666666666666664,-0.15186581854032197
VALIDATION,ONE_BAR_NONRECOVERY,8.0,77,27,35.064935064935064,-0.1525126687593888
VALIDATION,ONE_BAR_NONRECOVERY,9.0,45,15,33.333333333333336,-0.16177609769164858
VALIDATION,ONE_BAR_NONRECOVERY,10.0,33,14,42.42424242424242,-0.16609277857525043
VALIDATION,THREE_CONSECUTIVE_ADVERSE,5.0,1400,481,34.357142857142854,-0.2059353296183049
VALIDATION,THREE_CONSECUTIVE_ADVERSE,6.0,274,107,39.051094890510946,-0.1914153527171817
VALIDATION,THREE_CONSECUTIVE_ADVERSE,7.0,216,87,40.27777777777778,-0.18980308304484445
VALIDATION,THREE_CONSECUTIVE_ADVERSE,8.0,188,81,43.08510638297872,-0.19206279351891647
VALIDATION,THREE_CONSECUTIVE_ADVERSE,9.0,118,47,39.83050847457627,-0.1991398858365647
VALIDATION,THREE_CONSECUTIVE_ADVERSE,10.0,102,43,42.15686274509804,-0.15219584289084132
VALIDATION,TWO_CONSECUTIVE_ADVERSE,4.0,1623,780,48.059149722735675,-0.19393608277700644
VALIDATION,TWO_CONSECUTIVE_ADVERSE,5.0,333,185,55.55555555555556,-0.1865683670043349
VALIDATION,TWO_CONSECUTIVE_ADVERSE,6.0,257,123,47.85992217898833,-0.16186743597924722
VALIDATION,TWO_CONSECUTIVE_ADVERSE,7.0,174,86,49.42528735632184,-0.158541405985773
VALIDATION,TWO_CONSECUTIVE_ADVERSE,8.0,116,52,44.827586206896555,-0.16008593767831755
VALIDATION,TWO_CONSECUTIVE_ADVERSE,9.0,95,41,43.1578947368421,-0.15888160372671375
VALIDATION,TWO_CONSECUTIVE_ADVERSE,10.0,61,26,42.622950819672134,-0.1658678250088623
