research_period,direction,policy_name,total_signal_n,binary_signal_n,actionable_n,actionable_pct,avg_exit_return_pct,median_exit_return_pct,avg_hold_return_pct,avg_policy_improvement_pp,policy_better_n,policy_better_pct,eventual_favorable_n,eventual_adverse_n,avg_saved_on_adverse_pp,avg_foregone_on_favorable_pp,symbol_n
DISCOVERY,BEAR,FAVORABLE_TO_ADVERSE_TRANSITION,2121,2072,490,23.64864864864865,-0.10074461605847966,-0.08005794460702972,-0.0653061224489796,-0.03543849360950006,277,56.53061224489796,213,277,0.3882698748205403,0.5864582966851865,109
DISCOVERY,BEAR,FIRST_ADVERSE_CLOSE,2121,2072,1157,55.83976833976834,-0.14831832191805383,-0.12348450830714222,-0.12921348314606743,-0.019104838771986436,728,62.92134831460674,429,728,0.33492830352384356,0.6198883529709707,112
DISCOVERY,BEAR,ONE_BAR_NONRECOVERY,2121,2072,745,35.955598455598455,-0.17510925944204353,-0.15965651184104307,-0.1738255033557047,-0.001667525024699349,497,66.71140939597315,243,502,0.3051476146639356,0.6343941823908884,112
DISCOVERY,BEAR,THREE_CONSECUTIVE_ADVERSE,2121,2072,602,29.054054054054053,-0.20868156031575869,-0.2000377185750753,-0.19601328903654486,-0.012668271279213848,419,69.60132890365448,183,419,0.27223869363805414,0.664996240133505,111
DISCOVERY,BEAR,TWO_CONSECUTIVE_ADVERSE,2121,2072,817,39.43050193050193,-0.17535020826139033,-0.15815726509590267,-0.16707466340269278,-0.008275544858697564,545,66.70746634026928,272,545,0.3067793784738443,0.6395436816830922,112
DISCOVERY,BULL,FAVORABLE_TO_ADVERSE_TRANSITION,2052,2006,534,26.620139581256232,-0.11145348620122103,-0.08321260154153301,-0.11423220973782772,0.0027787235366066878,328,61.42322097378277,206,328,0.37294987512098005,0.5866200032579295,111
DISCOVERY,BULL,FIRST_ADVERSE_CLOSE,2052,2006,1178,58.72382851445663,-0.144004762082862,-0.12043621128114028,-0.10526315789473684,-0.03874160418812515,713,60.526315789473685,465,713,0.33495099973746323,0.6117369302073608,112
DISCOVERY,BULL,ONE_BAR_NONRECOVERY,2052,2006,727,36.241276171485545,-0.16342051991093892,-0.14033742727234083,-0.12448418156808803,-0.041912140022670755,445,61.21045392022009,273,454,0.3134090484683877,0.6253731321943349,109
DISCOVERY,BULL,THREE_CONSECUTIVE_ADVERSE,2052,2006,572,28.51445663010967,-0.1775032086894967,-0.15623679209021468,-0.1590909090909091,-0.01841229959858764,377,65.9090909090909,195,377,0.3072396852958209,0.6480061370611109,108
DISCOVERY,BULL,TWO_CONSECUTIVE_ADVERSE,2052,2006,811,40.42871385842473,-0.16550611296924442,-0.14305014702376764,-0.1374845869297164,-0.028021526039528014,517,63.748458692971646,294,517,0.31375946038674507,0.6290445531904914,110
VALIDATION,BEAR,FAVORABLE_TO_ADVERSE_TRANSITION,2016,1977,449,22.711178553363684,-0.12685016190528106,-0.09841597150623675,-0.09688195991091314,-0.029968201994367928,268,59.68819599109132,181,268,0.359226143626831,0.606233862914154,97
VALIDATION,BEAR,FIRST_ADVERSE_CLOSE,2016,1977,1024,51.79564997470916,-0.15797672431633758,-0.1322885468391835,-0.146484375,-0.011492349316337584,662,64.6484375,362,662,0.31989280213105564,0.6175060793112943,112
VALIDATION,BEAR,ONE_BAR_NONRECOVERY,2016,1977,542,27.415275670207386,-0.18405898093963666,-0.16930043613303994,-0.18081180811808117,-0.0037615831701199,366,67.52767527675276,173,369,0.29675501651772057,0.6432329522733153,101
VALIDATION,BEAR,THREE_CONSECUTIVE_ADVERSE,2016,1977,400,20.232675771370765,-0.19236243641693374,-0.18335601832722478,-0.1625,-0.02986243641693373,265,66.25,135,265,0.28731966457447117,0.6524791531778398,91
VALIDATION,BEAR,TWO_CONSECUTIVE_ADVERSE,2016,1977,619,31.310065756196256,-0.18267133457610404,-0.16553368058620993,-0.16720516962843296,-0.015466164947671094,413,66.72051696284329,206,413,0.2981722962427981,0.6442656041305049,103
VALIDATION,BULL,FAVORABLE_TO_ADVERSE_TRANSITION,2118,2063,453,21.958313136209405,-0.12808429415077274,-0.10237659963435931,-0.11368653421633554,-0.0143977599344372,278,61.36865342163355,175,278,0.3608182859732662,0.6104552500049604,103
VALIDATION,BULL,FIRST_ADVERSE_CLOSE,2118,2063,1068,51.769268056228796,-0.16011735708543504,-0.13837550585517827,-0.15262172284644196,-0.007495634238993084,697,65.2621722846442,371,697,0.32544991966759396,0.6330025104462469,112
VALIDATION,BULL,ONE_BAR_NONRECOVERY,2118,2063,593,28.74454677653902,-0.18913792755603662,-0.17384706660886706,-0.19645868465430016,0.0073207570982635455,413,69.64586846543001,180,413,0.29575233461449196,0.6544694735361939,101
VALIDATION,BULL,THREE_CONSECUTIVE_ADVERSE,2118,2063,429,20.794958797867185,-0.20778902028357984,-0.19808014627456264,-0.19696969696969696,-0.010819323313882865,299,69.6969696969697,130,299,0.2714976885798364,0.6601484506694372,89
VALIDATION,BULL,TWO_CONSECUTIVE_ADVERSE,2118,2063,656,31.79835191468735,-0.18992050861468046,-0.17430485661310902,-0.2027439024390244,0.012823393824343918,461,70.27439024390245,195,461,0.29681690264036237,0.6585663885560892,102
