research_period,recovery_delay_state,total_n,binary_n,favorable_first_pct,avg_final_mfe_pct,avg_final_mae_pct,symbol_n
DISCOVERY,NO_RECOVERY_THROUGH_C10,1564,1530,17.124183006535947,0.7520552809336941,1.8008627593131799,112
DISCOVERY,RECOVERED_IN_1_BAR,722,702,63.96011396011396,1.4588155210434222,1.009695217338146,111
DISCOVERY,RECOVERED_IN_2_BARS,356,348,61.49425287356322,1.3887416114737203,1.0424589361637442,106
DISCOVERY,RECOVERED_IN_3PLUS_BARS,518,509,44.79371316306483,1.3912778560510197,1.1178331078473214,109
VALIDATION,NO_RECOVERY_THROUGH_C10,1498,1467,18.541240627130197,0.995098681301464,2.182345410345781,112
VALIDATION,RECOVERED_IN_1_BAR,772,751,63.38215712383489,1.8695160099375945,1.3649210314569782,112
VALIDATION,RECOVERED_IN_2_BARS,344,337,50.74183976261128,1.7544442508256701,1.3729870393814416,105
VALIDATION,RECOVERED_IN_3PLUS_BARS,586,573,35.602094240837694,1.7522287558390266,1.4118410180252057,111
