research_period,policy_name,total_signal_n,binary_signal_n,actionable_n,actionable_pct,avg_exit_return_pct,median_exit_return_pct,avg_hold_return_pct,avg_policy_improvement_pp,policy_better_n,policy_better_pct,eventual_favorable_n,eventual_adverse_n,avg_saved_on_adverse_pp,avg_foregone_on_favorable_pp,symbol_n
DISCOVERY,FAVORABLE_TO_ADVERSE_TRANSITION,4173,4078,1024,25.110348209906817,-0.1063291245118233,-0.0820123956272003,-0.0908203125,-0.015508812011823307,605,59.08203125,419,605,0.37996415597515887,0.586537799200664,112
DISCOVERY,FIRST_ADVERSE_CLOSE,4173,4078,2335,57.25846002942619,-0.1461421448363168,-0.12199348443889865,-0.1171306209850107,-0.0290115238513061,1441,61.71306209850107,894,1441,0.33493953350324046,0.615648518983187,112
DISCOVERY,ONE_BAR_NONRECOVERY,4173,4078,1472,36.096125551741046,-0.16935331893016534,-0.15226452920019778,-0.14945652173913043,-0.021485368448734787,942,63.99456521739131,516,956,0.3090503089770791,0.6296193687126344,112
DISCOVERY,THREE_CONSECUTIVE_ADVERSE,4173,4078,1174,28.788621873467385,-0.19349074504299732,-0.17604525487958747,-0.17802385008517888,-0.015466894957818462,796,67.80238500851789,378,796,0.2888157964709412,0.6562315044215556,112
DISCOVERY,TWO_CONSECUTIVE_ADVERSE,4173,4078,1628,39.92153016184404,-0.1704463008400572,-0.15304694645494266,-0.15233415233415235,-0.018112148505904868,1062,65.23341523341524,566,1062,0.31017740328455023,0.6340900707699744,112
VALIDATION,FAVORABLE_TO_ADVERSE_TRANSITION,4134,4040,902,22.326732673267326,-0.12746996446316103,-0.09958071716487583,-0.10532150776053215,-0.02214845670262888,546,60.532150776053214,356,546,0.3600367948581661,0.608308982972837,108
VALIDATION,FIRST_ADVERSE_CLOSE,4134,4040,2092,51.78217821782178,-0.15906955213536056,-0.1350949364970017,-0.14961759082217974,-0.009451961313180827,1359,64.96175908221798,733,1359,0.3227429205438351,0.6253494298584532,112
VALIDATION,ONE_BAR_NONRECOVERY,4134,4040,1135,28.094059405940595,-0.1867219476447871,-0.17254313578395963,-0.18898678414096917,0.002049051471039589,779,68.63436123348018,353,782,0.29622342778083555,0.6489789006463783,108
VALIDATION,THREE_CONSECUTIVE_ADVERSE,4134,4040,829,20.519801980198018,-0.20034555400293036,-0.18888463574385123,-0.18033775633293125,-0.020007797669999085,564,68.03377563329313,265,564,0.2789317730454006,0.6562414500605102,100
VALIDATION,TWO_CONSECUTIVE_ADVERSE,4134,4040,1275,31.559405940594058,-0.18640110568928533,-0.17189572561652117,-0.18549019607843137,-0.000910909610853954,874,68.54901960784315,401,874,0.2974573803952891,0.651219850921001,109
