feature,research_period,n,winner_mean,loser_mean,outcome_difference,confirmed_mean,not_confirmed_mean,confirmation_difference
directional_prior_ret_1d_pct,DISCOVERY,4173,0.08589657515313355,0.1032620932847021,-0.017365518131568544,0.11888086599034718,0.07245310442902288,0.046427761561324304
directional_prior_ret_1d_pct,VALIDATION,4134,0.3402231487112891,0.21877112893528564,0.12145201977600348,0.36568140217593914,0.20324232272458165,0.1624390794513575
directional_prior_ret_3d_pct,DISCOVERY,4173,0.013628906469741029,0.19351481192364287,-0.17988590545390185,0.00547029129804455,0.18067172719971453,-0.17520143590166998
directional_prior_ret_3d_pct,VALIDATION,4134,-0.010723004499642965,0.24158405998927823,-0.2523070644889212,0.06485044729931864,0.16010459929892853,-0.09525415199960989
directional_prior_ret_5d_pct,DISCOVERY,4173,0.02805206039698434,0.19331681477392404,-0.1652647543769397,0.015349680931658208,0.16111300734630332,-0.14576332641464512
directional_prior_ret_5d_pct,VALIDATION,4134,-0.3527081131324003,0.13413737689404148,-0.4868454900264418,-0.19994065124815277,0.0048953444668036784,-0.20483599571495645
directional_prior_ret_10d_pct,DISCOVERY,4173,-0.17532547812951826,0.3064272002909672,-0.48175267842048547,-0.06815022352600143,0.16204485065090507,-0.2301950741769065
directional_prior_ret_10d_pct,VALIDATION,4134,-0.09577091063303618,0.21411948566946823,-0.3098903963025044,-0.07433309305090678,0.17698783315987338,-0.25132092621078017
directional_prior_ret_20d_pct,DISCOVERY,4173,-0.06310732883037914,0.3370342840101333,-0.4001416128405124,0.24895427688273636,0.018121615519119595,0.23083266136361677
directional_prior_ret_20d_pct,VALIDATION,4134,0.0015017009574116208,0.26198689252269747,-0.2604851915652858,-0.09415006708739282,0.16748875455906403,-0.26163882164645685
directional_prior_close_vs_ema9_pct,DISCOVERY,4173,-0.00035865424489063763,0.13557744765135601,-0.13593610189624666,0.024397648620214686,0.09165989202904248,-0.0672622434088278
directional_prior_close_vs_ema9_pct,VALIDATION,4134,-0.003278620096962451,0.14314723153324754,-0.14642585163021,0.03678151385050711,0.09354864633742839,-0.05676713248692128
directional_prior_close_vs_ema20_pct,DISCOVERY,4173,-0.08477740379604781,0.2091027622355581,-0.29388016603160594,0.024304396091246794,0.0732322603809133,-0.0489278642896665
directional_prior_close_vs_ema20_pct,VALIDATION,4134,-0.034069755994196343,0.21224129230830413,-0.24631104830250047,-0.011454359419626508,0.1404513415309777,-0.1519057009506042
directional_prior_ema9_vs_ema20_pct,DISCOVERY,4173,-0.04825908999355752,0.06746878354691761,-0.11572787354047513,0.010352159395787774,0.0002459060453931237,0.01010625335039465
directional_prior_ema9_vs_ema20_pct,VALIDATION,4134,-0.029552357319466968,0.05640822450719314,-0.08596058182666011,-0.05757004422503081,0.04344384684448479,-0.1010138910695156
directional_prior_ema9_slope_1d_pct,DISCOVERY,4173,-0.00030745962138121856,0.03523729554175635,-0.03554475516313757,0.006861493745863774,0.023251182058769623,-0.01638968831290585
directional_prior_ema9_slope_1d_pct,VALIDATION,4134,-0.0010716435290542888,0.037914980936801,-0.03898662446585529,0.010225298396452798,0.024573136484888534,-0.014347838088435736
directional_prior_ema20_slope_1d_pct,DISCOVERY,4173,-0.008742800979149739,0.022195236690130543,-0.030938037669280282,0.0033488357379805487,0.007383861128912624,-0.004035025390932075
directional_prior_ema20_slope_1d_pct,VALIDATION,4134,-0.0036960804102126625,0.023082857197276915,-0.02677893760748958,-0.0007823730364877713,0.01509159524367757,-0.01587396828016534
directional_gap_from_prior_close_pct,DISCOVERY,4173,0.03471953572226547,0.009573220531842813,0.02514631519042266,-0.01672140095057912,0.05481349840379482,-0.07153489935437393
directional_gap_from_prior_close_pct,VALIDATION,4134,0.08296224181879716,-0.028693995985049174,0.11165623780384634,0.06723402406075663,0.02477356667817606,0.042460457382580565
