quarter,daily_trend_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2025Q2,ALIGNED,70,70,38,32,0,0,54.285714285714285,30,42.857142857142854,1.3943835775419668,0.9161933529062454,0.9910999052679924,0.63276477536011,51,5,ALL
2025Q2,MIXED,46,46,19,27,0,0,41.30434782608695,19,41.30434782608695,0.8009292692780521,1.1137216843096225,0.5769264182566517,0.8709783376839555,31,5,ALL
2025Q2,OPPOSING,56,54,30,24,0,2,55.55555555555556,27,48.214285714285715,1.2011331090562953,1.2331023256481193,0.879492991375165,0.9611804728788953,43,5,ALL
2025Q2,UNKNOWN,517,508,271,237,0,9,53.346456692913385,274,52.99806576402321,1.1859293176640628,1.200947636903771,0.8799718409010912,0.9094277480444535,111,20,ALL
2025Q3,ALIGNED,473,463,206,257,2,8,44.49244060475162,190,40.169133192389005,1.173350220600898,1.2664719841741572,0.8078231292517061,0.9942004971002419,108,64,ALL
2025Q3,MIXED,599,590,283,307,2,7,47.96610169491525,260,43.40567612687813,1.1430795175413209,1.2583675590598657,0.864187742805034,0.9055920307901258,112,64,ALL
2025Q3,OPPOSING,553,537,254,283,5,11,47.299813780260706,235,42.495479204339965,1.1466925372775125,1.2112255059332906,0.8635291773223841,0.8555486670799722,111,64,ALL
2025Q4,ALIGNED,577,566,278,288,0,11,49.11660777385159,252,43.67417677642981,1.3971848761767762,1.2566640498026913,0.9777153086759839,0.8746932992984828,111,64,ALL
2025Q4,MIXED,622,599,303,296,3,20,50.58430717863105,302,48.553054662379424,1.316435926516919,1.3535363221420744,0.9219109698278493,0.958412955624189,110,64,ALL
2025Q4,OPPOSING,503,488,287,201,2,13,58.81147540983606,257,51.0934393638171,1.4691234756169345,1.2389310735515455,1.0572687224669646,0.7998814990371762,111,64,ALL
2026Q1,ALIGNED,574,566,296,270,7,1,52.29681978798587,265,46.167247386759584,1.583923598171281,1.4888105546115944,1.1168191275978914,1.060015997499855,111,61,ALL
2026Q1,MIXED,489,483,250,233,6,0,51.75983436853002,235,48.057259713701434,1.748721745069541,1.459204597190954,1.2699070000172565,1.1035122982829073,110,61,ALL
2026Q1,OPPOSING,506,492,264,228,11,3,53.65853658536585,242,47.82608695652174,1.6466165311827785,1.3949290070542963,1.268034100293578,1.0856232820063174,108,61,ALL
2026Q2,ALIGNED,500,490,255,235,6,4,52.04081632653061,236,47.2,1.8693070997758223,1.6081752580673367,1.2282875481700533,1.1069926069191736,111,62,ALL
2026Q2,MIXED,584,573,278,295,7,4,48.51657940663176,279,47.773972602739725,1.6865079462291017,1.6120323513784565,1.1452624370882307,1.1833470028838422,111,62,ALL
2026Q2,OPPOSING,543,530,266,264,9,4,50.18867924528302,263,48.43462246777164,1.7447007131500967,1.5175280965413642,1.2357669122571995,1.0508104707513006,111,62,ALL
2026Q3,ALIGNED,341,329,137,192,10,2,41.641337386018236,152,44.57478005865103,1.6082380626180413,1.5632120433757648,1.1641673243883255,1.1480214948705396,103,41,ALL
2026Q3,MIXED,419,406,201,205,5,8,49.50738916256157,205,48.92601431980907,1.5975319078270414,1.59748359076223,1.1440692700907675,1.1552462240892885,109,41,ALL
2026Q3,OPPOSING,335,328,162,166,6,1,49.390243902439025,167,49.850746268656714,1.6407683690196662,1.5994635384630322,1.1287187920466368,1.1164219031500793,105,41,ALL
2025Q2,ALIGNED,14,14,8,6,0,0,57.142857142857146,10,71.42857142857143,1.0028450363319434,0.8989589674299803,1.111781678444225,0.7898175855055511,12,5,BEAR
2025Q2,MIXED,28,28,9,19,0,0,32.142857142857146,11,39.285714285714285,0.672974670735285,1.287830282291545,0.5408304095564643,1.28177884171813,21,5,BEAR
2025Q2,OPPOSING,46,44,25,19,0,2,56.81818181818182,23,50.0,1.2150148367377092,1.3232801995789614,0.8387540779979525,1.0201648162807953,35,5,BEAR
2025Q2,UNKNOWN,287,282,144,138,0,5,51.06382978723404,154,53.65853658536585,1.081009890183727,1.2499247549355228,0.7387949433590474,0.9782391694948989,109,20,BEAR
2025Q2,ALIGNED,56,56,30,26,0,0,53.57142857142857,20,35.714285714285715,1.4922682128444726,0.9205019492753116,0.9607560380059955,0.6296207519206176,40,5,BULL
2025Q2,MIXED,18,18,10,8,0,0,55.55555555555556,8,44.44444444444444,0.9999697559001341,0.8428860874488535,0.8648186488389649,0.476012192249704,16,5,BULL
2025Q2,OPPOSING,10,10,5,5,0,0,50.0,4,40.0,1.1372771617217918,0.8182841055662469,1.183006393778288,0.8668065301601378,8,5,BULL
2025Q2,UNKNOWN,230,226,127,99,0,4,56.19469026548673,120,52.17391304347826,1.3168505163025688,1.1398327113598028,1.0326253548008784,0.7629496348734218,94,20,BULL
2025Q3,ALIGNED,169,166,66,100,2,1,39.75903614457831,52,30.76923076923077,1.0532474890572776,1.3033659358049439,0.7778816199376991,1.109389525875427,68,56,BEAR
2025Q3,MIXED,297,291,122,169,2,4,41.92439862542955,114,38.38383838383838,1.002375021200671,1.396559806074026,0.7724337698388701,0.980165101097929,106,62,BEAR
2025Q3,OPPOSING,389,376,177,199,4,9,47.07446808510638,167,42.9305912596401,1.193777839885948,1.2141790764567777,0.9062436294223366,0.8382579079136353,102,62,BEAR
2025Q3,ALIGNED,304,297,140,157,0,7,47.138047138047135,138,45.39473684210526,1.2401178575445557,1.2459618597478317,0.8513184793353541,0.9130761640549563,96,63,BULL
2025Q3,MIXED,302,299,161,138,0,3,53.84615384615385,146,48.34437086092715,1.2814544692405692,1.1224632631552114,0.9674471708880731,0.7937176732777882,101,63,BULL
2025Q3,OPPOSING,164,161,77,84,1,2,47.82608695652174,68,41.46341463414634,1.0350084963343338,1.2042197807281905,0.7527293905775616,0.891385441674346,73,51,BULL
2025Q4,ALIGNED,215,212,111,101,0,3,52.35849056603774,95,44.18604651162791,1.7233244187548586,1.1485373095372258,1.2487187682541085,0.7839428000302853,80,58,BEAR
2025Q4,MIXED,324,317,156,161,2,5,49.21135646687697,156,48.148148148148145,1.401242465512205,1.4106289388864812,1.012061781677846,1.043241272967208,104,63,BEAR
2025Q4,OPPOSING,275,265,153,112,1,9,57.735849056603776,133,48.36363636363637,1.6175779698234931,1.2117976713919483,1.1435367303997805,0.7827374656230112,93,61,BEAR
2025Q4,ALIGNED,362,354,167,187,0,8,47.175141242937855,157,43.370165745856355,1.2034832141483571,1.3208829701261033,0.8650254601965008,0.9230218351905342,97,61,BULL
2025Q4,MIXED,298,282,147,135,1,15,52.12765957446808,146,48.993288590604024,1.224230159287145,1.2914624703796997,0.7569668685008641,0.8297622869974643,101,61,BULL
2025Q4,OPPOSING,228,223,134,89,1,4,60.08968609865471,124,54.3859649122807,1.2900665198853396,1.2716577647528136,0.9179057998579402,0.8138749805070679,87,57,BULL
2026Q1,ALIGNED,278,276,151,125,2,0,54.710144927536234,137,49.280575539568346,1.6698285774005202,1.5019055517060746,1.223757530091902,1.1015849024404587,84,57,BEAR
