research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,FAVORABLE,3829,3743,1914,1829,13,73,51.13545284531125,1766,46.1217027944633,1.3050725466361566,1.254165039179013,0.924966514190408,0.8945581048620875,112,158,ALL,price_vs_ema9_ok
DISCOVERY,OPPOSING,341,332,165,167,1,8,49.69879518072289,164,48.09384164222874,1.1202037383537529,1.1191305810031624,0.7864355491234482,0.7724132017634704,103,145,ALL,price_vs_ema9_ok
DISCOVERY,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,0.6074371785290202,0.991190570916714,0.19153875349755461,0.6981896498459819,3,1,ALL,price_vs_ema9_ok
VALIDATION,FAVORABLE,3823,3735,1862,1873,63,25,49.85274431057564,1809,47.31885953439707,1.7046827216481157,1.5562054023898835,1.1962315920561775,1.1156086484351815,112,159,ALL,price_vs_ema9_ok
VALIDATION,OPPOSING,311,305,136,169,4,2,44.59016393442623,150,48.231511254019296,1.242939729923035,1.4908173057746175,0.8904483980745075,1.1703561116458212,99,131,ALL,price_vs_ema9_ok
DISCOVERY,FAVORABLE,1943,1897,941,956,11,35,49.60463890353189,879,45.23932063818837,1.3224297126540658,1.2804964996753625,0.9422151940436231,0.9344733087547196,112,158,BEAR,price_vs_ema9_ok
DISCOVERY,OPPOSING,177,174,86,88,0,3,49.42528735632184,86,48.58757062146893,1.1355837952430692,1.1371244894544663,0.7735744361393101,0.827250608272497,87,111,BEAR,price_vs_ema9_ok
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,price_vs_ema9_ok
DISCOVERY,FAVORABLE,1886,1846,973,873,2,38,52.70855904658722,887,47.03075291622481,1.2871908003091164,1.227037771021851,0.9125529146754618,0.8596516250080848,112,158,BULL,price_vs_ema9_ok
DISCOVERY,OPPOSING,164,158,79,79,1,5,50.0,78,47.5609756097561,1.1036045306134543,1.0997103261502308,0.8390504513162356,0.7398269027373607,81,99,BULL,price_vs_ema9_ok
DISCOVERY,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,0.8980826454626304,0.46138377406133035,0.8980826454626304,0.46138377406133035,2,1,BULL,price_vs_ema9_ok
VALIDATION,FAVORABLE,1865,1829,928,901,21,15,50.73810825587753,889,47.66756032171582,1.6715850941586534,1.5537777429210948,1.1922334506642411,1.1198847834723853,112,159,BEAR,price_vs_ema9_ok
VALIDATION,OPPOSING,151,148,66,82,3,0,44.5945945945946,77,50.99337748344371,1.183763271381163,1.553132438655309,0.8721848351595033,1.1305524342422104,79,97,BEAR,price_vs_ema9_ok
VALIDATION,FAVORABLE,1958,1906,934,972,42,10,49.00314795383001,920,46.986721144024514,1.7362082963507954,1.5585177542332398,1.202600584374311,1.109907984527257,112,159,BULL,price_vs_ema9_ok
VALIDATION,OPPOSING,160,157,70,87,1,2,44.5859872611465,73,45.625,1.2987875126719266,1.4320073991184654,0.9248518752776761,1.1945400854219088,84,95,BULL,price_vs_ema9_ok
DISCOVERY,FAVORABLE,3722,3641,1867,1774,13,68,51.277121669870915,1717,46.13111230521225,1.3095888343976665,1.2515847268871818,0.9329998224360563,0.8897808873518727,112,158,ALL,price_vs_ema20_ok
DISCOVERY,OPPOSING,447,433,211,222,1,13,48.729792147806,213,47.651006711409394,1.1261270884601386,1.1748445211189145,0.7810078936464312,0.8280912590367256,110,151,ALL,price_vs_ema20_ok
DISCOVERY,UNKNOWN,4,4,2,2,0,0,50.0,1,25.0,0.8165293035658738,0.8102951092556891,0.8176722160869947,0.48289918705929824,4,1,ALL,price_vs_ema20_ok
VALIDATION,FAVORABLE,3731,3645,1823,1822,62,24,50.01371742112483,1766,47.33315465022782,1.7102446333244938,1.5525977897911947,1.2026840363190894,1.1156086484351815,112,159,ALL,price_vs_ema20_ok
VALIDATION,OPPOSING,403,395,175,220,5,3,44.30379746835443,193,47.89081885856079,1.2968575035561396,1.539144123378372,0.9239815203695878,1.1550854155267831,110,136,ALL,price_vs_ema20_ok
DISCOVERY,FAVORABLE,1888,1843,915,928,11,34,49.64731416169289,854,45.233050847457626,1.3225336496376296,1.2797398931680908,0.9451023457625536,0.9312801105242917,112,158,BEAR,price_vs_ema20_ok
