research_period,ma_stack_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
DISCOVERY,FULL_FAVORABLE,2503,2450,1277,1173,11,42,52.12244897959184,1175,46.94366759888134,1.3465807350747856,1.2733612539894088,0.9694436832008715,0.9039110190755153,112,158,ALL
DISCOVERY,FULL_OPPOSING,215,210,106,104,1,4,50.476190476190474,104,48.372093023255815,1.1129785497707398,1.2085760597929063,0.7875417130144651,0.7865621952449805,90,122,ALL
DISCOVERY,MIXED,342,338,165,173,0,4,48.81656804733728,157,45.90643274853801,1.2918378509466264,1.244280104897642,0.8860977659515832,0.849508816937651,104,137,ALL
DISCOVERY,MOSTLY_FAVORABLE,740,721,364,357,2,17,50.48543689320388,327,44.189189189189186,1.2429967309109842,1.2041682715808324,0.8703503008145173,0.8466452309193949,112,157,ALL
DISCOVERY,MOSTLY_OPPOSING,362,348,164,184,0,14,47.12643678160919,164,45.30386740331492,1.1119889337546467,1.141312037675041,0.7323458731207958,0.893355637154374,108,138,ALL
DISCOVERY,UNKNOWN,11,11,4,7,0,0,36.36363636363637,4,36.36363636363637,0.6351344885550589,0.9040626161026197,0.21525946997328796,0.6981896498459819,11,1,ALL
VALIDATION,FULL_FAVORABLE,2492,2435,1213,1222,36,21,49.81519507186858,1173,47.07062600321027,1.736344067877563,1.5215272730225777,1.2201776444542034,1.1013134321964304,112,159,ALL
VALIDATION,FULL_OPPOSING,201,197,86,111,2,2,43.65482233502538,92,45.77114427860697,1.306734122074314,1.4784130282893415,0.91968117719192,1.070882202957683,90,105,ALL
VALIDATION,MIXED,355,347,176,171,7,1,50.720461095100866,172,48.45070422535211,1.6402846924917727,1.6133494421842458,1.1392811296534053,1.1419723216877893,104,139,ALL
VALIDATION,MOSTLY_FAVORABLE,710,697,350,347,11,2,50.21520803443329,339,47.74647887323944,1.6553900869024645,1.6340304593960437,1.1681046584911632,1.199933897419529,112,155,ALL
VALIDATION,MOSTLY_OPPOSING,376,364,173,191,11,1,47.527472527472526,183,48.670212765957444,1.4795353660735537,1.5726323782643918,1.1010718421647554,1.1189490464715943,108,141,ALL
DISCOVERY,FULL_FAVORABLE,1259,1231,631,600,9,19,51.2591389114541,579,45.988880063542496,1.3594413494937954,1.3136753165377666,0.990777880626688,0.9464570900226941,112,158,BEAR
DISCOVERY,FULL_OPPOSING,113,111,57,54,0,2,51.351351351351354,58,51.32743362831859,1.132334453952095,1.2441611777455288,0.7845579078455736,0.8473917437611781,69,79,BEAR
DISCOVERY,MIXED,164,163,80,83,0,1,49.079754601226995,79,48.170731707317074,1.4124273523783575,1.2718404197158903,0.9293053004823493,0.9301798140105281,84,98,BEAR
DISCOVERY,MOSTLY_FAVORABLE,392,379,175,204,2,11,46.17414248021108,161,41.07142857142857,1.2464026465034903,1.1968468766408493,0.8591008676524514,0.848526630891629,109,139,BEAR
DISCOVERY,MOSTLY_OPPOSING,188,183,84,99,0,5,45.90163934426229,87,46.276595744680854,1.116602323771188,1.1246727467652333,0.7029537267602753,0.9213970930417736,88,109,BEAR
DISCOVERY,UNKNOWN,5,5,0,5,0,0,0.0,1,20.0,0.17315945837152807,1.5269640385043035,0.13144717075612142,1.636083664827398,5,1,BEAR
DISCOVERY,FULL_FAVORABLE,1244,1219,646,573,2,23,52.99425758818704,596,47.90996784565916,1.3335650489385051,1.2325610894006773,0.9571137240915913,0.8713489512294508,112,158,BULL
DISCOVERY,FULL_OPPOSING,102,99,49,50,1,2,49.494949494949495,46,45.09803921568628,1.0915352441580617,1.169153331080687,0.8260578697094868,0.7169878898040651,64,73,BULL
DISCOVERY,MIXED,178,175,85,90,0,3,48.57142857142857,78,43.82022471910113,1.1807329170432335,1.2188874552898175,0.864282799857639,0.7965232445575494,87,107,BULL
DISCOVERY,MOSTLY_FAVORABLE,348,342,189,153,0,6,55.26315789473684,166,47.701149425287355,1.2391601823125287,1.2124153601339165,0.9170840600968009,0.8391710803615986,105,136,BULL
DISCOVERY,MOSTLY_OPPOSING,174,165,80,85,0,9,48.484848484848484,77,44.252873563218394,1.107004351437924,1.1592901221063276,0.7409752635741422,0.800239162623263,85,98,BULL
DISCOVERY,UNKNOWN,6,6,4,2,0,0,66.66666666666667,3,50.0,1.0201136803746682,0.38497809743454986,1.0835396173031384,0.24609331127464673,6,1,BULL
VALIDATION,FULL_FAVORABLE,1261,1232,625,607,18,11,50.73051948051948,591,46.86756542426645,1.7281916280094665,1.5738807741182823,1.2116836989831876,1.1308094278369807,112,159,BEAR
VALIDATION,FULL_OPPOSING,93,92,44,48,1,0,47.82608695652174,48,51.61290322580645,1.315456099560476,1.4578555142407568,1.03330662596404,0.9435629699120411,59,64,BEAR
VALIDATION,MIXED,147,145,80,65,1,1,55.172413793103445,82,55.78231292517007,1.606064694457843,1.306641117784667,1.2607099143206868,0.9644919523282965,78,87,BEAR
VALIDATION,MOSTLY_FAVORABLE,341,337,164,173,2,2,48.6646884272997,161,47.21407624633431,1.5118959148090862,1.626306298977296,1.0785348400216217,1.210038693670196,106,138,BEAR
VALIDATION,MOSTLY_OPPOSING,174,171,81,90,2,1,47.36842105263158,84,48.275862068965516,1.396663088334377,1.5254458478830155,1.0276212555997524,1.0547450076262463,81,100,BEAR
VALIDATION,FULL_FAVORABLE,1231,1203,588,615,18,10,48.87780548628429,582,47.27863525588952,1.7446951862152322,1.4678978945646708,1.226842634203695,1.0722610722610688,112,159,BULL
VALIDATION,FULL_OPPOSING,108,105,42,63,1,2,40.0,44,40.74074074074074,1.2992235303501192,1.4961153320534009,0.8727397212895318,1.1687854991475919,72,73,BULL
VALIDATION,MIXED,208,202,96,106,6,0,47.524752475247524,90,43.26923076923077,1.6644690180253674,1.8301096522166407,1.0016971435066508,1.3357622120223374,90,113,BULL
VALIDATION,MOSTLY_FAVORABLE,369,360,186,174,9,0,51.666666666666664,178,48.23848238482385,1.78799581233293,1.6411685046610651,1.237887709212294,1.1917960088691788,105,136,BULL
VALIDATION,MOSTLY_OPPOSING,202,193,92,101,9,0,47.66839378238342,99,49.00990099009901,1.5509203973934387,1.6132782014641915,1.1303964202123553,1.1325273839823962,95,100,BULL
