research_period,cross_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,feature
DISCOVERY,ADVERSE_CROSS,21,21,7,14,0,0,33.333333333333336,8,38.095238095238095,1.257262675790934,1.038862004506452,0.8687485325193814,0.8979369712561213,20,19,ALL,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,456,447,213,234,1,8,47.651006711409394,200,43.85964912280702,1.1527730582431994,1.2084043256626245,0.851614474560479,0.9409896706212169,109,149,ALL,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,3373,3296,1701,1595,12,65,51.60800970873787,1566,46.427512600059295,1.3256621009519551,1.2603514860700513,0.9434889434889373,0.8929238586266319,112,158,ALL,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,320,311,158,153,1,8,50.80385852090032,156,48.75,1.111209245584438,1.124398206335759,0.7854967284845109,0.77062493556877,103,141,ALL,price_ema9_cross_state
DISCOVERY,UNKNOWN,3,3,1,2,0,0,33.333333333333336,1,33.333333333333336,0.6074371785290202,0.991190570916714,0.19153875349755461,0.6981896498459819,3,1,ALL,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,18,18,8,10,0,0,44.44444444444444,8,44.44444444444444,1.161434526517197,1.4889072753469195,0.8944097867855618,0.730662494907196,16,17,ALL,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,450,433,219,214,12,5,50.57736720554273,220,48.888888888888886,1.546873314099156,1.5426250145852916,1.1553936615144378,1.1219267117973506,110,151,ALL,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,3373,3302,1643,1659,51,20,49.75772259236826,1589,47.109398161873706,1.7257364522727918,1.558017194418365,1.2050461306721854,1.115241635687737,112,159,ALL,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,293,287,128,159,4,2,44.599303135888505,142,48.4641638225256,1.2479468755247585,1.490934645527855,0.8904483980745075,1.182742594052241,98,128,ALL,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,11,11,3,8,0,0,27.272727272727273,4,36.36363636363637,1.2468520555489075,1.1541581208320748,0.5937849458978409,0.8979369712561213,11,11,BEAR,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,224,220,106,114,1,3,48.18181818181818,97,43.30357142857143,1.187785366098295,1.273221433093397,0.8634355278813892,1.0210466245336707,91,115,BEAR,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,1719,1677,835,842,10,32,49.79129397734049,782,45.49156486329261,1.3399749910883256,1.2814445013707436,0.9590699927343134,0.9266690988690126,112,158,BEAR,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,166,163,83,80,0,3,50.920245398773005,82,49.397590361445786,1.1282105972709955,1.1359957548451065,0.7757422955102553,0.8121309081213048,85,106,BEAR,price_ema9_cross_state
DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,10,10,4,6,0,0,40.0,4,40.0,1.268714358057163,0.9120362765482672,0.8769073004157666,0.9250901214767122,10,10,BULL,price_ema9_cross_state
DISCOVERY,FAVORABLE_CROSS,232,227,107,120,0,5,47.136563876651984,103,44.39655172413793,1.118968071348624,1.1458222909018778,0.8237207250612981,0.7731951101582888,98,115,BULL,price_ema9_cross_state
DISCOVERY,FAVORABLE_HOLD,1654,1619,866,753,2,33,53.48980852378011,784,47.40024183796856,1.3107867332709264,1.2384295433240482,0.9263733155439722,0.8643296845170876,112,158,BULL,price_ema9_cross_state
DISCOVERY,OPPOSING_HOLD,154,148,75,73,1,5,50.67567567567568,74,48.05194805194805,1.0928831132469798,1.111896952747761,0.8325612490953732,0.7398269027373607,79,92,BULL,price_ema9_cross_state
DISCOVERY,UNKNOWN,2,2,1,1,0,0,50.0,1,50.0,0.8980826454626304,0.46138377406133035,0.8980826454626304,0.46138377406133035,2,1,BULL,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,12,12,7,5,0,0,58.333333333333336,7,58.333333333333336,1.2264795862663667,1.6366860458110484,0.8944097867855618,0.6962744102917273,12,11,BEAR,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,243,237,117,120,2,4,49.36708860759494,121,49.794238683127574,1.4886547731783912,1.4339763940084778,1.1964524765729523,1.0035700771597171,98,120,BEAR,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,1622,1592,811,781,19,11,50.94221105527638,768,47.348951911220716,1.6989908080909617,1.571725787178657,1.1894913157944416,1.1335897273659525,112,158,BEAR,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,139,136,59,77,3,0,43.38235294117647,70,50.35971223021583,1.180075531966613,1.5459191776058925,0.8583381419503735,1.1813039193184647,78,91,BEAR,price_ema9_cross_state
VALIDATION,ADVERSE_CROSS,6,6,1,5,0,0,16.666666666666668,1,16.666666666666668,1.0313444070188578,1.193349734418662,0.8708838366415403,0.8017634575437305,6,6,BULL,price_ema9_cross_state
VALIDATION,FAVORABLE_CROSS,207,196,102,94,10,1,52.04081632653061,99,47.82608695652174,1.6152168186583145,1.6701690474363338,1.093086402562142,1.277411113476675,95,116,BULL,price_ema9_cross_state
VALIDATION,FAVORABLE_HOLD,1751,1710,832,878,32,9,48.654970760233915,821,46.88749286122216,1.7505116863464227,1.545318543671823,1.2186335014567349,1.095374609558856,112,159,BULL,price_ema9_cross_state
VALIDATION,OPPOSING_HOLD,154,151,69,82,1,2,45.6953642384106,72,46.753246753246756,1.3092073739311372,1.4413057496911845,0.9248518752776761,1.2189025241172957,84,92,BULL,price_ema9_cross_state
DISCOVERY,ADVERSE_CROSS,17,17,9,8,0,0,52.94117647058823,6,35.294117647058826,0.9008034058464349,0.9898727352644561,0.8353599156037219,0.7982583454281732,15,16,ALL,price_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,444,436,221,215,1,7,50.68807339449541,199,44.81981981981982,1.2134242448331798,1.1270084247391496,0.8860834258708874,0.8218047434518663,108,145,ALL,price_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,3278,3205,1646,1559,12,61,51.3572542901716,1518,46.308724832214764,1.3226141784387375,1.268458393193993,0.9419828242165467,0.9003882228936331,112,158,ALL,price_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,429,415,202,213,1,13,48.674698795180724,207,48.25174825174825,1.1368310641567918,1.1833100643639969,0.7810078936464312,0.8328803392568388,109,149,ALL,price_ema20_cross_state
DISCOVERY,UNKNOWN,5,5,2,3,0,0,40.0,1,20.0,0.7261482666584944,0.7857654531054129,0.3646241190289764,0.6876468285043075,5,1,ALL,price_ema20_cross_state
VALIDATION,ADVERSE_CROSS,17,17,9,8,0,0,52.94117647058823,10,58.8235294117647,1.5209223586088079,1.5991261108248134,0.8721848351595033,0.8691588785046793,17,16,ALL,price_ema20_cross_state
VALIDATION,FAVORABLE_CROSS,484,464,234,230,17,3,50.43103448275862,236,48.760330578512395,1.630864850085468,1.569378180212222,1.188137951703381,1.1426923436411225,110,149,ALL,price_ema20_cross_state
VALIDATION,FAVORABLE_HOLD,3247,3181,1589,1592,45,21,49.95284501729016,1530,47.12041884816754,1.722077037108814,1.5500964935288672,1.2049731161645074,1.113818996179677,112,159,ALL,price_ema20_cross_state
VALIDATION,OPPOSING_HOLD,386,378,166,212,5,3,43.91534391534392,183,47.409326424870464,1.2869893622714366,1.5365024296307308,0.92700204686651,1.1580434771017596,109,136,ALL,price_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,11,11,4,7,0,0,36.36363636363637,2,18.181818181818183,0.8435086177360386,1.2790192589310068,0.2470092507386017,0.9057005860415579,10,11,BEAR,price_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,228,223,113,110,1,4,50.672645739910315,106,46.49122807017544,1.2320385080551344,1.1543938192698344,0.9159282846347855,0.8872484062056089,92,113,BEAR,price_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1660,1620,802,818,10,30,49.50617283950617,748,45.06024096385542,1.33496310281884,1.2969561009083332,0.9544317895616858,0.9364679172110372,112,158,BEAR,price_ema20_cross_state
DISCOVERY,OPPOSING_HOLD,220,216,108,108,0,4,50.0,109,49.54545454545455,1.1995114273404677,1.1744088932934948,0.7860498104300193,0.8365280755396436,99,119,BEAR,price_ema20_cross_state
DISCOVERY,UNKNOWN,2,2,0,2,0,0,0.0,0,0.0,0.1953851818453881,1.3692254965658943,0.1953851818453881,1.3692254965658943,2,1,BEAR,price_ema20_cross_state
DISCOVERY,ADVERSE_CROSS,6,6,5,1,0,0,83.33333333333333,4,66.66666666666667,1.0058438507154948,0.45977077520911297,1.0121305811081915,0.27279146572280294,6,6,BULL,price_ema20_cross_state
DISCOVERY,FAVORABLE_CROSS,216,213,108,105,0,3,50.70422535211268,93,43.05555555555556,1.1937758558766722,1.0981016194012045,0.8651785032623227,0.7346680675121617,94,108,BULL,price_ema20_cross_state
DISCOVERY,FAVORABLE_HOLD,1618,1585,844,741,2,31,53.24921135646688,770,47.58961681087763,1.3099447010153946,1.239220942757772,0.9263733155439722,0.8633535173012687,112,158,BULL,price_ema20_cross_state
