symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,prior_rth_close,pdh,pdl,a44_prior_close_location_raw,a44_prior_close_location_dir,a44_prior_close_to_pd_extreme_dir_pct,a44_prior_day_range_from_levels_pct
AAPL,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,,,,,,,
AAPL,2025-05-29,BEAR,AE2_RECLAIM,2,2025-05-29 13:31:00+00:00,200.41,202.73,199.9,0.18021201413427343,0.8197879858657265,0.25447831944513294,1.4121051843720294
AAPL,2025-06-05,BEAR,AE2_RECLAIM,2,2025-06-05 13:31:00+00:00,202.887,206.24,202.1,0.19009661835748873,0.8099033816425113,0.3879006540586662,2.0405447367253764
AAPL,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,201.55,202.3,198.96,0.7754491017964075,0.22455089820359253,1.2850409327710262,1.657157032994296
AAPL,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,200.29,203.44,200.2,0.02777777777777875,0.02777777777777875,1.5727195566428709,1.6176544011183829
AAPL,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,201.6,203.67,200.6201,0.3212892225974599,0.3212892225974599,1.026785714285711,1.5128472222222122
AAPL,2025-06-30,BEAR,AE2_RECLAIM,2,2025-06-30 13:31:00+00:00,201.1,203.22,200.0,0.3416149068322965,0.6583850931677036,0.5469915464942786,1.6011934361014415
AAPL,2025-07-01,BULL,AE2_RECLAIM,2,2025-07-01 13:31:00+00:00,205.12,207.39,199.2607,0.7207631653401905,0.7207631653401905,1.106669266770662,3.963192277691094
AAPL,2025-07-03,BEAR,AE2_RECLAIM,2,2025-07-03 13:31:00+00:00,212.41,213.34,208.14,0.8211538461538455,0.17884615384615454,2.01026317028389,2.448095664045957
AAPL,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,211.075,212.13,209.86,0.535242290748892,0.535242290748892,0.4998223380315086,1.0754471159540362
AAPL,2025-07-25,BEAR,AE2_RECLAIM,2,2025-07-25 13:31:00+00:00,213.76,215.69,213.53,0.10648148148147692,0.893518518518523,0.10759730538921677,1.010479041916166
AAPL,2025-07-29,BULL,AE2_RECLAIM,2,2025-07-29 13:31:00+00:00,214.04,214.845,213.06,0.5490196078431325,0.5490196078431325,0.3760979256213824,0.8339562698561
AAPL,2025-08-06,BULL,AE2_RECLAIM,2,2025-08-06 13:31:00+00:00,202.93,205.34,202.16,0.2421383647798769,0.2421383647798769,1.1876016360321275,1.5670428226482074
AAPL,2025-08-07,BEAR,AE2_RECLAIM,2,2025-08-07 13:31:00+00:00,213.25,215.38,205.59,0.7824310520939737,0.21756894790602632,3.59202813599062,4.590855803048062
AAPL,2025-08-08,BEAR,AE2_RECLAIM,2,2025-08-08 13:31:00+00:00,220.13,220.85,216.58,0.8313817330210769,0.16861826697892313,1.6126834143460604,1.9397628673965301
AAPL,2025-08-12,BULL,AE2_RECLAIM,2,2025-08-12 13:31:00+00:00,227.27,229.56,224.76,0.5229166666666695,0.5229166666666695,1.0076120913450926,2.112025344304137
AAPL,2025-08-13,BULL,AE2_RECLAIM,2,2025-08-13 13:31:00+00:00,229.64,230.8,227.07,0.6890080428954372,0.6890080428954372,0.5051384776171508,1.6242814840620183
AAPL,2025-08-20,BEAR,AE2_RECLAIM,2,2025-08-20 13:31:00+00:00,230.56,232.87,229.35,0.3437500000000013,0.6562499999999987,0.524809160305347,1.526717557251913
