research_period,feature,role,quintile,n,ff_pct,baseline_ff_pct,lift_pp
DISCOVERY,a44_prior_close_location_dir,PRIMARY,Q1,73,46.57534246575342,56.043956043956044,-9.468613578202621
DISCOVERY,a44_prior_close_location_dir,PRIMARY,Q2,73,58.9041095890411,56.043956043956044,2.860153545085055
DISCOVERY,a44_prior_close_location_dir,PRIMARY,Q3,72,63.888888888888886,56.043956043956044,7.844932844932842
DISCOVERY,a44_prior_close_location_dir,PRIMARY,Q4,73,58.9041095890411,56.043956043956044,2.860153545085055
DISCOVERY,a44_prior_close_location_dir,PRIMARY,Q5,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q1,73,49.31506849315068,56.043956043956044,-6.728887550805361
DISCOVERY,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q2,73,58.9041095890411,56.043956043956044,2.860153545085055
DISCOVERY,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q3,72,58.333333333333336,56.043956043956044,2.289377289377292
DISCOVERY,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q4,73,60.273972602739725,56.043956043956044,4.2300165587836815
DISCOVERY,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q5,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a44_prior_day_range_from_levels_pct,CONTROL,Q1,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a44_prior_day_range_from_levels_pct,CONTROL,Q2,73,56.16438356164384,56.043956043956044,0.12042751768779425
DISCOVERY,a44_prior_day_range_from_levels_pct,CONTROL,Q3,72,52.77777777777778,56.043956043956044,-3.2661782661782652
DISCOVERY,a44_prior_day_range_from_levels_pct,CONTROL,Q4,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a44_prior_day_range_from_levels_pct,CONTROL,Q5,73,61.64383561643836,56.043956043956044,5.599879572482315
VALIDATION,a44_prior_close_location_dir,PRIMARY,Q1,61,55.73770491803279,57.840616966580974,-2.102912048548184
VALIDATION,a44_prior_close_location_dir,PRIMARY,Q2,88,57.95454545454545,57.840616966580974,0.11392848796447907
VALIDATION,a44_prior_close_location_dir,PRIMARY,Q3,74,58.108108108108105,57.840616966580974,0.26749114152713105
VALIDATION,a44_prior_close_location_dir,PRIMARY,Q4,81,54.32098765432099,57.840616966580974,-3.519629312259987
VALIDATION,a44_prior_close_location_dir,PRIMARY,Q5,85,62.35294117647059,57.840616966580974,4.512324209889613
VALIDATION,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q1,64,64.0625,57.840616966580974,6.221883033419026
VALIDATION,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q2,69,56.52173913043478,57.840616966580974,-1.3188778361461928
VALIDATION,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q3,75,56.0,57.840616966580974,-1.8406169665809742
VALIDATION,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q4,77,51.94805194805195,57.840616966580974,-5.892565018529027
VALIDATION,a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,Q5,104,60.57692307692308,57.840616966580974,2.736306110342106
VALIDATION,a44_prior_day_range_from_levels_pct,CONTROL,Q1,27,55.55555555555556,57.840616966580974,-2.285061411025417
VALIDATION,a44_prior_day_range_from_levels_pct,CONTROL,Q2,46,52.17391304347826,57.840616966580974,-5.666703923102716
VALIDATION,a44_prior_day_range_from_levels_pct,CONTROL,Q3,73,57.534246575342465,57.840616966580974,-0.3063703912385094
VALIDATION,a44_prior_day_range_from_levels_pct,CONTROL,Q4,102,56.86274509803921,57.840616966580974,-0.9778718685417616
VALIDATION,a44_prior_day_range_from_levels_pct,CONTROL,Q5,141,60.99290780141844,57.840616966580974,3.1522908348374656
