feature,role,edge_0,edge_1,edge_2,edge_3,edge_4,edge_5
a44_prior_close_location_dir,PRIMARY,0.0,0.407187984446875,0.6524714481498437,0.8077359097978832,0.9100511133037876,1.0
a44_prior_close_to_pd_extreme_dir_pct,SECONDARY,0.0,0.18491222683432154,0.4096814141474378,0.7095831061855389,1.1859762258766826,5.317504482779956
a44_prior_day_range_from_levels_pct,CONTROL,0.6673673147661641,1.4267224167126782,1.8777881408670674,2.407184073683805,3.393623809920438,9.226433665730786
