symbol,market_5d_primary_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n
AAPL,CONSENSUS_ALIGNED,44,43,20,23,0,1,46.51162790697674,43.18181818181818,0.8670756277612157,0.868964409321901,1,44
AAPL,CONSENSUS_OPPOSING,31,29,15,14,0,2,51.724137931034484,54.83870967741935,0.9777246996091953,1.031379175214513,1,31
AAPL,MIXED,4,4,2,2,0,0,50.0,50.0,1.1615511921190198,1.4804470919018313,1,4
AAPL,UNKNOWN,2,2,2,0,0,0,100.0,100.0,1.4640075960371106,0.4032079039798122,1,2
ABBV,CONSENSUS_ALIGNED,30,27,11,16,1,2,40.74074074074074,46.666666666666664,0.9425756432204077,1.1670412987379968,1,30
ABBV,CONSENSUS_OPPOSING,30,30,17,13,0,0,56.666666666666664,50.0,0.8967243546319106,0.9979048756991066,1,30
ABBV,MIXED,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.9270039193582663,0.9795218505371256,1,3
ABBV,UNKNOWN,1,1,0,1,0,0,0.0,0.0,0.14389270491134926,0.9909591942008618,1,1
ABNB,CONSENSUS_ALIGNED,36,35,18,17,0,1,51.42857142857143,41.666666666666664,1.301212484009732,1.3250007877202654,1,36
ABNB,CONSENSUS_OPPOSING,21,21,12,9,0,0,57.142857142857146,42.857142857142854,1.5339032359904419,0.8261378477887396,1,21
ABNB,MIXED,6,6,2,4,0,0,33.333333333333336,33.333333333333336,1.158097114886102,1.3815416558767364,1,6
ABNB,UNKNOWN,1,1,1,0,0,0,100.0,100.0,0.7270606531881711,0.5132192846034189,1,1
ADBE,CONSENSUS_ALIGNED,36,36,15,21,0,0,41.666666666666664,41.666666666666664,1.6605129456144554,1.527300815294077,1,36
ADBE,CONSENSUS_OPPOSING,45,44,23,21,1,0,52.27272727272727,48.888888888888886,1.4789189447080677,1.3299656881783268,1,45
ADBE,MIXED,3,3,2,1,0,0,66.66666666666667,0.0,1.7605256333477042,0.7667931172982027,1,3
ADBE,UNKNOWN,2,2,0,2,0,0,0.0,0.0,0.9840333110180999,1.1877078870258746,1,2
AMAT,CONSENSUS_ALIGNED,26,25,16,9,1,0,64.0,53.84615384615385,2.0959273711622375,1.4660258676351339,1,26
AMAT,CONSENSUS_OPPOSING,37,35,15,20,2,0,42.857142857142854,48.648648648648646,2.343928243202777,2.2254660069283885,1,37
AMAT,MIXED,5,5,2,3,0,0,40.0,40.0,3.8155061209926715,0.9456685917067651,1,5
AMAT,UNKNOWN,3,3,1,2,0,0,33.333333333333336,33.333333333333336,1.1202228236521024,1.00990506169504,1,3
AMD,CONSENSUS_ALIGNED,51,51,20,31,0,0,39.21568627450981,37.254901960784316,2.3452041359830567,1.9689623451093383,1,51
AMD,CONSENSUS_OPPOSING,47,47,21,26,0,0,44.680851063829785,55.319148936170215,2.120547889288957,2.2958901186071285,1,47
AMD,MIXED,7,7,5,2,0,0,71.42857142857143,57.142857142857146,1.6897471583604384,2.6607657351068164,1,7
AMD,UNKNOWN,3,3,1,2,0,0,33.333333333333336,33.333333333333336,0.792066455969596,2.172910478902612,1,3
