quarter,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,feature
2026Q1,MARKET_OPPOSING_STOCK_ALIGNED,301,297,149,148,3,1,50.168350168350166,46.84385382059801,1.775360736569681,1.3706838309186653,103,54,market_stock_5d_state
2026Q1,OTHER,179,170,82,88,9,0,48.23529411764706,44.6927374301676,1.8958584613634397,1.5474354245577584,94,7,market_stock_5d_state
2026Q2,BOTH_ALIGNED,446,436,208,228,6,4,47.706422018348626,45.73991031390135,1.849616032779483,1.6484938802011855,111,56,market_stock_5d_state
2026Q2,BOTH_OPPOSING,454,440,235,205,9,5,53.40909090909091,50.440528634361236,1.8449508137059214,1.6183723129967682,107,56,market_stock_5d_state
2026Q2,MARKET_ALIGNED_STOCK_OPPOSING,299,295,140,155,4,0,47.45762711864407,44.147157190635454,1.6661035191315041,1.4748832223105035,97,55,market_stock_5d_state
2026Q2,MARKET_OPPOSING_STOCK_ALIGNED,252,248,134,114,3,1,54.03225806451613,50.0,1.7784980228283107,1.432828638150681,95,55,market_stock_5d_state
2026Q2,OTHER,176,174,82,92,0,2,47.12643678160919,49.43181818181818,1.4662716119944172,1.6903413505998535,93,6,market_stock_5d_state
2026Q3,BOTH_ALIGNED,316,301,127,174,12,3,42.19269102990033,44.936708860759495,1.6768676155599547,1.5459645221901228,95,36,market_stock_5d_state
2026Q3,BOTH_OPPOSING,280,275,144,131,2,3,52.36363636363637,54.285714285714285,1.8070317977837005,1.6897743510413328,96,36,market_stock_5d_state
2026Q3,MARKET_ALIGNED_STOCK_OPPOSING,202,197,89,108,5,0,45.17766497461929,49.00990099009901,1.3238593098561624,1.5536019954702176,92,36,market_stock_5d_state
2026Q3,MARKET_OPPOSING_STOCK_ALIGNED,158,156,76,80,1,1,48.717948717948715,43.67088607594937,1.465163614634576,1.7221591712406463,79,35,market_stock_5d_state
2026Q3,OTHER,139,134,64,70,1,4,47.76119402985075,44.60431654676259,1.6737982068653299,1.3714450162659562,86,5,market_stock_5d_state
