research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,feature
VALIDATION,BULL,BOTH_ALIGNED,697,678,309,369,14,5,45.575221238938056,45.19368723098996,1.5839334709497912,1.6092219449056624,112,80,market_stock_5d_state
VALIDATION,BULL,BOTH_OPPOSING,461,445,234,211,11,5,52.58426966292135,52.711496746203906,1.9492331223219543,1.5340779957571113,104,61,market_stock_5d_state
VALIDATION,BULL,MARKET_ALIGNED_STOCK_OPPOSING,433,426,205,221,7,0,48.12206572769953,45.26558891454965,1.548414113761875,1.5290127703319636,107,80,market_stock_5d_state
VALIDATION,BULL,MARKET_OPPOSING_STOCK_ALIGNED,314,308,159,149,4,2,51.62337662337662,45.54140127388535,1.7617550156739763,1.377778068606432,101,62,market_stock_5d_state
VALIDATION,BULL,OTHER,213,206,97,109,7,0,47.0873786407767,45.070422535211264,1.788964138307136,1.6768847507427378,91,17,market_stock_5d_state
DISCOVERY,BEAR,MARKET_NOT_OPPOSING,850,839,412,427,2,9,49.106078665077476,46.23529411764706,1.3576105589499072,1.3641874111368377,112,63,market_exhaustion_state
DISCOVERY,BEAR,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,162,159,77,82,1,2,48.42767295597484,42.592592592592595,1.3298954435242372,1.2443117607582381,72,80,market_exhaustion_state
DISCOVERY,BEAR,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,1109,1074,538,536,8,27,50.093109869646185,45.356176735798016,1.2633844659433608,1.1994488124059066,112,95,market_exhaustion_state
DISCOVERY,BULL,MARKET_NOT_OPPOSING,1704,1662,866,796,2,40,52.10589651022864,45.598591549295776,1.265673802528884,1.1698803441715089,112,132,market_exhaustion_state
DISCOVERY,BULL,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,66,64,31,33,0,2,48.4375,53.03030303030303,1.382028402071345,1.5809031532585207,47,20,market_exhaustion_state
DISCOVERY,BULL,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,282,280,156,124,1,1,55.714285714285715,54.60992907801418,1.285486254073042,1.4101162503569427,102,26,market_exhaustion_state
VALIDATION,BEAR,MARKET_NOT_OPPOSING,1012,991,468,523,13,8,47.22502522704339,45.948616600790515,1.5640170089320897,1.5474771784906654,112,79,market_exhaustion_state
VALIDATION,BEAR,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,192,190,81,109,2,0,42.63157894736842,39.0625,1.8146594094752826,1.8873356969069481,82,64,market_exhaustion_state
VALIDATION,BEAR,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,812,796,445,351,9,7,55.904522613065325,52.46305418719212,1.6811017671501423,1.482639323086337,112,80,market_exhaustion_state
VALIDATION,BULL,MARKET_NOT_OPPOSING,1343,1310,611,699,28,5,46.6412213740458,45.19731943410275,1.6049994802459537,1.5940928347439984,112,97,market_exhaustion_state
VALIDATION,BULL,OPPOSING_MARKET_MULTIPLE_EXHAUSTION,188,184,86,98,4,0,46.73913043478261,43.61702127659574,2.1910064404045246,1.4774424898216034,77,58,market_exhaustion_state
VALIDATION,BULL,OPPOSING_MARKET_NOT_MULTIPLE_EXHAUSTION,587,569,307,262,11,7,53.95430579964851,51.78875638841567,1.7715133450017018,1.4686083160136056,109,62,market_exhaustion_state
