research_period,feature,quintile,n,ff_pct,preferred_baseline_ff_pct,lift_pp
DISCOVERY,a42_open_from_prior_close_dir_pct,Q1,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a42_open_from_prior_close_dir_pct,Q2,73,57.534246575342465,56.043956043956044,1.490290531386421
DISCOVERY,a42_open_from_prior_close_dir_pct,Q3,72,62.5,56.043956043956044,6.456043956043956
DISCOVERY,a42_open_from_prior_close_dir_pct,Q4,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a42_open_from_prior_close_dir_pct,Q5,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a42_open_to_pm_level_dir_pct,Q1,73,50.68493150684932,56.043956043956044,-5.359024537106727
DISCOVERY,a42_open_to_pm_level_dir_pct,Q2,73,61.64383561643836,56.043956043956044,5.599879572482315
DISCOVERY,a42_open_to_pm_level_dir_pct,Q3,72,58.333333333333336,56.043956043956044,2.289377289377292
DISCOVERY,a42_open_to_pm_level_dir_pct,Q4,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a42_open_to_pm_level_dir_pct,Q5,73,57.534246575342465,56.043956043956044,1.490290531386421
DISCOVERY,a42_open_to_ah_level_dir_pct,Q1,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a42_open_to_ah_level_dir_pct,Q2,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a42_open_to_ah_level_dir_pct,Q3,72,63.888888888888886,56.043956043956044,7.844932844932842
DISCOVERY,a42_open_to_ah_level_dir_pct,Q4,73,60.273972602739725,56.043956043956044,4.2300165587836815
DISCOVERY,a42_open_to_ah_level_dir_pct,Q5,73,47.945205479452056,56.043956043956044,-8.098750564503987
DISCOVERY,a42_open_to_pd_level_dir_pct,Q1,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a42_open_to_pd_level_dir_pct,Q2,73,63.013698630136986,56.043956043956044,6.969742586180942
DISCOVERY,a42_open_to_pd_level_dir_pct,Q3,72,58.333333333333336,56.043956043956044,2.289377289377292
DISCOVERY,a42_open_to_pd_level_dir_pct,Q4,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a42_open_to_pd_level_dir_pct,Q5,73,50.68493150684932,56.043956043956044,-5.359024537106727
DISCOVERY,a42_open_to_outermost_dir_pct,Q1,73,60.273972602739725,56.043956043956044,4.2300165587836815
DISCOVERY,a42_open_to_outermost_dir_pct,Q2,73,60.273972602739725,56.043956043956044,4.2300165587836815
DISCOVERY,a42_open_to_outermost_dir_pct,Q3,72,54.166666666666664,56.043956043956044,-1.8772893772893795
DISCOVERY,a42_open_to_outermost_dir_pct,Q4,73,52.054794520547944,56.043956043956044,-3.9891615234081
DISCOVERY,a42_open_to_outermost_dir_pct,Q5,73,53.42465753424658,56.043956043956044,-2.6192985097094663
DISCOVERY,a42_priorclose_to_outer_consumed_ratio,Q1,73,54.794520547945204,56.043956043956044,-1.2494354960108396
DISCOVERY,a42_priorclose_to_outer_consumed_ratio,Q2,73,46.57534246575342,56.043956043956044,-9.468613578202621
DISCOVERY,a42_priorclose_to_outer_consumed_ratio,Q3,72,55.55555555555556,56.043956043956044,-0.48840048840048667
DISCOVERY,a42_priorclose_to_outer_consumed_ratio,Q4,73,67.12328767123287,56.043956043956044,11.07933162727683
DISCOVERY,a42_priorclose_to_outer_consumed_ratio,Q5,73,56.16438356164384,56.043956043956044,0.12042751768779425
VALIDATION,a42_open_from_prior_close_dir_pct,Q1,54,64.81481481481481,57.840616966580974,6.974197848233835
VALIDATION,a42_open_from_prior_close_dir_pct,Q2,48,54.166666666666664,57.840616966580974,-3.67395029991431
VALIDATION,a42_open_from_prior_close_dir_pct,Q3,75,53.333333333333336,57.840616966580974,-4.5072836332476385
VALIDATION,a42_open_from_prior_close_dir_pct,Q4,92,55.43478260869565,57.840616966580974,-2.4058343578853254
VALIDATION,a42_open_from_prior_close_dir_pct,Q5,120,60.833333333333336,57.840616966580974,2.9927163667523615
VALIDATION,a42_open_to_pm_level_dir_pct,Q1,87,59.770114942528735,57.840616966580974,1.9294979759477613
VALIDATION,a42_open_to_pm_level_dir_pct,Q2,65,55.38461538461539,57.840616966580974,-2.4560015819655874
VALIDATION,a42_open_to_pm_level_dir_pct,Q3,82,58.53658536585366,57.840616966580974,0.6959683992726866
VALIDATION,a42_open_to_pm_level_dir_pct,Q4,72,58.333333333333336,57.840616966580974,0.4927163667523615
VALIDATION,a42_open_to_pm_level_dir_pct,Q5,83,56.626506024096386,57.840616966580974,-1.214110942484588
VALIDATION,a42_open_to_ah_level_dir_pct,Q1,108,58.333333333333336,57.840616966580974,0.4927163667523615
VALIDATION,a42_open_to_ah_level_dir_pct,Q2,104,55.76923076923077,57.840616966580974,-2.0713861973502077
VALIDATION,a42_open_to_ah_level_dir_pct,Q3,66,56.06060606060606,57.840616966580974,-1.7800109059749119
VALIDATION,a42_open_to_ah_level_dir_pct,Q4,57,59.64912280701754,57.840616966580974,1.8085058404365668
VALIDATION,a42_open_to_ah_level_dir_pct,Q5,54,61.111111111111114,57.840616966580974,3.27049414453014
VALIDATION,a42_open_to_pd_level_dir_pct,Q1,125,59.2,57.840616966580974,1.3593830334190287
VALIDATION,a42_open_to_pd_level_dir_pct,Q2,76,52.63157894736842,57.840616966580974,-5.2090380192125565
VALIDATION,a42_open_to_pd_level_dir_pct,Q3,59,69.49152542372882,57.840616966580974,11.650908457147843
VALIDATION,a42_open_to_pd_level_dir_pct,Q4,48,58.333333333333336,57.840616966580974,0.4927163667523615
VALIDATION,a42_open_to_pd_level_dir_pct,Q5,81,51.851851851851855,57.840616966580974,-5.988765114729119
VALIDATION,a42_open_to_outermost_dir_pct,Q1,105,60.0,57.840616966580974,2.159383033419026
VALIDATION,a42_open_to_outermost_dir_pct,Q2,74,54.054054054054056,57.840616966580974,-3.786562912526918
VALIDATION,a42_open_to_outermost_dir_pct,Q3,56,50.0,57.840616966580974,-7.840616966580974
VALIDATION,a42_open_to_outermost_dir_pct,Q4,70,64.28571428571429,57.840616966580974,6.445097319133318
VALIDATION,a42_open_to_outermost_dir_pct,Q5,84,58.333333333333336,57.840616966580974,0.4927163667523615
VALIDATION,a42_priorclose_to_outer_consumed_ratio,Q1,56,62.5,57.840616966580974,4.659383033419026
VALIDATION,a42_priorclose_to_outer_consumed_ratio,Q2,55,50.90909090909091,57.840616966580974,-6.931526057490068
VALIDATION,a42_priorclose_to_outer_consumed_ratio,Q3,54,61.111111111111114,57.840616966580974,3.27049414453014
VALIDATION,a42_priorclose_to_outer_consumed_ratio,Q4,99,57.57575757575758,57.840616966580974,-0.26485939082339627
VALIDATION,a42_priorclose_to_outer_consumed_ratio,Q5,125,57.6,57.840616966580974,-0.24061696658097276
