source,column,dtype
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_body_to_range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c1_favorable_vwap_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_favorable_vwap_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c1_range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,vwap_distance_change_pp,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c1_body_to_range_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_body_to_range_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c1_favorable_vwap_distance_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_favorable_vwap_distance_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c1_range_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,c2_range_pct__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,vwap_distance_change_pp__bucket,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,price_ema9_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,price_ema20_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,price_sma50_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ema9_ema20_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ema9_sma50_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ema20_sma50_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,open,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_close,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_close_vs_ema9_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_close_vs_ema20_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,gap_from_prior_close_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_prior_close_vs_ema9_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_prior_close_vs_ema20_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_gap_from_prior_close_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_prior_close_vs_ema9_pct__state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_prior_close_vs_ema20_pct__state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,directional_gap_from_prior_close_pct__state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,weekly_week_open,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,weekly_range_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_volume,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_volume_median_20d_prior,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_volume_median_60d_prior,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_rvol_20d,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_rvol_60d,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_rvol_20d_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_2m_rvol_20d_discovery_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,opening_participation_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,low_c2_rvol_market_opposition_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pmh,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pml,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pdh,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pdl,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_rth_close,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,prior_rth_bar_n,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ahh,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ahl,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_directional_level,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pm_directional_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,ah_directional_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_directional_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_level_structure_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_c1_cross,bool
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_c2_cross,bool
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_c2_closed_beyond,bool
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_proximity_state,str
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,nearest_ahead_level_distance_pct,float64
data\second1m_alt_entry_research_v1\ae2_session_levels_robustness_v1\ae2_session_levels_robustness_features_v1.parquet,pd_failed_break_candidate,str
