feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
c1_body_to_range_pct,BEAR,"(0.088, 25.0]",853,400,46.893317702227435,832,49.27884615384615,13.389737992483443,13.636363636364003
c1_body_to_range_pct,BEAR,"(25.0, 43.939]",820,375,45.73170731707317,801,48.68913857677903,34.77265736602473,35.0202156334249
c1_body_to_range_pct,BEAR,"(43.939, 58.974]",845,377,44.61538461538461,829,48.73341375150784,51.75627530651293,52.091254752851974
c1_body_to_range_pct,BEAR,"(58.974, 75.0]",829,407,49.09529553679131,814,52.334152334152336,66.83306065466853,66.66666666666733
c1_body_to_range_pct,BEAR,"(75.0, 100.0]",857,405,47.257876312718786,837,50.41816009557945,87.85759857312307,87.19211822660127
c1_body_to_range_pct,BULL,"(0.088, 25.0]",839,404,48.152562574493444,818,49.877750611246945,13.529799527078046,14.03508771929848
c1_body_to_range_pct,BULL,"(25.0, 43.939]",871,397,45.57979334098737,846,48.10874704491726,34.253168785335866,34.28571428571614
c1_body_to_range_pct,BULL,"(43.939, 58.974]",846,401,47.399527186761226,828,50.60386473429951,52.00710712970845,52.272727272729256
c1_body_to_range_pct,BULL,"(58.974, 75.0]",865,422,48.786127167630056,850,53.1764705882353,66.75867449298455,66.66666666666627
c1_body_to_range_pct,BULL,"(75.0, 100.0]",832,373,44.83173076923077,810,50.617283950617285,87.26220754672576,86.47103840818974
c2_body_to_range_pct,BEAR,"(0.00432, 22.276]",859,400,46.56577415599534,845,51.005917159763314,11.843822058354721,12.40310077519361
c2_body_to_range_pct,BEAR,"(22.276, 41.927]",858,417,48.6013986013986,832,49.51923076923077,32.07576280362476,32.01123595505844
c2_body_to_range_pct,BEAR,"(41.927, 60.811]",820,378,46.09756097560975,803,51.18306351183063,51.70377109310939,51.877938517179444
c2_body_to_range_pct,BEAR,"(60.811, 78.167]",840,396,47.142857142857146,825,50.303030303030305,69.49599507744973,69.34128490105651
c2_body_to_range_pct,BEAR,"(78.167, 100.0]",827,373,45.102781136638455,808,47.4009900990099,89.19829150947407,88.71111111111135
c2_body_to_range_pct,BULL,"(0.00432, 22.276]",833,406,48.739495798319325,816,51.838235294117645,11.511301919159935,11.686274509801972
c2_body_to_range_pct,BULL,"(22.276, 41.927]",833,395,47.418967587034814,810,50.370370370370374,32.24569198373273,32.00421052631435
c2_body_to_range_pct,BULL,"(41.927, 60.811]",872,427,48.96788990825688,851,52.99647473560517,51.40469225301938,51.410664544368586
c2_body_to_range_pct,BULL,"(60.811, 78.167]",850,392,46.11764705882353,828,49.15458937198068,69.31883619531051,69.46305262115433
c2_body_to_range_pct,BULL,"(78.167, 100.0]",865,377,43.58381502890173,847,48.05194805194805,89.36760017109293,88.85483421566134
c1_favorable_clv_pct,BEAR,"(49.999, 62.75]",862,387,44.895591647331784,845,45.917159763313606,56.589471325831795,56.756756756757795
c1_favorable_clv_pct,BEAR,"(62.75, 73.257]",860,421,48.95348837209303,841,52.794292508917955,68.06730089683431,68.18181818181814
c1_favorable_clv_pct,BEAR,"(73.257, 83.324]",834,390,46.76258992805755,818,50.8557457212714,78.14404773705934,78.09993315507936
c1_favorable_clv_pct,BEAR,"(83.324, 94.118]",827,390,47.1584038694075,805,49.68944099378882,88.4207529700785,88.51063829787188
c1_favorable_clv_pct,BEAR,"(94.118, 100.0]",821,376,45.79780755176614,804,50.24875621890547,98.65072335698824,100.0
c1_favorable_clv_pct,BULL,"(49.999, 62.75]",830,393,47.34939759036145,812,49.26108374384236,56.82523710413002,57.13060524381224
c1_favorable_clv_pct,BULL,"(62.75, 73.257]",831,400,48.13477737665463,817,50.06119951040392,68.18302715512479,68.29896907216444
c1_favorable_clv_pct,BULL,"(73.257, 83.324]",857,409,47.724620770128354,840,53.57142857142857,78.23417402554131,78.40909090909106
c1_favorable_clv_pct,BULL,"(83.324, 94.118]",864,397,45.949074074074076,834,49.16067146282974,88.6663564887133,88.66169154228842
c1_favorable_clv_pct,BULL,"(94.118, 100.0]",871,398,45.69460390355913,849,50.294464075382805,98.53604392604447,100.0
c2_favorable_clv_pct,BEAR,"(2.563, 62.162]",850,418,49.1764705882353,835,49.221556886227546,47.78000823290077,50.3753689356217
c2_favorable_clv_pct,BEAR,"(62.162, 76.798]",874,447,51.1441647597254,853,53.341148886283705,69.931616206478,69.88161206511552
c2_favorable_clv_pct,BEAR,"(76.798, 87.5]",847,404,47.69775678866588,834,52.75779376498801,82.30904595043424,82.49999999999841
c2_favorable_clv_pct,BEAR,"(87.5, 96.771]",835,354,42.395209580838326,813,46.61746617466174,92.17769351003,92.21556886227566
c2_favorable_clv_pct,BEAR,"(96.771, 100.0]",798,341,42.73182957393484,778,47.17223650385604,99.44539581872276,100.0
c2_favorable_clv_pct,BULL,"(2.563, 62.162]",842,433,51.42517814726841,824,51.577669902912625,47.45940435834481,50.0
c2_favorable_clv_pct,BULL,"(62.162, 76.798]",817,392,47.98041615667075,798,51.12781954887218,70.2893017336856,70.58823529411961
c2_favorable_clv_pct,BULL,"(76.798, 87.5]",844,411,48.69668246445497,820,49.02439024390244,82.24793153919683,82.25732852589596
c2_favorable_clv_pct,BULL,"(87.5, 96.771]",856,395,46.14485981308411,835,53.65269461077844,92.23341104650838,92.38769357540986
c2_favorable_clv_pct,BULL,"(96.771, 100.0]",894,366,40.939597315436245,875,47.2,99.45419456263,100.0
c1_favorable_wick_pct,BEAR,"(-0.001, 5.882]",821,376,45.79780755176614,804,50.24875621890547,1.3492766430117449,0.0
c1_favorable_wick_pct,BEAR,"(5.882, 16.676]",827,390,47.1584038694075,805,49.68944099378882,11.579247029921493,11.489361702128123
c1_favorable_wick_pct,BEAR,"(16.676, 26.743]",834,390,46.76258992805755,818,50.8557457212714,21.855952262940647,21.90006684492065
c1_favorable_wick_pct,BEAR,"(26.743, 37.25]",860,421,48.95348837209303,841,52.794292508917955,31.932699103165696,31.818181818181856
c1_favorable_wick_pct,BEAR,"(37.25, 50.0]",862,387,44.895591647331784,845,45.917159763313606,43.410528674168205,43.243243243242205
c1_favorable_wick_pct,BULL,"(-0.001, 5.882]",871,398,45.69460390355913,849,50.294464075382805,1.4639560739555249,0.0
c1_favorable_wick_pct,BULL,"(5.882, 16.676]",864,397,45.949074074074076,834,49.16067146282974,11.333643511286697,11.338308457711566
c1_favorable_wick_pct,BULL,"(16.676, 26.743]",857,409,47.724620770128354,840,53.57142857142857,21.76582597445868,21.590909090908944
c1_favorable_wick_pct,BULL,"(26.743, 37.25]",831,400,48.13477737665463,817,50.06119951040392,31.8169728448752,31.701030927835557
c1_favorable_wick_pct,BULL,"(37.25, 50.0]",830,393,47.34939759036145,812,49.26108374384236,43.17476289586998,42.86939475618776
c2_favorable_wick_pct,BEAR,"(-0.001, 3.229]",798,341,42.73182957393484,778,47.17223650385604,0.5546041812772324,0.0
c2_favorable_wick_pct,BEAR,"(3.229, 12.5]",835,354,42.395209580838326,813,46.61746617466174,7.822306489970019,7.7844311377243365
c2_favorable_wick_pct,BEAR,"(12.5, 23.202]",847,404,47.69775678866588,834,52.75779376498801,17.690954049565754,17.5000000000016
c2_favorable_wick_pct,BEAR,"(23.202, 37.838]",874,447,51.1441647597254,853,53.341148886283705,30.068383793522006,30.11838793488449
c2_favorable_wick_pct,BEAR,"(37.838, 97.436]",850,418,49.1764705882353,835,49.221556886227546,52.21999176709923,49.6246310643783
c2_favorable_wick_pct,BULL,"(-0.001, 3.229]",894,366,40.939597315436245,875,47.2,0.5458054373700081,0.0
c2_favorable_wick_pct,BULL,"(3.229, 12.5]",856,395,46.14485981308411,835,53.65269461077844,7.766588953491612,7.612306424590138
c2_favorable_wick_pct,BULL,"(12.5, 23.202]",844,411,48.69668246445497,820,49.02439024390244,17.752068460803162,17.742671474104043
c2_favorable_wick_pct,BULL,"(23.202, 37.838]",817,392,47.98041615667075,798,51.12781954887218,29.7106982663144,29.411764705880387
c2_favorable_wick_pct,BULL,"(37.838, 97.436]",842,433,51.42517814726841,824,51.577669902912625,52.54059564165519,50.0
c1_adverse_wick_pct,BEAR,"(-0.001, 2.408]",898,413,45.99109131403118,886,50.112866817155755,0.22976235628056305,0.0
c1_adverse_wick_pct,BEAR,"(2.408, 16.441]",859,405,47.147846332945285,836,50.83732057416268,9.058232914980012,8.888888888887346
c1_adverse_wick_pct,BEAR,"(16.441, 31.405]",800,395,49.375,780,51.666666666666664,23.63021519971444,23.34805675208549
c1_adverse_wick_pct,BEAR,"(31.405, 49.123]",815,373,45.76687116564417,804,46.64179104477612,40.35575498281708,40.0000000000019
c1_adverse_wick_pct,BEAR,"(49.123, 99.703]",832,378,45.43269230769231,807,50.185873605947954,63.04956354194743,61.11111111111438
c1_adverse_wick_pct,BULL,"(-0.001, 2.408]",794,367,46.221662468513856,782,50.767263427109974,0.2117454429294971,0.0
c1_adverse_wick_pct,BULL,"(2.408, 16.441]",832,395,47.47596153846154,814,51.96560196560196,9.375829373121793,9.197099892588442
c1_adverse_wick_pct,BULL,"(16.441, 31.405]",891,397,44.55667789001122,866,48.38337182448037,23.495922819585747,23.362831858408057
c1_adverse_wick_pct,BULL,"(31.405, 49.123]",877,423,48.232611174458384,853,51.1137162954279,39.67525794021351,39.26056338028318
c1_adverse_wick_pct,BULL,"(49.123, 99.703]",859,415,48.31199068684517,837,50.29868578255675,62.94882053530873,61.28205128205242
c2_adverse_wick_pct,BEAR,"(-0.001, 4.194]",852,402,47.183098591549296,826,48.789346246973366,0.6963453283654668,0.0
c2_adverse_wick_pct,BEAR,"(4.194, 16.823]",820,389,47.4390243902439,805,49.81366459627329,10.428590956924616,10.283052841658176
c2_adverse_wick_pct,BEAR,"(16.823, 30.769]",836,389,46.5311004784689,830,50.72289156626506,23.420764806223175,23.195125689761888
c2_adverse_wick_pct,BEAR,"(30.769, 48.774]",862,415,48.14385150812065,842,48.57482185273159,39.05451987442316,38.543519893026016
c2_adverse_wick_pct,BEAR,"(48.774, 99.123]",834,369,44.24460431654676,810,51.60493827160494,63.72871971112809,61.71761551923217
c2_adverse_wick_pct,BULL,"(-0.001, 4.194]",840,392,46.666666666666664,820,50.0,0.6654836931069715,0.0
c2_adverse_wick_pct,BULL,"(4.194, 16.823]",871,412,47.30195177956372,851,49.82373678025852,10.531239759512959,10.559006211181023
c2_adverse_wick_pct,BULL,"(16.823, 30.769]",855,422,49.35672514619883,833,50.30012004801921,23.59399945411266,23.48066298342601
c2_adverse_wick_pct,BULL,"(30.769, 48.774]",829,390,47.04463208685163,807,50.43370508054523,39.15437541816908,38.98305084746048
c2_adverse_wick_pct,BULL,"(48.774, 99.123]",858,381,44.40559440559441,841,51.84304399524376,63.87676763706999,61.286181531838864
c1_favorable_body_return_pct,BEAR,"(-0.000451, 0.102]",837,395,47.19235364396655,798,50.12531328320802,0.05274577016574867,0.053920198106793826
c1_favorable_body_return_pct,BEAR,"(0.102, 0.2]",836,378,45.21531100478469,826,50.24213075060533,0.1505385911647676,0.15049954292745693
c1_favorable_body_return_pct,BEAR,"(0.2, 0.325]",859,396,46.10011641443539,849,48.52767962308598,0.2600436527791679,0.2586206896551868
c1_favorable_body_return_pct,BEAR,"(0.325, 0.528]",857,401,46.79113185530922,851,50.29377203290247,0.41499595286489266,0.4085976228300314
c1_favorable_body_return_pct,BEAR,"(0.528, 3.835]",815,394,48.34355828220859,789,50.31685678073511,0.893360969393411,0.7633587786259555
c1_favorable_body_return_pct,BULL,"(-0.000451, 0.102]",855,418,48.888888888888886,821,49.086479902557855,0.05363205642373281,0.053280053280047035
c1_favorable_body_return_pct,BULL,"(0.102, 0.2]",855,384,44.91228070175438,837,51.13500597371565,0.1505560233892971,0.15048201269691752
c1_favorable_body_return_pct,BULL,"(0.2, 0.325]",832,379,45.55288461538461,821,51.278928136419005,0.25679644480474983,0.25411273664529554
c1_favorable_body_return_pct,BULL,"(0.325, 0.528]",834,405,48.56115107913669,818,51.46699266503668,0.41651355386868455,0.4101159200940452
c1_favorable_body_return_pct,BULL,"(0.528, 3.835]",877,411,46.86431014823261,855,49.473684210526315,0.8565557029339259,0.7318910773867149
c2_favorable_body_return_pct,BEAR,"(-0.0009717, 0.0757]",855,408,47.719298245614034,820,50.97560975609756,0.038007955255609106,0.037521635459158986
c2_favorable_body_return_pct,BEAR,"(0.0757, 0.165]",845,393,46.50887573964497,830,51.08433734939759,0.1184523936146895,0.11718750000000444
c2_favorable_body_return_pct,BEAR,"(0.165, 0.288]",844,388,45.97156398104266,834,48.800959232613906,0.22180783585704736,0.22160503366380202
c2_favorable_body_return_pct,BEAR,"(0.288, 0.505]",847,399,47.107438016528924,840,51.07142857142857,0.3838035822184538,0.3803822242689492
c2_favorable_body_return_pct,BEAR,"(0.505, 4.414]",813,376,46.248462484624845,789,47.40177439797212,0.8638337149698281,0.7399425287356376
c2_favorable_body_return_pct,BULL,"(-0.0009717, 0.0757]",837,400,47.789725209080046,806,50.37220843672456,0.03706789405274486,0.03553469689432376
c2_favorable_body_return_pct,BULL,"(0.0757, 0.165]",846,403,47.635933806146575,830,52.53012048192771,0.1184100344414725,0.11755017144349234
c2_favorable_body_return_pct,BULL,"(0.165, 0.288]",847,408,48.17001180637544,833,51.14045618247299,0.22169870142993034,0.2205871888653288
c2_favorable_body_return_pct,BULL,"(0.288, 0.505]",844,385,45.61611374407583,833,51.980792316926774,0.3816128892514841,0.3768673652052468
c2_favorable_body_return_pct,BULL,"(0.505, 4.414]",879,401,45.62002275312855,850,46.470588235294116,0.8539865237459088,0.7386076820705689
c1_favorable_vwap_distance_pct,BEAR,"(-0.0009999999999889, 0.0365]",857,389,45.39089848308051,819,48.96214896214896,0.01881905884002265,0.018779594629037
c1_favorable_vwap_distance_pct,BEAR,"(0.0365, 0.0723]",843,406,48.16132858837485,833,51.260504201680675,0.054409579529443704,0.05402992788180461
c1_favorable_vwap_distance_pct,BEAR,"(0.0723, 0.117]",871,427,49.024110218140066,861,50.52264808362369,0.09305982956338939,0.09201701511372118
