research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,C2_VOLUME_ACCELERATING,273,267,137,130,2,4,51.31086142322097,47.61904761904762,1.337951416385858,1.3024482092601346,0.9162903331369892,0.9515078273673131,62,131,c2_vs_c1_volume_state
DISCOVERY,C2_VOLUME_DECELERATING,3900,3811,1943,1868,12,77,50.9839937024403,46.17948717948718,1.2860702130027488,1.238776070185449,0.9113950445244181,0.8784266404718144,112,158,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_ACCELERATING,343,329,182,147,13,1,55.319148936170215,47.521865889212826,1.7688914911027669,1.5423913438839547,1.3044214806030845,1.1631366016182845,62,142,c2_vs_c1_volume_state
VALIDATION,C2_VOLUME_DECELERATING,3791,3711,1816,1895,54,26,48.93559687415791,47.375362701134264,1.6609935424475233,1.5520910589502068,1.1641673243883255,1.1176971951030492,112,159,c2_vs_c1_volume_state
DISCOVERY,LOW_C2_RVOL_MARKET_OPPOSING,369,359,191,168,0,10,53.203342618384404,47.696476964769644,1.2046008805305584,1.1295632323109954,0.9217245339694379,0.7060108437024621,105,118,low_c2_rvol_market_opposition_state
DISCOVERY,OTHER,3804,3719,1889,1830,14,71,50.79322398494219,46.13564668769716,1.2976963308276244,1.2539395904649084,0.9101048218164156,0.9041694087839918,112,158,low_c2_rvol_market_opposition_state
VALIDATION,LOW_C2_RVOL_MARKET_OPPOSING,365,358,208,150,3,4,58.100558659217874,53.97260273972603,1.5723309398075487,1.3873127482480987,1.2260457449000595,1.020877631464423,107,128,low_c2_rvol_market_opposition_state
VALIDATION,OTHER,3769,3682,1790,1892,64,23,48.61488321564367,46.74980100822499,1.6793991795800094,1.5671659013854804,1.1667219091813,1.1301396281724936,112,159,low_c2_rvol_market_opposition_state
DISCOVERY,NOT_POSITIVE_CANDIDATE,3328,3249,1658,1591,6,73,51.0310864881502,45.79326923076923,1.2670930056073066,1.2103016196139686,0.88995209754488,0.874339425891099,112,158,positive_candidate_participation_state
DISCOVERY,POSITIVE_BOTH_ABOVE,347,339,165,174,7,1,48.67256637168141,46.39769452449568,1.4092746328007781,1.549256179497064,0.9830056647784129,1.1416434355502336,99,116,positive_candidate_participation_state
DISCOVERY,POSITIVE_BOTH_BELOW,248,243,123,120,0,5,50.617283950617285,48.79032258064516,1.3156018726529783,1.3349755994092019,0.9090190384656114,0.8311221297448341,87,109,positive_candidate_participation_state
DISCOVERY,POSITIVE_MIXED,232,229,124,105,1,2,54.148471615720524,49.13793103448276,1.409691838545569,1.1451911532233372,1.0132617872696188,0.8367200279182248,91,105,positive_candidate_participation_state
DISCOVERY,POSITIVE_UNKNOWN,18,18,10,8,0,0,55.55555555555556,61.111111111111114,1.2062764544756954,1.3645030160668865,0.8766202107869856,0.9986365082779869,16,4,positive_candidate_participation_state
VALIDATION,NOT_POSITIVE_CANDIDATE,3417,3343,1611,1732,49,25,48.19024827998803,46.6198419666374,1.5861256310390743,1.5267902603229324,1.1160483620956891,1.1018609950626583,112,159,positive_candidate_participation_state
VALIDATION,POSITIVE_BOTH_ABOVE,258,247,126,121,10,1,51.012145748987855,51.16279069767442,2.204096034807066,1.8816934386532778,1.7606819411568846,1.3597244872352587,88,111,positive_candidate_participation_state
VALIDATION,POSITIVE_BOTH_BELOW,238,234,136,98,3,1,58.11965811965812,54.621848739495796,1.8396007709413638,1.6625071660988509,1.344237749737144,1.2277565132862707,90,102,positive_candidate_participation_state
VALIDATION,POSITIVE_MIXED,221,216,125,91,5,0,57.870370370370374,47.05882352941177,2.159652756298754,1.4245316887099522,1.6879440200843951,1.0575371930453548,89,103,positive_candidate_participation_state
