research_period,volume_state,context_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,volume_feature,context_feature
VALIDATION,C2_VOLUME_DECELERATING,POSITIVE_CANDIDATE,677,659,363,296,16,2,55.083459787556905,51.10782865583457,2.050913211040742,1.6831918331528857,1.5609960242728682,1.2253018040421302,107,143,c2_vs_c1_volume_state,positive_candidate_state
DISCOVERY,C2_VOLUME_ACCELERATING,NEGATIVE_CANDIDATE,10,10,8,2,0,0,80.0,70.0,1.5122895169398844,0.8924654408349643,1.232801419262179,0.4379507102236251,9,9,c2_vs_c1_volume_state,negative_candidate_state
DISCOVERY,C2_VOLUME_ACCELERATING,OTHER,263,257,129,128,2,4,50.19455252918288,46.7680608365019,1.3313225912697355,1.3180369076793426,0.902338102597339,0.969940580216707,60,130,c2_vs_c1_volume_state,negative_candidate_state
DISCOVERY,C2_VOLUME_DECELERATING,NEGATIVE_CANDIDATE,219,212,115,97,0,7,54.24528301886792,42.922374429223744,1.2431665730435297,1.0931497853300518,0.9460666713509887,0.7917498336659997,90,98,c2_vs_c1_volume_state,negative_candidate_state
DISCOVERY,C2_VOLUME_DECELERATING,OTHER,3681,3599,1828,1771,12,70,50.79188663517644,46.37326813365933,1.288622752299426,1.2474400626829587,0.9095363508299219,0.8812652451018999,112,158,c2_vs_c1_volume_state,negative_candidate_state
VALIDATION,C2_VOLUME_ACCELERATING,NEGATIVE_CANDIDATE,23,22,6,16,0,1,27.272727272727273,34.78260869565217,1.0641479153854352,1.3019518507440015,0.6240249609984405,1.1372053505293946,16,21,c2_vs_c1_volume_state,negative_candidate_state
VALIDATION,C2_VOLUME_ACCELERATING,OTHER,320,307,176,131,13,0,57.328990228013026,48.4375,1.8195449356074498,1.5596729324533887,1.3421392236659755,1.1632896352638649,58,136,c2_vs_c1_volume_state,negative_candidate_state
VALIDATION,C2_VOLUME_DECELERATING,NEGATIVE_CANDIDATE,204,202,79,123,1,1,39.10891089108911,36.76470588235294,1.1560509735461177,1.4570615565701195,0.8670449606846322,1.1411029582444663,83,76,c2_vs_c1_volume_state,negative_candidate_state
VALIDATION,C2_VOLUME_DECELERATING,OTHER,3587,3509,1737,1772,53,25,49.501282416642916,47.97881237803178,1.6897106553708263,1.5574955804125816,1.1852993067117217,1.1132990003029377,112,159,c2_vs_c1_volume_state,negative_candidate_state
DISCOVERY,C2_VOLUME_ACCELERATING,MULTIPLE,59,59,27,32,0,0,45.76271186440678,45.76271186440678,1.3613439194572303,1.7239013578965692,1.0044313146233272,1.1800741862091542,28,46,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,C2_VOLUME_ACCELERATING,NONE,173,167,90,77,2,4,53.89221556886228,51.445086705202314,1.2396239265935391,1.1613132166823756,0.8713395466828503,0.912358937022204,51,102,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,C2_VOLUME_ACCELERATING,ONE,41,41,20,21,0,0,48.78048780487805,34.146341463414636,1.719183076211718,1.2914876713675165,1.2815533980582459,0.847322142286173,25,34,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,C2_VOLUME_DECELERATING,MULTIPLE,842,830,394,436,1,11,47.46987951807229,43.58669833729216,1.556785362753973,1.440229925070664,1.0958680056103036,1.0644878117106007,107,149,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,C2_VOLUME_DECELERATING,NONE,2421,2351,1246,1105,8,62,52.99872394725649,47.542337876910366,1.1960427988444322,1.1215073778555513,0.8659359519444548,0.8017883755588666,112,158,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,C2_VOLUME_DECELERATING,ONE,637,630,303,327,3,4,48.095238095238095,44.42700156985871,1.270393939198594,1.4181847959583407,0.887468771997626,1.0125869330982444,110,153,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_ACCELERATING,MULTIPLE,115,111,64,47,4,0,57.65765765765766,47.82608695652174,1.9496438259817805,1.8081899836067128,1.4206830000536137,1.2665758058716332,38,81,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_ACCELERATING,NONE,176,169,92,77,6,1,54.437869822485204,47.72727272727273,1.5711602504289701,1.4063556735593552,1.0330098490179092,1.1148694029548833,44,108,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_ACCELERATING,ONE,52,49,26,23,3,0,53.06122448979592,46.15384615384615,2.0383949497085676,1.414995851749577,1.8852136904380015,1.1586657248430716,26,41,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_DECELERATING,MULTIPLE,1079,1055,489,566,23,1,46.350710900473935,45.50509731232623,1.9842385895190326,1.7664635264361142,1.38175593054536,1.2584673696486695,112,157,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_DECELERATING,NONE,2003,1957,977,980,23,23,49.92335206949412,48.477284073889166,1.462033990226967,1.4263601874312302,1.0682720635327165,1.0224715436548026,112,159,c2_vs_c1_volume_state,aligned_exhaustion_state
VALIDATION,C2_VOLUME_DECELERATING,ONE,709,699,350,349,8,2,50.07153075822604,47.10860366713681,1.7311410421761773,1.5810488068136996,1.2235126417456184,1.210038693670196,111,155,c2_vs_c1_volume_state,aligned_exhaustion_state
DISCOVERY,LOW_C2_RVOL_MARKET_OPPOSING,BEAR,280,270,142,128,0,10,52.592592592592595,46.42857142857143,1.183833535606518,1.0959458933536192,0.882147856687294,0.6606722510643905,100,84,low_c2_rvol_market_opposition_state,direction
DISCOVERY,LOW_C2_RVOL_MARKET_OPPOSING,BULL,89,89,49,40,0,0,55.056179775280896,51.68539325842696,1.2699363477073162,1.2353256470083585,1.0201603109060007,0.8639787328311931,62,34,low_c2_rvol_market_opposition_state,direction
DISCOVERY,OTHER,BEAR,1841,1802,885,917,11,28,49.11209766925638,45.355784899511136,1.3248408580769744,1.295199178450996,0.9290808556414499,0.9726443768996944,112,158,low_c2_rvol_market_opposition_state,direction
DISCOVERY,OTHER,BULL,1963,1917,1004,913,3,43,52.3735002608242,46.867040244523686,1.2722388297241842,1.2152442764137683,0.8905852417302765,0.8440579986720858,112,158,low_c2_rvol_market_opposition_state,direction
VALIDATION,LOW_C2_RVOL_MARKET_OPPOSING,BEAR,205,204,119,85,0,1,58.333333333333336,55.1219512195122,1.5064785339216442,1.326777269925759,1.2522495500899937,0.94492440604752,90,68,low_c2_rvol_market_opposition_state,direction
VALIDATION,LOW_C2_RVOL_MARKET_OPPOSING,BULL,160,154,89,65,3,3,57.79220779220779,52.5,1.656704334848864,1.464873829848596,1.2230339732734357,1.155579048244412,82,60,low_c2_rvol_market_opposition_state,direction
VALIDATION,OTHER,BEAR,1811,1773,875,898,24,14,49.35138183869148,47.10104914411927,1.6496004169688059,1.5794197396190022,1.1643844617124612,1.1427343399611318,112,159,low_c2_rvol_market_opposition_state,direction
VALIDATION,OTHER,BULL,1958,1909,915,994,40,9,47.93085385018334,46.42492339121553,1.7069607521483898,1.555832039771125,1.1681549133418603,1.1179538023841755,112,159,low_c2_rvol_market_opposition_state,direction
