research_period,direction,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,feature
DISCOVERY,BEAR,C2_VOLUME_ACCELERATING,144,141,76,65,2,1,53.90070921985816,48.611111111111114,1.4134345703686395,1.2333159502611981,1.0634296649543198,0.9581021213694119,45,96,c2_vs_c1_volume_state
DISCOVERY,BEAR,C2_VOLUME_DECELERATING,1977,1931,951,980,9,37,49.24909373381668,45.27061203844208,1.2984172137361916,1.2714866165046457,0.914628017769918,0.9161250872145347,112,158,c2_vs_c1_volume_state
DISCOVERY,BULL,C2_VOLUME_ACCELERATING,129,126,61,65,0,3,48.41269841269841,46.51162790697674,1.2536911514748466,1.3796191030263898,0.8713720758764069,0.9482129832239253,47,80,c2_vs_c1_volume_state
DISCOVERY,BULL,C2_VOLUME_DECELERATING,1923,1880,992,888,3,40,52.765957446808514,47.113884555382214,1.2733764946200052,1.2051469749836543,0.9109086869584551,0.8391406911206097,112,158,c2_vs_c1_volume_state
VALIDATION,BEAR,C2_VOLUME_ACCELERATING,172,169,99,70,2,1,58.57988165680474,48.83720930232558,1.8135217196940017,1.5758877129937723,1.381219188645664,1.1497478556814353,45,106,c2_vs_c1_volume_state
VALIDATION,BEAR,C2_VOLUME_DECELERATING,1844,1808,895,913,22,14,49.50221238938053,47.83080260303688,1.618399522124228,1.5516625825107724,1.1539344588276534,1.1186699602925951,112,159,c2_vs_c1_volume_state
VALIDATION,BULL,C2_VOLUME_ACCELERATING,171,160,83,77,11,0,51.875,46.198830409356724,1.7240002670226942,1.5086990895746648,1.226842634203695,1.1801260991567486,43,101,c2_vs_c1_volume_state
VALIDATION,BULL,C2_VOLUME_DECELERATING,1947,1903,921,982,32,12,48.39726747241198,46.94401643554186,1.7013342581517643,1.5524968681717362,1.1700992861245583,1.1164219031500793,112,159,c2_vs_c1_volume_state
DISCOVERY,BEAR,LOW_C2_RVOL_MARKET_OPPOSING,280,270,142,128,0,10,52.592592592592595,46.42857142857143,1.183833535606518,1.0959458933536192,0.882147856687294,0.6606722510643905,100,84,low_c2_rvol_market_opposition_state
DISCOVERY,BEAR,OTHER,1841,1802,885,917,11,28,49.11209766925638,45.355784899511136,1.3248408580769744,1.295199178450996,0.9290808556414499,0.9726443768996944,112,158,low_c2_rvol_market_opposition_state
DISCOVERY,BULL,LOW_C2_RVOL_MARKET_OPPOSING,89,89,49,40,0,0,55.056179775280896,51.68539325842696,1.2699363477073162,1.2353256470083585,1.0201603109060007,0.8639787328311931,62,34,low_c2_rvol_market_opposition_state
DISCOVERY,BULL,OTHER,1963,1917,1004,913,3,43,52.3735002608242,46.867040244523686,1.2722388297241842,1.2152442764137683,0.8905852417302765,0.8440579986720858,112,158,low_c2_rvol_market_opposition_state
VALIDATION,BEAR,LOW_C2_RVOL_MARKET_OPPOSING,205,204,119,85,0,1,58.333333333333336,55.1219512195122,1.5064785339216442,1.326777269925759,1.2522495500899937,0.94492440604752,90,68,low_c2_rvol_market_opposition_state
VALIDATION,BEAR,OTHER,1811,1773,875,898,24,14,49.35138183869148,47.10104914411927,1.6496004169688059,1.5794197396190022,1.1643844617124612,1.1427343399611318,112,159,low_c2_rvol_market_opposition_state
VALIDATION,BULL,LOW_C2_RVOL_MARKET_OPPOSING,160,154,89,65,3,3,57.79220779220779,52.5,1.656704334848864,1.464873829848596,1.2230339732734357,1.155579048244412,82,60,low_c2_rvol_market_opposition_state
VALIDATION,BULL,OTHER,1958,1909,915,994,40,9,47.93085385018334,46.42492339121553,1.7069607521483898,1.555832039771125,1.1681549133418603,1.1179538023841755,112,159,low_c2_rvol_market_opposition_state
