symbol,trade_date,direction,architecture,decision_candle,entry_timestamp,c1_close,c2_close,c1_volume,c2_volume,opening_2m_volume,entry_price,opening_2m_rvol_20d,a49_opening_2m_dollar_activity,a49_log10_opening_2m_dollar_activity,a49_log10_entry_price
AAPL,2025-05-23,BULL,AE2_RECLAIM,2,2025-05-23 13:31:00+00:00,195.28,195.82,2697626.0,762457.0,3460083.0,195.82,,676096735.02,8.830008838663197,2.2918570462314602
AAPL,2025-05-29,BEAR,AE2_RECLAIM,2,2025-05-29 13:31:00+00:00,203.27,202.495,1317788.0,420127.0,1737915.0,202.495,,352940383.625,8.547701353406959,2.306414304097758
AAPL,2025-06-05,BEAR,AE2_RECLAIM,2,2025-06-05 13:31:00+00:00,203.095,203.1,670867.0,183217.0,854084.0,203.1,,173461106.065,8.239202111317502,2.307709923404807
AAPL,2025-06-24,BEAR,AE2_RECLAIM,2,2025-06-24 13:31:00+00:00,201.8858,201.82,1457317.0,319354.0,1776671.0,201.82,1.2657872435317659,358663632.67859995,8.554687342865776,2.3049642018376897
AAPL,2025-06-25,BULL,AE2_RECLAIM,2,2025-06-25 13:31:00+00:00,201.565,202.51,932968.0,475591.0,1408559.0,202.51,1.0035262656743205,284365628.33,8.453877101450388,2.30644647366224
AAPL,2025-06-26,BULL,AE2_RECLAIM,2,2025-06-26 13:31:00+00:00,202.15,202.195,856774.0,259596.0,1116370.0,202.195,0.8110015564470872,225685877.32,8.353504383207609,2.305770411891688
AAPL,2025-06-30,BEAR,AE2_RECLAIM,2,2025-06-30 13:31:00+00:00,201.9175,201.555,940964.0,249028.0,1189992.0,201.555,0.8651316172108551,240189937.01,8.38055480826016,2.3043935762200314
AAPL,2025-07-01,BULL,AE2_RECLAIM,2,2025-07-01 13:31:00+00:00,207.07,207.86,1839392.0,1339776.0,3179168.0,207.86,2.3112749944747524,659368740.8,8.819128354363306,2.317770922950241
AAPL,2025-07-03,BEAR,AE2_RECLAIM,2,2025-07-03 13:31:00+00:00,212.07,212.1,863848.0,338879.0,1202727.0,212.1,0.8544944496762237,255072481.26,8.406663606859132,2.3265406685165617
AAPL,2025-07-14,BULL,AE2_RECLAIM,2,2025-07-14 13:31:00+00:00,210.46,210.76,982422.0,273795.0,1256217.0,210.76,0.8924971785691322,264465568.32,8.42236913776248,2.3237881899007506
AAPL,2025-07-25,BEAR,AE2_RECLAIM,2,2025-07-25 13:31:00+00:00,214.51,214.4688,627300.0,200836.0,828136.0,214.4688,0.6289691460791581,177635178.9168,8.24952897775179,2.3313641218196492
AAPL,2025-07-29,BULL,AE2_RECLAIM,2,2025-07-29 13:31:00+00:00,214.5,214.64,801007.0,259187.0,1060194.0,214.64,0.8271824844170952,227447899.18,8.356881929828331,2.3317106596638824
AAPL,2025-08-06,BULL,AE2_RECLAIM,2,2025-08-06 13:31:00+00:00,206.55,207.79,1181380.0,1082336.0,2263716.0,207.79,1.7648825395043364,468912636.44,8.671091936433063,2.3176246430800584
AAPL,2025-08-07,BEAR,AE2_RECLAIM,2,2025-08-07 13:31:00+00:00,217.21,217.073,2978956.0,1096783.0,4075739.0,217.073,3.0955230523386517,885141008.919,8.947012462242727,2.3366058083451136
AAPL,2025-08-08,BEAR,AE2_RECLAIM,2,2025-08-08 13:31:00+00:00,220.43,220.26,1065110.0,227848.0,1292958.0,220.26,0.9616892363545215,284967997.78000003,8.454796090998238,2.3429356348876302
AAPL,2025-08-12,BULL,AE2_RECLAIM,2,2025-08-12 13:31:00+00:00,229.05,229.7028,1306625.0,493769.0,1800394.0,229.7028,1.3391150609666072,412702578.1032,8.615637181871108,2.3611662891311944
AAPL,2025-08-13,BULL,AE2_RECLAIM,2,2025-08-13 13:31:00+00:00,231.7499,231.83,1414049.0,365844.0,1779893.0,231.83,1.2528127513034788,412519328.8651,8.615444302516945,2.3651696352143827
AAPL,2025-08-20,BEAR,AE2_RECLAIM,2,2025-08-20 13:31:00+00:00,229.62,229.55,863770.0,199421.0,1063191.0,229.55,0.6621330430352754,244115957.95000002,8.387596170335254,2.3608772971020398
AAPL,2025-09-03,BEAR,AE2_RECLAIM,2,2025-09-03 13:31:00+00:00,236.83,236.41,2166042.0,785180.0,2951222.0,236.41,2.4021924971114403,698608130.6600001,8.844233635810967,2.373665842991645
AAPL,2025-09-05,BEAR,AE2_RECLAIM,2,2025-09-05 13:31:00+00:00,239.7,239.58,1252596.0,986518.0,2239114.0,239.58,1.7970806751029116,536597243.64,8.729648437484238,2.379450560577981
AAPL,2025-09-08,BEAR,AE2_RECLAIM,2,2025-09-08 13:31:00+00:00,239.23,239.04,1219187.0,313199.0,1532386.0,239.04,1.2298709522598001,366533194.96999997,8.564113312509125,2.3784705801353048
AAPL,2025-09-10,BEAR,AE2_RECLAIM,2,2025-09-10 13:31:00+00:00,231.24,231.01,1982045.0,521287.0,2503332.0,231.01,2.098495495287813,578750595.67,8.762491451017043,2.363630780112138
AAPL,2025-09-12,BULL,AE2_RECLAIM,2,2025-09-12 13:31:00+00:00,230.02,230.41,890208.0,345915.0,1236123.0,230.41,1.0362183470357338,284467919.31,8.454033296206571,2.362501323929012
AAPL,2025-09-24,BEAR,AE2_RECLAIM,2,2025-09-24 13:31:00+00:00,255.0745,254.74,925470.0,176277.0,1101747.0,254.74,0.7205908370420344,280968600.495,8.448657788254884,2.4060971444741046
AAPL,2025-09-26,BULL,AE2_RECLAIM,2,2025-09-26 13:31:00+00:00,254.5699,254.85,1092853.0,316213.0,1409066.0,254.85,0.9145049330005617,358794361.9747,8.55484561000607,2.4062846379247267
AAPL,2025-09-29,BEAR,AE2_RECLAIM,2,2025-09-29 13:31:00+00:00,254.05,253.675,1061733.0,298369.0,1360102.0,253.675,0.8827265638259173,345422024.725,8.538350025505842,2.404277669046589
AAPL,2025-10-02,BEAR,AE2_RECLAIM,2,2025-10-02 13:31:00+00:00,256.46,256.37,926474.0,183344.0,1109818.0,256.37,0.7258696248633457,284607423.32,8.454246223453357,2.4088672033868193
AAPL,2025-10-13,BEAR,AE2_RECLAIM,2,2025-10-13 13:31:00+00:00,248.17,247.94,1124362.0,232298.0,1356660.0,247.94,0.9392992746819984,336628883.65999997,8.527151376868519,2.3943465968683126
AAPL,2025-10-24,BEAR,AE2_RECLAIM,2,2025-10-24 13:31:00+00:00,261.03,260.605,710497.0,179163.0,889660.0,260.605,0.6951997646357383,232151805.52499998,8.365772065673935,2.415982743884541
AAPL,2025-10-27,BULL,AE2_RECLAIM,2,2025-10-27 13:31:00+00:00,265.64,266.115,1441101.0,410206.0,1851307.0,266.115,1.5492692193429878,491976039.33,8.691943951872725,2.425069354948335
AAPL,2025-11-07,BEAR,AE2_RECLAIM,2,2025-11-07 14:31:00+00:00,268.675,268.31,974506.0,196878.0,1171384.0,268.31,0.8122818921558668,314649735.73,8.497827371325675,2.428636859268609
AAPL,2025-12-03,BULL,AE2_RECLAIM,2,2025-12-03 14:31:00+00:00,287.33,287.97,1051138.0,492695.0,1543833.0,287.97,1.258275544065395,443904860.68999994,8.647289900509232,2.459347246394337
AAPL,2025-12-05,BEAR,AE2_RECLAIM,2,2025-12-05 14:31:00+00:00,280.5312,280.54,739545.0,221557.0,961102.0,280.54,0.7833302837498223,269621047.084,8.430753790962932,2.447994792653729
AAPL,2025-12-09,BULL,AE2_RECLAIM,2,2025-12-09 14:31:00+00:00,278.5099,278.65,683860.0,217038.0,900898.0,278.65,0.7342620096198399,250939418.914,8.399568887987218,2.445059047392219
AAPL,2025-12-17,BULL,AE2_RECLAIM,2,2025-12-17 14:31:00+00:00,275.59,275.595,641554.0,177971.0,819525.0,275.595,0.729711717014052,225853784.605,8.353827372379355,2.440271334091512
AAPL,2025-12-18,BEAR,AE2_RECLAIM,2,2025-12-18 14:31:00+00:00,272.49,271.32,729528.0,335426.0,1064954.0,271.32,0.9951497204349506,289796867.03999996,8.462093686053738,2.4334818083929846
AAPL,2025-12-22,BULL,AE2_RECLAIM,2,2025-12-22 14:31:00+00:00,273.4,273.68,1042825.0,194124.0,1236949.0,273.68,1.160686663141612,338236211.32,8.529220100998568,2.437243061177006
AAPL,2025-12-29,BULL,AE2_RECLAIM,2,2025-12-29 14:31:00+00:00,273.195,273.75,709419.0,178064.0,887483.0,273.75,0.8864857035834686,242554743.70499998,8.384809772653114,2.4373541278481747
AAPL,2025-12-31,BULL,AE2_RECLAIM,2,2025-12-31 14:31:00+00:00,273.32,273.52,508495.0,123237.0,631732.0,273.52,0.6785520945220194,172689637.64,8.237266278211425,2.4369890877885383
AAPL,2026-01-02,BULL,AE2_RECLAIM,2,2026-01-02 14:31:00+00:00,272.66,272.995,1046086.0,247185.0,1293271.0,272.995,1.4463036679544237,352706077.83500004,8.547412943499245,2.436154692856525
AAPL,2026-01-08,BULL,AE2_RECLAIM,2,2026-01-08 14:31:00+00:00,257.025,257.475,1802723.0,569077.0,2371800.0,257.475,2.652454929905876,609867979.65,8.785235831871601,2.41073506681745
AAPL,2026-01-12,BULL,AE2_RECLAIM,2,2026-01-12 14:31:00+00:00,259.54,259.955,1319604.0,398227.0,1717831.0,259.955,1.6714564410432549,446011121.94500005,8.649345688620476,2.4148981751126497
AAPL,2026-01-13,BULL,AE2_RECLAIM,2,2026-01-13 14:31:00+00:00,259.26,259.415,1059028.0,172464.0,1231492.0,259.415,1.0806457415787623,319303347.84,8.504203472065333,2.4139950844268787
AAPL,2026-01-14,BULL,AE2_RECLAIM,2,2026-01-14 14:31:00+00:00,259.64,259.75,920657.0,253244.0,1173901.0,259.75,0.9599650981553051,304819512.48,8.484042764147738,2.414555556229215
AAPL,2026-01-16,BULL,AE2_RECLAIM,2,2026-01-16 14:31:00+00:00,258.52,258.7,5205354.0,181254.0,5386608.0,258.7,4.511160847945564,1392578525.8799999,9.143819693895912,2.4127964287165433
AAPL,2026-01-21,BEAR,AE2_RECLAIM,2,2026-01-21 14:31:00+00:00,248.2,247.96,1286054.0,322861.0,1608915.0,247.96,1.3035879731377011,399255216.36,8.601250599003544,2.394381627679536
AAPL,2026-02-02,BULL,AE2_RECLAIM,2,2026-02-02 14:31:00+00:00,261.5564,263.3367,1714354.0,841187.0,2555541.0,263.3367,1.707663178447772,669915669.2285,8.82602013599365,2.4205113889077765
AAPL,2026-02-05,BEAR,AE2_RECLAIM,2,2026-02-05 14:31:00+00:00,277.55,277.08,1511010.0,305977.0,1816987.0,277.08,1.1023861339824332,504160932.65999997,8.702569189242961,2.442605178964801
AAPL,2026-02-09,BEAR,AE2_RECLAIM,2,2026-02-09 14:31:00+00:00,276.7,276.3,813286.0,207534.0,1020820.0,276.3,0.6087179487179487,282377880.4,8.450830673978691,2.4413808849165113
AAPL,2026-02-13,BEAR,AE2_RECLAIM,2,2026-02-13 14:31:00+00:00,261.5,260.3598,954419.0,402168.0,1356587.0,260.3598,0.8230563555715188,354288948.5464,8.549357605451517,2.4155739292589615
AAPL,2026-02-25,BULL,AE2_RECLAIM,2,2026-02-25 14:31:00+00:00,272.16,272.34,909702.526995,195904.826704,1105607.353699,272.34,0.8014674688300221,300937360.2515266,8.478476107128184,2.435111433126493
AAPL,2026-03-05,BEAR,AE2_RECLAIM,2,2026-03-05 14:31:00+00:00,260.335,260.21,841198.292129,270395.734536,1111594.026665,260.21,0.9048633894988714,289353031.46501577,8.461428036696566,2.4153239826996917
AAPL,2026-03-10,BULL,AE2_RECLAIM,2,2026-03-10 13:31:00+00:00,258.44,259.035,878741.959292,203277.355364,1082019.3146560001,259.035,0.9214405176276886,279758021.70613825,8.446782548221886,2.413358448559674
AAPL,2026-03-12,BEAR,AE2_RECLAIM,2,2026-03-12 13:31:00+00:00,257.99,257.91,841369.450898,185952.675916,1027322.1268140001,257.91,0.8748607529273377,265023959.2826706,8.423285137762825,2.411468181457918
AAPL,2026-03-13,BEAR,AE2_RECLAIM,2,2026-03-13 13:31:00+00:00,255.25,255.18,735298.474415,123465.637121,858764.1115359999,255.18,0.7313178579491321,219190896.87496552,8.340822513685216,2.406846633097667
AAPL,2026-03-20,BEAR,AE2_RECLAIM,2,2026-03-20 13:31:00+00:00,247.405,247.305,7938225.198941,228732.060159,8166957.259099999,247.305,7.329504121662055,2020523187.4816194,9.305463838761609,2.393232896993962
