candidate_id,sample_version,set_code,position_in_set,symbol,trade_date,source_sparse_symbol,selection_rank,selection_hash,access_window_start,access_window_end,selection_basis
SET_1_01_VRTX_2026-07-01,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,11,VRTX,2026-07-01,False,1,0004c799e9437d46e45c1b94aba3eaeff85ca8c2c00243e06b189b59e51197c9,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_02_INTC_2026-03-31,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,14,INTC,2026-03-31,False,2,003849a299b08524a50cd87e1d3efdb1752905d6637a3e2e05519a430e200094,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_03_QCOM_2026-07-02,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,19,QCOM,2026-07-02,False,3,0039df9a83c25986dd3e0c25b3a9cc9fa99a1c7396d4d23986d7bf8479be410c,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_04_MSFT_2026-03-31,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,1,MSFT,2026-03-31,False,4,0049c64e6a11259f7f96212e5acd4fbf3f91c5d5ff1d6e267d7a9297443ecf17,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_05_TXN_2026-05-08,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,18,TXN,2026-05-08,False,5,00508a71660010620fb8bf94d4c7d0400947b0b89843af46fef8fc4bbebd48a1,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_06_COIN_2026-05-18,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,24,COIN,2026-05-18,False,6,0060093b02b32fe0438a8fc65b6f111990975ef69a098db9a4a634d78ef8b914,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_07_TSLA_2026-06-08,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,17,TSLA,2026-06-08,False,7,00737ea42166d3f003876ac0b3bba90a5b741c13f7356d60e8721a7c1e1a8a82,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_08_DELL_2026-06-01,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,22,DELL,2026-06-01,False,8,00b1ee31424f9b36ff18c5d68b06a962fe204c9bbf4b4f5682e43d46476a014a,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_09_IBM_2026-05-21,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,23,IBM,2026-05-21,False,9,00d2b09a4582290e05abf9418e54ff2f9c3f4d8ea002d29e2f16e4cfc96b65fe,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
SET_1_10_AVGO_2026-08-07,PMPD_V4_PINE_PARITY_CANDIDATES_V2,SET_1,13,AVGO,2026-08-07,False,10,01222aaacc0f97cf34615c34b579e925131b4baeb507a2e035fc5c3f7fe80793,2026-02-23,2026-08-28,Deterministic protocol+access-window hash selection; no Python PMPD signal output used.
