research_period,direction,c1_to_c2_close_progress_pct__frozen_quintile,binary_n,favorable_n,adverse_n,ff_pct,feature,c2_to_c1_volume_ratio__frozen_quintile,clv_change_pp__frozen_quintile,vwap_distance_change_pp__frozen_quintile
DISCOVERY,BULL,,31,22,9,70.96774193548387,c2_to_c1_volume_ratio,2,,
DISCOVERY,BULL,,45,27,18,60.0,c2_to_c1_volume_ratio,3,,
DISCOVERY,BULL,,10,6,4,60.0,c2_to_c1_volume_ratio,4,,
DISCOVERY,BULL,,16,9,7,56.25,c2_to_c1_volume_ratio,5,,
VALIDATION,BEAR,,45,28,17,62.22222222222222,c2_to_c1_volume_ratio,1,,
VALIDATION,BEAR,,45,24,21,53.333333333333336,c2_to_c1_volume_ratio,2,,
VALIDATION,BEAR,,62,29,33,46.774193548387096,c2_to_c1_volume_ratio,3,,
VALIDATION,BEAR,,26,15,11,57.69230769230769,c2_to_c1_volume_ratio,4,,
VALIDATION,BEAR,,42,26,16,61.904761904761905,c2_to_c1_volume_ratio,5,,
VALIDATION,BULL,,51,32,19,62.745098039215684,c2_to_c1_volume_ratio,1,,
VALIDATION,BULL,,28,17,11,60.714285714285715,c2_to_c1_volume_ratio,2,,
VALIDATION,BULL,,35,23,12,65.71428571428571,c2_to_c1_volume_ratio,3,,
VALIDATION,BULL,,26,16,10,61.53846153846154,c2_to_c1_volume_ratio,4,,
VALIDATION,BULL,,29,15,14,51.724137931034484,c2_to_c1_volume_ratio,5,,
DISCOVERY,BEAR,,48,23,25,47.916666666666664,clv_change_pp,,1,
DISCOVERY,BEAR,,39,26,13,66.66666666666667,clv_change_pp,,2,
DISCOVERY,BEAR,,43,26,17,60.46511627906977,clv_change_pp,,3,
DISCOVERY,BEAR,,47,20,27,42.5531914893617,clv_change_pp,,4,
DISCOVERY,BEAR,,44,23,21,52.27272727272727,clv_change_pp,,5,
DISCOVERY,BULL,,32,24,8,75.0,clv_change_pp,,1,
DISCOVERY,BULL,,27,15,12,55.55555555555556,clv_change_pp,,2,
DISCOVERY,BULL,,25,10,15,40.0,clv_change_pp,,3,
DISCOVERY,BULL,,26,15,11,57.69230769230769,clv_change_pp,,4,
DISCOVERY,BULL,,33,22,11,66.66666666666667,clv_change_pp,,5,
VALIDATION,BEAR,,44,25,19,56.81818181818182,clv_change_pp,,1,
VALIDATION,BEAR,,48,27,21,56.25,clv_change_pp,,2,
VALIDATION,BEAR,,28,15,13,53.57142857142857,clv_change_pp,,3,
VALIDATION,BEAR,,51,30,21,58.8235294117647,clv_change_pp,,4,
VALIDATION,BEAR,,49,25,24,51.02040816326531,clv_change_pp,,5,
VALIDATION,BULL,,44,29,15,65.9090909090909,clv_change_pp,,1,
VALIDATION,BULL,,31,17,14,54.83870967741935,clv_change_pp,,2,
VALIDATION,BULL,,29,21,8,72.41379310344827,clv_change_pp,,3,
VALIDATION,BULL,,35,19,16,54.285714285714285,clv_change_pp,,4,
VALIDATION,BULL,,30,17,13,56.666666666666664,clv_change_pp,,5,
DISCOVERY,BEAR,,55,25,30,45.45454545454545,vwap_distance_change_pp,,,1
DISCOVERY,BEAR,,22,12,10,54.54545454545455,vwap_distance_change_pp,,,2
DISCOVERY,BEAR,,30,20,10,66.66666666666667,vwap_distance_change_pp,,,3
DISCOVERY,BEAR,,74,35,39,47.2972972972973,vwap_distance_change_pp,,,4
DISCOVERY,BEAR,,40,26,14,65.0,vwap_distance_change_pp,,,5
DISCOVERY,BULL,,44,32,12,72.72727272727273,vwap_distance_change_pp,,,1
DISCOVERY,BULL,,15,7,8,46.666666666666664,vwap_distance_change_pp,,,2
DISCOVERY,BULL,,18,9,9,50.0,vwap_distance_change_pp,,,3
