research_period,split_type,split_value,candidate_n,candidate_ff_pct,conditional_baseline_n,conditional_baseline_ff_pct,incremental_lift_pp
DISCOVERY,POOLED,ALL,48,60.416666666666664,364,56.043956043956044,4.3727106227106205
DISCOVERY,EXHAUSTION_STATE,MULTIPLE,11,54.54545454545455,54,51.851851851851855,2.693602693602692
DISCOVERY,EXHAUSTION_STATE,NONE,29,62.06896551724138,235,58.723404255319146,3.345561261922235
DISCOVERY,EXHAUSTION_STATE,ONE,8,62.5,75,50.666666666666664,11.833333333333336
VALIDATION,POOLED,ALL,50,72.0,389,57.840616966580974,14.159383033419026
VALIDATION,EXHAUSTION_STATE,MULTIPLE,19,78.94736842105263,116,51.724137931034484,27.223230490018146
VALIDATION,EXHAUSTION_STATE,NONE,15,73.33333333333333,177,58.75706214689266,14.576271186440671
VALIDATION,EXHAUSTION_STATE,ONE,16,62.5,96,63.541666666666664,-1.0416666666666643
