candidate,expected_sign,split_type,split_value,candidate_n,candidate_ff_pct,baseline_n,baseline_ff_pct,lift_pp
vwap_distance_change_pp_Q3,POSITIVE,POOLED,DISCOVERY,48,60.416666666666664,364,56.043956043956044,4.3727106227106205
vwap_distance_change_pp_Q3,POSITIVE,DIRECTION,DISCOVERY:BEAR,30,66.66666666666667,221,53.39366515837104,13.273001508295629
vwap_distance_change_pp_Q3,POSITIVE,DIRECTION,DISCOVERY:BULL,18,50.0,143,60.13986013986014,-10.13986013986014
vwap_distance_change_pp_Q3,POSITIVE,POOLED,VALIDATION,50,72.0,389,57.840616966580974,14.159383033419026
vwap_distance_change_pp_Q3,POSITIVE,DIRECTION,VALIDATION:BEAR,23,60.869565217391305,220,55.45454545454545,5.415019762845851
vwap_distance_change_pp_Q3,POSITIVE,DIRECTION,VALIDATION:BULL,27,81.48148148148148,169,60.946745562130175,20.534735919351306
vwap_distance_change_pp_Q3,POSITIVE,QUARTER,2025Q3,20,50.0,152,44.078947368421055,5.921052631578945
vwap_distance_change_pp_Q3,POSITIVE,QUARTER,2025Q4,19,63.1578947368421,137,62.043795620437955,1.114099116404148
vwap_distance_change_pp_Q3,POSITIVE,QUARTER,2026Q1,25,68.0,175,61.142857142857146,6.857142857142854
vwap_distance_change_pp_Q3,POSITIVE,QUARTER,2026Q2,20,75.0,160,56.25,18.75
vwap_distance_change_pp_Q3,POSITIVE,QUARTER,2026Q3,11,72.72727272727273,89,59.550561797752806,13.176710929519928
