feature,bucket,n,non_null_n,min_value,max_value,median_value
c1_to_c2_close_progress_pct,"(-0.472, 0.0468]",1662,1662,-0.47084967320262233,0.046835826652339575,0.006883867346965562
c1_to_c2_close_progress_pct,"(0.0468, 0.136]",1661,1661,0.046862045348059655,0.1356063541263082,0.08877267738396091
c1_to_c2_close_progress_pct,"(0.136, 0.258]",1661,1661,0.13567050191310925,0.2583343584696862,0.19134686935261702
c1_to_c2_close_progress_pct,"(0.258, 0.484]",1661,1661,0.2583919713923273,0.48404036714005305,0.35298812118236716
c1_to_c2_close_progress_pct,"(0.484, 4.449]",1662,1662,0.4840940525587725,4.449198221263998,0.7214462741159748
c2_to_c1_volume_ratio,"(0.00243, 0.159]",1662,1662,0.0034344441417367565,0.15915432854081019,0.1060118291047755
c2_to_c1_volume_ratio,"(0.159, 0.25]",1661,1661,0.159212625087996,0.2502222384308716,0.20348400195277688
c2_to_c1_volume_ratio,"(0.25, 0.361]",1661,1661,0.2503584229390681,0.361223053398028,0.30275531596286315
c2_to_c1_volume_ratio,"(0.361, 0.545]",1661,1661,0.36136459283617517,0.5453946129214541,0.43513857662999145
c2_to_c1_volume_ratio,"(0.545, 929.418]",1662,1662,0.5455075285482807,929.4183392049481,0.7829140157854377
clv_change_pp,"(-19.305, -3.5]",1661,1661,-19.29824561401969,-3.499999999994145,-10.372465818010724
clv_change_pp,"(-3.5, 7.118]",1661,1661,-3.49957734572898,7.09391896293063,0.7889054974237695
clv_change_pp,"(-85.54400000000001, -19.305]",1662,1662,-85.54340396445959,-19.3064182194623,-31.63635404551671
clv_change_pp,"(20.633, 50.0]",1662,1662,20.634920634920064,50.00000000000145,30.292516960385832
clv_change_pp,"(7.118, 20.633]",1661,1661,7.133734719940662,20.62347667501887,13.458333333333684
vwap_distance_change_pp,"(-0.477, 0.0175]",1662,1662,-0.4762286520726855,0.01745835404260987,-0.01870583697011763
vwap_distance_change_pp,"(0.0175, 0.0869]",1661,1661,0.017520329454301375,0.08686627121285984,0.049462776518161
vwap_distance_change_pp,"(0.0869, 0.18]",1661,1661,0.08686700789283242,0.17934278208513454,0.1272411128461104
vwap_distance_change_pp,"(0.18, 0.343]",1661,1661,0.17965984284731285,0.342822587196423,0.2458710491744731
vwap_distance_change_pp,"(0.343, 2.836]",1662,1662,0.3430812433074415,2.8359456399824734,0.5122027076785773
