research_period,split_type,split_value,candidate_n,candidate_ff_pct,conditional_baseline_n,conditional_baseline_ff_pct,incremental_lift_pp
DISCOVERY,POOLED,ALL,48,60.416666666666664,364,56.043956043956044,4.3727106227106205
DISCOVERY,SURVIVOR_ABSENT,A38_PM_REMAINS,45,62.22222222222222,303,55.115511551155116,7.1067106710671055
DISCOVERY,SURVIVOR_PRESENT,A38_PM_REMAINS,3,33.333333333333336,61,60.65573770491803,-27.322404371584696
DISCOVERY,SURVIVOR_ABSENT,A38_PD_REMAINS,42,54.76190476190476,305,57.377049180327866,-2.6151444184231067
DISCOVERY,SURVIVOR_PRESENT,A38_PD_REMAINS,6,100.0,59,49.152542372881356,50.847457627118644
DISCOVERY,SURVIVOR_ABSENT,A37_COMPACT_Q2,38,57.89473684210526,291,54.63917525773196,3.2555615843733037
DISCOVERY,SURVIVOR_PRESENT,A37_COMPACT_Q2,10,70.0,73,61.64383561643836,8.35616438356164
DISCOVERY,SURVIVOR_ABSENT,A37_PM_PD_Q4,40,65.0,291,57.7319587628866,7.268041237113401
DISCOVERY,SURVIVOR_PRESENT,A37_PM_PD_Q4,8,37.5,73,49.31506849315068,-11.815068493150683
DISCOVERY,SURVIVOR_ABSENT,A37_ORDER_PD_AH_PM,42,59.523809523809526,327,57.186544342507645,2.3372651813018805
DISCOVERY,SURVIVOR_PRESENT,A37_ORDER_PD_AH_PM,6,66.66666666666667,37,45.945945945945944,20.720720720720728
VALIDATION,POOLED,ALL,50,72.0,389,57.840616966580974,14.159383033419026
VALIDATION,SURVIVOR_ABSENT,A38_PM_REMAINS,48,70.83333333333333,321,56.69781931464174,14.135514018691588
VALIDATION,SURVIVOR_PRESENT,A38_PM_REMAINS,2,100.0,68,63.23529411764706,36.76470588235294
VALIDATION,SURVIVOR_ABSENT,A38_PD_REMAINS,47,70.2127659574468,346,58.67052023121387,11.542245726232935
VALIDATION,SURVIVOR_PRESENT,A38_PD_REMAINS,3,100.0,43,51.16279069767442,48.83720930232558
VALIDATION,SURVIVOR_ABSENT,A37_COMPACT_Q2,37,75.67567567567568,321,56.074766355140184,19.600909320535493
VALIDATION,SURVIVOR_PRESENT,A37_COMPACT_Q2,13,61.53846153846154,68,66.17647058823529,-4.63800904977375
VALIDATION,SURVIVOR_ABSENT,A37_PM_PD_Q4,41,68.29268292682927,302,59.93377483443709,8.358908092392184
VALIDATION,SURVIVOR_PRESENT,A37_PM_PD_Q4,9,88.88888888888889,87,50.57471264367816,38.314176245210724
VALIDATION,SURVIVOR_ABSENT,A37_ORDER_PD_AH_PM,44,68.18181818181819,366,57.923497267759565,10.258320914058622
VALIDATION,SURVIVOR_PRESENT,A37_ORDER_PD_AH_PM,6,100.0,23,56.52173913043478,43.47826086956522
