name,kind,size_bytes,sha256,project,action,destination,reason,duplicate_of,applied,note
audit_9n_v4_runner_forensics.py,file,2632,3c925c767964b460c943b22833350937deef502b860de817994cd005be9dbc79,other,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\other\audit_9n_v4_runner_forensics.py,Source move may break paths/imports; review first,,False,
audit_a37_geometry_candidate_robustness_v1.py,file,4153,96e65052bf5a47911ad9e72a3d0827cede7c0761e216a29bf768fd6389b80aa8,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a37_geometry_candidate_robustness_v1.py,Source move may break paths/imports; review first,,False,
audit_a37_geometry_redundancy_interactions_v1.py,file,8360,81afe9d6054d34fe5d6316f1740c765031d2599313df64ede271a207f3d65b2f,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a37_geometry_redundancy_interactions_v1.py,Source move may break paths/imports; review first,,False,
audit_a37_geometry_survivor_temporal_direction_v1.py,file,3910,5c928d647383a3a876091a0eef3a8267923bf4b9136a891762c358d9919ddf3d,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a37_geometry_survivor_temporal_direction_v1.py,Source move may break paths/imports; review first,,False,
audit_a37_session_level_geometry_replication_v1.py,file,5710,4f2cba8beafa59c245c81ede4ea28f0236cae604dab72ef6cf970661da59dedd,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a37_session_level_geometry_replication_v1.py,Source move may break paths/imports; review first,,False,
audit_a38_candidate_replication_v1.py,file,3062,ddccb8a34a2679d10d2df89041a8845c117a56e467867bd6a08cbe573e555976,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a38_candidate_replication_v1.py,Source move may break paths/imports; review first,,False,
audit_a38_remaining_level_breakout_burden_v1.py,file,3586,2346f207347873adf93942ec35f74002a7e79973ca10b07ee87a8a8f0bb2a967,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a38_remaining_level_breakout_burden_v1.py,Source move may break paths/imports; review first,,False,
audit_a38_survivor_family_overlap_v1.py,file,4120,bb6125a22dbcc70d905ac3836b4553609006cb6a9c81cba92e55b28b329f6ae4,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a38_survivor_family_overlap_v1.py,Source move may break paths/imports; review first,,False,
audit_a38_vs_a37_independence_v1.py,file,5368,a9041dafe8d0f6368c63fff603795e13a82c71eca7d8148c2b25dfafe0864d22,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a38_vs_a37_independence_v1.py,Source move may break paths/imports; review first,,False,
audit_a39_frozen_transition_buckets_v1.py,file,2246,a76385023851e2007aa1132c438df63f2345767baafa63229d539de68aec995e,second1m,REVIEW_CODE_MOVE,C:\Users\DirtySouth\TradingResearch\scripts\second1m\audit_a39_frozen_transition_buckets_v1.py,Source move may break paths/imports; review first,,False,
