source,destination,project,phase,role,sha256,dependency_count,dependencies,status,reason
audit_a39_frozen_transition_buckets_v1.py,scripts\second1m\a37_a56\audit_a39_frozen_transition_buckets_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,a76385023851e2007aa1132c438df63f2345767baafa63229d539de68aec995e,0,,HOLD,provenance/canonical review
audit_a39_transition_candidate_robustness_v1.py,scripts\second1m\a37_a56\audit_a39_transition_candidate_robustness_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,345b2a6093778c3736d108ccc672793602015b309e693d4069aa248e035ce049,0,,SAFE_WAVE1,
audit_a39_vwap_q3_exact_a37_independence_v1_1.py,scripts\second1m\a37_a56\audit_a39_vwap_q3_exact_a37_independence_v1_1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,038ca8fdced5b4b16e09070ec6fecaea8ea78b6a22a7de139d0335315853e7af,0,,SAFE_WAVE1,
audit_a39_vwap_q3_exhaustion_independence_v1.py,scripts\second1m\a37_a56\audit_a39_vwap_q3_exhaustion_independence_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,e4143058f079f0b9afe339674e0f792f2da0b078fd70df4dd380179f3828dbff,0,,SAFE_WAVE1,
audit_a39_vwap_q3_exhaustion_independence_v1_1.py,scripts\second1m\a37_a56\audit_a39_vwap_q3_exhaustion_independence_v1_1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,c3bc2d0ef9af3e25f17e202bcdc3b12cf6148ce953e421672cc13874545b1e5c,0,,SAFE_WAVE1,
audit_a39_vwap_q3_prior_survivor_independence_v1.py,scripts\second1m\a37_a56\audit_a39_vwap_q3_prior_survivor_independence_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,a7caf6169bd639ee53d629800fe2675969efe6194bab897beca08f8935f5bf7b,0,,SAFE_WAVE1,
audit_a41_benchmark_opening_bar_parity_v1.py,scripts\second1m\a37_a56\audit_a41_benchmark_opening_bar_parity_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,38610d3572092d1aca560c4cb6cede80e8873e4bf41215e4fad7c86f1003a6dc,0,,SAFE_WAVE1,
audit_a42_candidate_redundancy_a37_a38_v1.py,scripts\second1m\a37_a56\audit_a42_candidate_redundancy_a37_a38_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,34e2d97a9f51e34fd27dd742114f6b3610860180953df040d15cbff11cfb010a,0,,SAFE_WAVE1,
audit_a42_candidate_robustness_v1.py,scripts\second1m\a37_a56\audit_a42_candidate_robustness_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,33fc2ec0244f1da7e1212c9d09bbb5312203165da304f8eada51dc3e83f90138,0,,SAFE_WAVE1,
audit_a51_4_direction_quarter_distribution_v1.py,scripts\second1m\a37_a56\audit_a51_4_direction_quarter_distribution_v1.py,second1m,a37_a56,AUDIT_DIAGNOSTIC,e3f871a00517559980ca83742832c4c69e1dd9a283e8f4a7a69cdeecb56c7246,0,,SAFE_WAVE1,
