source,destination,project,phase,role,sha256,dependency_count,dependencies,status,reason
extract_a51_original_frozen_candidate_definitions_v1.py,scripts\second1m\a37_a56\extract_a51_original_frozen_candidate_definitions_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,aa6061873002095d588fcee98789d87a137f9aedbd5d3c87f138886cd26182e0,0,,HOLD,provenance/canonical review
find_altc2_latest_available_date_v1.py,scripts\second1m\altc2\find_altc2_latest_available_date_v1.py,second1m,altc2,RESEARCH_OR_UTILITY,d6f0a1c3ff101cb008d1d2f2af93fbae832445662274e5d71958c934b73dbef6,1,run_altc2_prospective_validation_v1_6.py,HOLD,root-source dependencies=1
find_vrtx_massive_partition.py,scripts\market_data\utilities\find_vrtx_massive_partition.py,market_data,utilities,RESEARCH_OR_UTILITY,62c9c1bfbeed3919f1032808facb4a139077d7ce4a3d8e892548efe993c033e7,0,,SAFE_WAVE1,
freeze_9j_vwap_v2_validation_protocol.py,scripts\pmpd\9j\freeze_9j_vwap_v2_validation_protocol.py,pmpd,9j,CANONICAL_OR_FROZEN,2316a9d57abf49b86b205f4b89f30bc5e0b66e688eb6402721a18e69b5294dfe,0,,HOLD,provenance/canonical review
freeze_9m_dp4_candidate_population_v1.py,scripts\pmpd\9m\freeze_9m_dp4_candidate_population_v1.py,pmpd,9m,RESEARCH_OR_UTILITY,65eeb1c538e4aff3e1a72792f5bf08b5680bcb9d094e8da4cdd751b33ee3fca5,0,,SAFE_WAVE1,
freeze_a52_candidate_model_v2_v1.py,scripts\second1m\a37_a56\freeze_a52_candidate_model_v2_v1.py,second1m,a37_a56,CANONICAL_OR_FROZEN,c8896cbf94e0189c9c03233a2324afd672d973b88a7e7272ce89acb0e4587774,0,,HOLD,provenance/canonical review
FTHC_Bulk_Daily_Download.py,scripts\second1m\fthc\FTHC_Bulk_Daily_Download.py,second1m,fthc,RESEARCH_OR_UTILITY,5b3a658136d4737de9fb747f1b00bbcb67b2a84412c593ff2e75ce09296489cf,0,,SAFE_WAVE1,
FTHC_Bulk_Daily_Download_Missing12.py,scripts\second1m\fthc\FTHC_Bulk_Daily_Download_Missing12.py,second1m,fthc,RESEARCH_OR_UTILITY,e335970ddfed991f1f32e0adeadddb8519e61f0c679ec226f0d53cbc753005f5,0,,SAFE_WAVE1,
import_second1m_market_reference.py,scripts\second1m\ingestion\import_second1m_market_reference.py,second1m,ingestion,RESEARCH_OR_UTILITY,02ee7acc29a80048602dd5cca64096be647997f3f098c01310b4d547f39c0d50,0,,SAFE_WAVE1,
import_second_candle_intraday_1m.py,scripts\second1m\ingestion\import_second_candle_intraday_1m.py,second1m,ingestion,RESEARCH_OR_UTILITY,abb383ad2473513001cdaaac70ac9e01269bb3712396710911327090a11102bf,0,,SAFE_WAVE1,
initialize_altc2_prospective_validation_v1.py,scripts\second1m\altc2\initialize_altc2_prospective_validation_v1.py,second1m,altc2,RESEARCH_OR_UTILITY,38883594f5fdd725dcacb0f0a1e9e6a4c2751502c537a22f19d2f6e4c58d1816,0,,SAFE_WAVE1,
inspect_ae2_feature_schemas.py,scripts\second1m\ae2\inspect_ae2_feature_schemas.py,second1m,ae2,AUDIT_DIAGNOSTIC,0757bd32af6feef125b9e619191fd77552d38b36ec093b546223c9ff619f83a5,0,,SAFE_WAVE1,
inspect_dp_structural_clearance_taxonomy.py,scripts\pmpd\legacy\inspect_dp_structural_clearance_taxonomy.py,pmpd,legacy,AUDIT_DIAGNOSTIC,d27f115daaba03e70ded4205081871af88b6199cab2603c21379612b4a744db4,0,,SAFE_WAVE1,
inspect_v2_build_assembly.py,scripts\pmpd\legacy\inspect_v2_build_assembly.py,pmpd,legacy,AUDIT_DIAGNOSTIC,392774681c4e491456d20d3241db15a16d752dc1aa43d5363254efdf17a7727a,0,,SAFE_WAVE1,
inspect_v4_parity_validation.py,scripts\pmpd\v4\inspect_v4_parity_validation.py,pmpd,v4,AUDIT_DIAGNOSTIC,a07487e89cfb48789be984a0d6fb9d42707c3497c8ff99f1214ad4b3867e0047,1,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD,root-source dependencies=1
