feature,temporal_half,n,confirmed_n,not_confirmed_n,confirmed_mean,not_confirmed_mean,difference
c1_body_to_range_pct,NEWEST_HALF,4134,1959,2175,49.818541904453745,50.41749372010243,-0.5989518156486824
c1_body_to_range_pct,OLDEST_HALF,4173,1931,2242,51.78404676489687,51.54511645735714,0.2389303075397322
c2_body_to_range_pct,NEWEST_HALF,4134,1959,2175,49.721294700716086,51.41037683762007,-1.6890821369039841
c2_body_to_range_pct,OLDEST_HALF,4173,1931,2242,50.396465019733505,51.471184644643245,-1.07471962490974
c1_favorable_clv_pct,NEWEST_HALF,4134,1959,2175,77.54546333123697,78.20503812876065,-0.6595747975236748
c1_favorable_clv_pct,OLDEST_HALF,4173,1931,2242,78.52186164672516,78.04604329372238,0.4758183530027793
c2_favorable_clv_pct,NEWEST_HALF,4134,1959,2175,77.67045922148856,79.8523028131378,-2.1818435916492405
c2_favorable_clv_pct,OLDEST_HALF,4173,1931,2242,76.53730836822196,78.8722203639018,-2.334911995679846
c1_favorable_wick_pct,NEWEST_HALF,4134,1959,2175,22.454536668763026,21.79496187123935,0.6595747975236748
c1_favorable_wick_pct,OLDEST_HALF,4173,1931,2242,21.478138353274826,21.953956706277623,-0.47581835300279707
c2_favorable_wick_pct,NEWEST_HALF,4134,1959,2175,22.32954077851145,20.14769718686221,2.1818435916492405
c2_favorable_wick_pct,OLDEST_HALF,4173,1931,2242,23.46269163177805,21.127779636098197,2.334911995679853
c1_adverse_wick_pct,NEWEST_HALF,4134,1959,2175,27.72692142678322,27.78754440865822,-0.06062298187499948
c1_adverse_wick_pct,OLDEST_HALF,4173,1931,2242,26.7378148818283,26.50092683636524,0.23688804546305775
c2_adverse_wick_pct,NEWEST_HALF,4134,1959,2175,27.94916452077247,28.44192597551772,-0.49276145474524924
c2_adverse_wick_pct,OLDEST_HALF,4173,1931,2242,26.140843348488453,27.401035719258555,-1.2601923707701026
c1_favorable_body_return_pct,NEWEST_HALF,4134,1959,2175,0.40780848538292397,0.3959365208358745,0.011871964547049474
c1_favorable_body_return_pct,OLDEST_HALF,4173,1931,2242,0.3014643140412996,0.2957557128205014,0.005708601220798193
c2_favorable_body_return_pct,NEWEST_HALF,4134,1959,2175,0.3772206407873154,0.3711197640119312,0.006100876775384179
c2_favorable_body_return_pct,OLDEST_HALF,4173,1931,2242,0.26720166960963404,0.2760677110932482,-0.00886604148361414
c1_favorable_vwap_distance_pct,NEWEST_HALF,4134,1959,2175,0.14595411629580443,0.14780554072814953,-0.0018514244323450946
c1_favorable_vwap_distance_pct,OLDEST_HALF,4173,1931,2242,0.10730616380849753,0.10415017605523257,0.0031559877532649633
c2_favorable_vwap_distance_pct,NEWEST_HALF,4134,1959,2175,0.3796050785407107,0.3781441371427998,0.0014609413979108643
c2_favorable_vwap_distance_pct,OLDEST_HALF,4173,1931,2242,0.2662179431955621,0.27217416966916674,-0.005956226473604664
c2_vwap_penetration_pct,NEWEST_HALF,4134,1959,2175,0.17049662109659092,0.16342615730049095,0.007070463796099963
c2_vwap_penetration_pct,OLDEST_HALF,4173,1931,2242,0.11450086441557122,0.12514289274686796,-0.010642028331296738
c1_to_c2_close_progress_pct,NEWEST_HALF,4134,1959,2175,0.34978140387601275,0.33563271169500347,0.014148692181009281
c1_to_c2_close_progress_pct,OLDEST_HALF,4173,1931,2242,0.24378974193368053,0.24926081324279314,-0.005471071309112618
c2_to_c1_volume_ratio,NEWEST_HALF,4134,1959,2175,3.8762266893845276,4.4675889782765585,-0.5913622888920309
c2_to_c1_volume_ratio,OLDEST_HALF,4173,1931,2242,2.468549505837927,2.2968524268524946,0.1716970789854324
c1_range_pct,NEWEST_HALF,4134,1959,2175,0.8037247965443453,0.7779496414711118,0.02577515507323347
c1_range_pct,OLDEST_HALF,4173,1931,2242,0.5620438167227726,0.5641407831951671,-0.002096966472394546
c2_range_pct,NEWEST_HALF,4134,1959,2175,0.6932737225701158,0.6695870370454287,0.023686685524687112
c2_range_pct,OLDEST_HALF,4173,1931,2242,0.4929560914723266,0.49909287467486146,-0.006136783202534857
clv_change_pp,NEWEST_HALF,4134,1959,2175,0.12499589025157817,1.6472646843771372,-1.522268794125559
clv_change_pp,OLDEST_HALF,4173,1931,2242,-1.9845532785032214,0.8261770701794239,-2.8107303486826454
vwap_distance_change_pp,NEWEST_HALF,4134,1959,2175,0.2336509622449063,0.23033859641465027,0.003312365830256042
vwap_distance_change_pp,OLDEST_HALF,4173,1931,2242,0.1589117793870645,0.1680239936139342,-0.009112214226869697
