feature,direction,bucket,n,c3_confirmed_n,c3_confirmation_pct,binary_n,favorable_first_pct,avg_feature_value,median_feature_value
c1_favorable_body_return_pct,BULL,"(0.527, 3.835]",854,401,46.95550351288056,831,49.57882069795427,0.8522564075544504,0.7290456642016219
c2_favorable_body_return_pct,BEAR,"(-0.0009717, 0.0756]",839,400,47.67580452920143,804,50.49751243781095,0.03799619236477168,0.037521635459158986
c2_favorable_body_return_pct,BEAR,"(0.0756, 0.164]",826,384,46.48910411622276,812,51.23152709359606,0.1181358760016644,0.11713277635824193
c2_favorable_body_return_pct,BEAR,"(0.164, 0.288]",834,383,45.92326139088729,824,48.907766990291265,0.22109596229079603,0.22132184357022133
c2_favorable_body_return_pct,BEAR,"(0.288, 0.503]",833,398,47.77911164465786,827,51.632406287787184,0.3824420547607862,0.37925803337471864
c2_favorable_body_return_pct,BEAR,"(0.503, 4.414]",805,366,45.46583850931677,782,47.186700767263424,0.8587701834393003,0.7372749184744065
c2_favorable_body_return_pct,BULL,"(-0.0009717, 0.0756]",823,395,47.995139732685296,792,50.505050505050505,0.03695168429802923,0.03541277126182241
c2_favorable_body_return_pct,BULL,"(0.0756, 0.164]",835,397,47.544910179640716,819,52.5030525030525,0.11831441686111102,0.11758166581152807
c2_favorable_body_return_pct,BULL,"(0.164, 0.288]",827,401,48.48851269649335,813,51.168511685116854,0.22162310337820246,0.2205871888653288
c2_favorable_body_return_pct,BULL,"(0.288, 0.503]",828,376,45.410628019323674,817,52.01958384332925,0.3809930256673653,0.3765507388708844
c2_favorable_body_return_pct,BULL,"(0.503, 4.414]",857,390,45.5075845974329,828,46.61835748792271,0.851091420661138,0.7371601208459255
c1_favorable_vwap_distance_pct,BEAR,"(-0.0009999999999889, 0.0365]",842,381,45.24940617577197,804,49.004975124378106,0.01890934322699302,0.018826575830688252
c1_favorable_vwap_distance_pct,BEAR,"(0.0365, 0.0725]",831,405,48.73646209386282,822,51.338199513381994,0.05459405752106424,0.054334201384453884
c1_favorable_vwap_distance_pct,BEAR,"(0.0725, 0.117]",852,417,48.943661971830984,843,50.77105575326216,0.09321278327825173,0.09226331576592806
c1_favorable_vwap_distance_pct,BEAR,"(0.117, 0.192]",796,339,42.58793969849246,790,48.22784810126582,0.15123979218250924,0.1487237339378722
c1_favorable_vwap_distance_pct,BEAR,"(0.192, 1.323]",816,389,47.67156862745098,790,50.12658227848101,0.31225856549465236,0.2657173678889402
c1_favorable_vwap_distance_pct,BULL,"(-0.0009999999999889, 0.0365]",820,379,46.21951219512195,789,47.52851711026616,0.018880403457966474,0.019280932490617353
c1_favorable_vwap_distance_pct,BULL,"(0.0365, 0.0725]",830,390,46.98795180722892,811,52.40443896424168,0.054080510689294856,0.054545881277612285
