warning_feature,warning_state,context_feature,context_state,effect_type,total_n,symbol_n,top1_n,top1_share_pct,top5_n,top5_share_pct,top10_n,top10_share_pct
warning_slow_recovery_state,RECOVERED_IN_3PLUS_BARS,continuous_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,534,111,12,2.247191011235955,51,9.55056179775281,95,17.790262172284645
warning_slow_recovery_state,RECOVERED_IN_3PLUS_BARS,rth_short_ma_state,BOTH_FAVORABLE,RESCUE_CONTEXT,408,108,9,2.2058823529411766,39,9.558823529411764,72,17.647058823529413
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,market_prior_5d_consensus,CONSENSUS_ALIGNED,ESCALATION_CONTEXT,768,112,16,2.0833333333333335,62,8.072916666666666,117,15.234375
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,market_prior_5d_consensus,CONSENSUS_OPPOSING,RESCUE_CONTEXT,604,111,22,3.642384105960265,75,12.417218543046358,123,20.364238410596027
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,positive_candidate_state,OTHER,ESCALATION_CONTEXT,1277,112,26,2.0360219263899766,112,8.770555990602976,195,15.270164447924824
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,positive_candidate_state,POSITIVE_CANDIDATE,RESCUE_CONTEXT,221,92,12,5.429864253393665,36,16.289592760180994,59,26.69683257918552
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,negative_candidate_state,NEGATIVE_CANDIDATE,ESCALATION_CONTEXT,95,58,4,4.2105263157894735,18,18.94736842105263,32,33.68421052631579
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,negative_candidate_state,OTHER,RESCUE_CONTEXT,1403,112,30,2.1382751247327154,124,8.838203848895224,217,15.466856735566642
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,334,106,8,2.395209580838323,35,10.479041916167665,64,19.161676646706585
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,session_level_clear_state,NONE_CLEARED,ESCALATION_CONTEXT,500,108,18,3.6,66,13.2,107,21.4
warning_no_recovery_state,NO_RECOVERY_THROUGH_C10,session_level_clear_state,TWO_OF_3_CLEARED,RESCUE_CONTEXT,383,110,9,2.349869451697128,41,10.704960835509139,76,19.843342036553526
