warning_feature,warning_state,context_feature,context_state,effect_type,quarter,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2025Q2,60,59,18,41,0,1,30.508474576271187,1.0972686678418593,1.5468783006981366,0.8778495073135237,1.1816685735807322,47,21
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2025Q3,227,224,63,161,2,1,28.125,0.977259598603664,1.564108089897933,0.7714211752523992,1.2569075739516702,92,62
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2025Q4,174,167,57,110,2,5,34.131736526946106,1.2973026862489858,1.4105677691812046,0.8076274699461108,1.1462938016239277,88,57
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2026Q1,212,210,69,141,1,1,32.857142857142854,1.4721853783536314,1.669053372583676,1.0791680820933611,1.2478874858469715,97,55
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2026Q2,195,189,46,143,6,0,24.33862433862434,1.5271788407178146,1.7765584564383003,1.017504622504684,1.3769867428403981,90,60
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,2026Q3,133,131,29,102,2,0,22.137404580152673,1.3432993279007148,1.8882970029228057,0.932661346773053,1.5782397352363184,73,40
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2025Q2,83,82,26,56,0,1,31.70731707317073,1.004075271377279,1.3292441416857623,0.6692972379002065,1.0364552851667974,56,22
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2025Q3,271,270,71,199,0,1,26.296296296296298,0.9555422983521026,1.3940184582135404,0.6256440453408086,1.0480769230769265,97,63
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2025Q4,237,230,69,161,1,6,30.0,1.105834076627414,1.5053081223909037,0.6337036457518403,1.1396510914350813,96,62
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2026Q1,224,219,64,155,5,0,29.22374429223744,1.3003899505047392,1.6519405210443543,0.8574489178474067,1.2467401439222583,102,59
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2026Q2,213,210,53,157,2,1,25.238095238095237,1.3484046092495712,1.7713434117795122,0.7793527983283421,1.324740422484787,99,59
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,TWO_OF_3_CLEARED,ESCALATION_CONTEXT,2026Q3,129,125,25,100,4,0,20.0,1.325263472224278,1.8451007739854093,0.6606606606606508,1.5372920010136053,78,41
warning_c3_state,C3_ADVERSE_WARNING,pd_level_structure_state,ALREADY_BEYOND_AT_C1_OPEN,RESCUE_CONTEXT,2025Q2,38,38,13,25,0,0,34.21052631578947,1.0099947370839815,1.2283619522972298,0.5869234575628415,1.1219148196538427,35,16
