warning_feature,warning_state,context_feature,context_state,effect_type,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CMCSA,4,4,3,1,0,0,75.0,0.8885890914446323,1.265799928199501,0.6250835642013144,1.2815130296053994,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CME,4,4,0,4,0,0,0.0,1.3964059659897554,1.4416482653931508,1.5078659916143429,1.471576509445995,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CMG,7,7,3,4,0,0,42.857142857142854,1.6706224277746302,1.0683018693885382,1.7262083458420978,1.115241635687737,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,COIN,5,3,1,2,2,0,33.333333333333336,2.5885306173847606,2.9236700119373813,1.8926178640896587,2.5502053856686437,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,COP,3,3,0,3,0,0,0.0,1.1931967006474076,1.1465316583916412,0.9931239696007045,0.6920573811815348,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,COST,4,4,0,4,0,0,0.0,0.5038770674411889,1.5159283570791469,0.20722248687450415,1.5806237700167625,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CRM,8,8,1,7,0,0,12.5,1.9929781035301422,1.8735016821035566,1.8463476080103958,1.3202783308534256,1,8
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CRWD,6,6,1,5,0,0,16.666666666666668,2.070820159245867,2.6091708134997025,2.2810194660344205,2.608388561499772,1,6
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CVS,7,7,2,5,0,0,28.571428571428573,0.8690752542763551,1.4851738184993184,0.6504469244195182,0.7722007722007764,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,CVX,6,6,3,3,0,0,50.0,0.6606112352427383,1.2527295155301539,0.5967631517480323,0.9333615162713818,1,6
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DASH,2,2,0,2,0,0,0.0,0.4172777242510279,2.0917808491710943,0.4172777242510279,2.0917808491710943,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DDOG,4,4,2,2,0,0,50.0,3.360855415872937,3.0152427699143947,3.8630362895412613,1.8083521171011279,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DE,3,3,0,3,0,0,0.0,1.8945418373217537,1.95258491758619,0.15265212989891724,1.8221843716356323,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DELL,5,5,1,4,0,0,20.0,2.94353591072577,4.191807519702847,0.9563062958760727,4.9595933975884785,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,DIS,3,3,1,2,0,0,33.333333333333336,1.018699136327103,0.9534675534007175,1.1425873465533463,0.5571293673276708,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,EOG,2,2,1,1,0,0,50.0,1.9449843776220295,0.47121135941870396,1.9449843776220295,0.47121135941870396,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,ETN,2,2,0,2,0,0,0.0,1.3629448746898307,1.3358961223696246,1.3629448746898307,1.3358961223696246,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,FDX,3,3,1,2,0,0,33.333333333333336,1.8722462057963127,0.9093477031033713,1.387109353239379,0.5578678465982787,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,GE,3,3,2,1,0,0,66.66666666666667,1.7983721068233673,1.0532078212694194,0.5277466815928282,0.5720928809618516,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,GILD,4,4,0,4,0,0,0.0,0.7753081532609881,1.5972425276759046,0.4696229953565641,1.5071826694792572,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,GOOG,2,2,2,0,0,0,100.0,2.243137853611434,0.8423955980630842,2.243137853611434,0.8423955980630842,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,GS,11,11,2,9,0,0,18.181818181818183,0.5612332485334788,1.8661043274947815,0.16042729377408307,1.292449562215552,1,11
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,HAL,3,3,2,1,0,0,66.66666666666667,0.8378154156213524,1.3758321573181291,0.9288824383164014,0.9724238026124843,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,HD,8,8,3,5,0,0,37.5,1.1087015129646982,1.3433135386642023,0.9540221568401632,1.2491427713688785,1,8
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,HON,3,3,1,2,0,0,33.333333333333336,0.7096945794088837,1.2901821387639865,0.6377202028918463,0.7994786009124498,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,HOOD,1,1,1,0,0,0,100.0,3.2685976046189795,0.11452020804503539,3.2685976046189795,0.11452020804503539,1,1
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,IBM,5,5,3,2,0,0,60.0,1.3844187933203946,1.6605506137870338,0.8818742666818001,1.7385549536956209,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,INTC,6,6,1,5,0,0,16.666666666666668,0.7041118347184593,6.233432979304802,0.39518235878072266,6.647969798818034,1,6
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,ISRG,2,2,2,0,0,0,100.0,1.2864077136671401,0.6450725215235614,1.2864077136671401,0.6450725215235614,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,IWM,5,4,1,3,0,1,25.0,0.35636658647742336,0.8699150123677966,0.3614010200290449,0.8061009465832585,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,JNJ,7,7,1,6,0,0,14.285714285714286,0.5469769316969325,0.7880350213531709,0.3450595716052811,0.845860542577893,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,JPM,6,6,3,3,0,0,50.0,0.8054440387089822,0.9156001024180996,1.0422051716295035,0.7985227102682373,1,6
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,KLAC,1,1,0,1,0,0,0.0,0.19681995100620703,1.4009369903246833,0.19681995100620703,1.4009369903246833,1,1
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,LLY,3,3,3,0,0,0,100.0,3.083344948114217,1.0241566417456527,2.908980901354196,0.45298580538327277,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,LMT,3,3,0,3,0,0,0.0,0.730980949409049,2.3952327567542118,0.7903359829421716,2.7667584196891224,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,LOW,1,1,0,1,0,0,0.0,0.5075186545964169,1.3446460361349992,0.5075186545964169,1.3446460361349992,1,1
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,LRCX,3,3,1,2,0,0,33.333333333333336,3.0474153542605666,1.44841225710387,2.1971401721276957,1.6335663227927055,1,3
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,LULU,5,5,1,4,0,0,20.0,1.1420870354840453,1.867980331120585,1.2189924132640073,1.576107736097544,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MA,4,4,1,3,0,0,25.0,1.81777544437095,0.6813874911035083,1.6737736019796865,0.6323283414786686,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MCD,7,7,1,6,0,0,14.285714285714286,0.37632547831036123,1.2183931743483694,0.24805901871717465,1.2555851892902914,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,META,5,5,1,4,0,0,20.0,1.5813998290832267,1.5426279455219525,1.8800468651920084,0.732231873916756,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MNDY,13,10,1,9,3,0,10.0,2.225881245438516,3.2375661151308512,2.5562492637530942,2.299343920534674,1,13
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MRK,2,2,0,2,0,0,0.0,0.8971725765564459,0.9227764112674093,0.8971725765564459,0.9227764112674093,1,2
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MRNA,4,3,1,2,1,0,33.333333333333336,2.122697226568116,1.8340882633879578,2.3855152959458428,1.9655144762873111,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MRVL,5,5,2,3,0,0,40.0,3.080417979634349,3.134937091620946,3.5631942988891128,1.6538517336428062,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MS,4,4,1,3,0,0,25.0,0.30771842008391836,2.396117298679574,0.2161349573669083,1.8459078792642356,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MSFT,6,6,1,5,0,0,16.666666666666668,0.9286469201361572,1.0989344362804243,0.8788054507075806,1.1067601020580726,1,6
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,MU,5,4,0,4,1,0,0.0,3.6578181053036323,2.4477937611442653,2.6784646657897997,1.903979617433381,1,5
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,NEE,4,4,0,4,0,0,0.0,0.3053887975448134,1.544342253923487,0.2969043998605023,1.5228339846228511,1,4
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,NFLX,10,10,2,8,0,0,20.0,1.1465312970094725,1.4397323810723994,0.7117057264655506,1.1554293060090148,1,10
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,NKE,7,6,1,5,1,0,16.666666666666668,0.7395474994895895,2.0086442132732003,0.23821492856795734,1.7580383992597852,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,NOW,7,7,3,4,0,0,42.857142857142854,2.6657867169775344,2.1844757281995646,2.5417075564278737,1.3598455281212778,1,7
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,NVDA,8,8,1,7,0,0,12.5,1.0131105845544772,1.1993873673649849,1.2924167930263377,1.1032445430555806,1,8
warning_c3_state,C3_ADVERSE_WARNING,session_level_clear_state,ALL_3_CLEARED,RESCUE_CONTEXT,ORCL,5,5,2,3,0,0,40.0,2.828390173420363,1.0046957420665164,3.0891746024198112,0.6904769563630367,1,5
