warning_feature,warning_state,context_feature,context_state,effect_type,research_period,direction,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,DISCOVERY,BEAR,91,89,23,66,0,2,25.84269662921348,0.8631018731773868,1.461547424410744,0.584385226741468,1.1646514935988639,60,58
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,DISCOVERY,BULL,74,73,23,50,0,1,31.506849315068493,0.9087587294721838,1.5390602449432487,0.7388351519037265,1.0993555318414532,55,54
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION,BEAR,91,91,22,69,0,0,24.175824175824175,1.1370182325366638,1.971794256373803,0.5834160873882807,1.6640053786032474,57,61
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,MULTIPLE_C2_LEVEL_BREAKS,ESCALATION_CONTEXT,VALIDATION,BULL,84,81,17,64,3,0,20.987654320987655,1.0197597453617737,1.828360218787402,0.6491219867502065,1.4418748557356107,64,64
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,DISCOVERY,BEAR,811,794,233,561,5,12,29.34508816120907,1.1305389394411232,1.438698081035672,0.7078208401021276,1.0762743453545796,111,155
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,DISCOVERY,BULL,746,732,233,499,2,12,31.830601092896174,1.0161754866892563,1.4048630811097873,0.6782731040715072,1.0484551081586235,111,154
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION,BEAR,728,712,208,504,11,5,29.213483146067414,1.4881764483211086,1.6964905569895232,0.9845585174164162,1.232167651123712,112,155
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,NO_C2_LEVEL_BREAK,RESCUE_CONTEXT,VALIDATION,BULL,810,790,192,598,15,5,24.303797468354432,1.4287823979376895,1.8381071600091194,0.9042739076877953,1.2963964684949547,112,152
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,DISCOVERY,BEAR,224,219,57,162,0,5,26.027397260273972,0.9978147698820438,1.5799055960914714,0.6493771957176031,1.1269521097517388,95,108
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,DISCOVERY,BULL,236,231,74,157,0,5,32.03463203463203,1.0466663608294926,1.428816848388271,0.6852609655826634,1.0754749171454268,97,111
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION,BEAR,210,209,40,169,1,0,19.138755980861244,1.3009746811607472,1.8735046951635945,0.8016840969538319,1.5669308796597021,94,109
warning_c3_state,C3_ADVERSE_WARNING,c2_break_count_state,ONE_C2_LEVEL_BREAK,ESCALATION_CONTEXT,VALIDATION,BULL,219,217,53,164,1,1,24.42396313364055,1.393573719570342,1.7026045415481983,0.9768927296637295,1.3239845771932728,94,108
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,DISCOVERY,BEAR,672,657,206,451,1,14,31.354642313546425,1.03549337997805,1.2938452377543481,0.7052013150635554,0.9989206856875344,110,152
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,DISCOVERY,BULL,609,602,194,408,1,6,32.22591362126246,1.0043997170483248,1.395083882628055,0.702885884015461,1.0389857973501129,111,147
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION,BEAR,573,566,154,412,4,3,27.208480565371026,1.250210372862795,1.5820520555672108,0.7615230460921752,1.1552462240892885,109,153
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,MODERATE_CLUSTER,RESCUE_CONTEXT,VALIDATION,BULL,613,607,157,450,5,1,25.86490939044481,1.1457504528033329,1.6107014713889864,0.7495164410058083,1.2027342736004036,112,151
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,DISCOVERY,BEAR,191,185,61,124,1,5,32.972972972972975,0.7522480379627641,1.2682881392688843,0.594125026629121,0.9818989071038219,84,97
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,DISCOVERY,BULL,244,232,93,139,0,12,40.08620689655172,0.7836027011946401,1.0728098468664973,0.5835898876360581,0.7735431329218989,88,108
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION,BEAR,145,143,45,98,0,2,31.46853146853147,1.088205753605076,1.3581824728377172,0.6702568672271582,1.1603878556668321,73,83
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,TIGHT_CLUSTER,RESCUE_CONTEXT,VALIDATION,BULL,152,147,38,109,0,5,25.85034013605442,0.9546037031482569,1.2655563468512583,0.6515162720909211,1.0102622754385782,76,88
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,DISCOVERY,BEAR,248,245,46,199,3,0,18.775510204081634,1.5168062609993223,2.0626042904641535,0.8840741451130012,1.5972738843809657,78,116
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,DISCOVERY,BULL,197,196,41,155,1,0,20.918367346938776,1.3469377817077148,1.9312464627707038,0.9033423667570065,1.4867909798981618,80,91
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION,BEAR,311,303,71,232,8,0,23.432343234323433,1.8839402529236116,2.26515145466644,1.3281459618996632,1.7910572678007244,95,121
warning_c3_state,C3_ADVERSE_WARNING,relevant_level_cluster_state,WIDE_CLUSTER,ESCALATION_CONTEXT,VALIDATION,BULL,348,334,67,267,14,0,20.059880239520957,2.013567284709323,2.4011347296027132,1.4442097872239272,1.899698855254552,94,123
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,DISCOVERY,BEAR,238,231,60,171,3,4,25.974025974025974,1.0549241539911134,1.6219817827215803,0.7436259359937369,1.2795897591614973,99,100
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,DISCOVERY,BULL,265,261,94,167,1,3,36.015325670498086,1.154597173144866,1.400997377914605,0.7985444253512504,1.1363760411322368,97,116
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,VALIDATION,BEAR,248,242,66,176,6,0,27.272727272727273,1.5524300066654841,1.7677613768953484,1.1885564515865492,1.4118822105636908,97,106
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,NONE_AHEAD,RESCUE_CONTEXT,VALIDATION,BULL,271,267,68,199,3,1,25.46816479400749,1.3800203921433076,1.7674306479767048,0.872901678657071,1.2485811577752597,101,115
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,DISCOVERY,BEAR,286,280,77,203,0,6,27.5,1.1286293263376699,1.4320886846313026,0.6227641475153826,1.107088173299641,99,127
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,DISCOVERY,BULL,283,280,81,199,0,3,28.928571428571427,0.9418684155644614,1.346514150612231,0.6589705810922455,1.0153049340257432,100,121
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION,BEAR,219,217,57,160,1,1,26.267281105990783,1.2360825551412558,1.7671020252672576,0.7406613362258526,1.318543892559069,94,103
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PD,ESCALATION_CONTEXT,VALIDATION,BULL,250,244,57,187,5,1,23.360655737704917,1.3835780229849164,1.737127259632821,0.8795633285917395,1.3104644447147185,103,116
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,DISCOVERY,BEAR,388,381,108,273,1,6,28.346456692913385,1.0708695859541906,1.4509326663525584,0.6755259464632783,1.0593307374161154,105,140
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,DISCOVERY,BULL,361,354,114,240,0,7,32.20338983050848,1.0452614400224665,1.4801121346491695,0.692419825072878,1.049644283918476,104,134
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION,BEAR,357,350,107,243,4,3,30.571428571428573,1.4789913379495228,1.7182390817886268,1.0385626643295252,1.273378432152797,104,127
warning_c3_state,C3_ADVERSE_WARNING,nearest_ahead_level,PM,RESCUE_CONTEXT,VALIDATION,BULL,402,389,96,293,10,3,24.67866323907455,1.5030709881911348,1.9029504046773873,0.9373960478035119,1.3577863877067466,109,138
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,DISCOVERY,BEAR,233,228,64,164,5,0,28.07017543859649,1.1137355154359185,1.8125484029149184,0.7264756177338042,1.4358030372756447,99,106
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,DISCOVERY,BULL,206,202,56,146,1,3,27.722772277227723,1.2504009704688652,1.6370875308318007,0.755405788317808,1.340410523844089,90,99
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION,BEAR,179,173,48,125,5,1,27.745664739884393,1.6742195862272222,1.9141107808273703,1.1536890824938697,1.5229947095602014,89,98
warning_c3_state,C3_ADVERSE_WARNING,premarket_rvol_20d_discovery_state,HIGH,ESCALATION_CONTEXT,VALIDATION,BULL,212,205,44,161,7,0,21.463414634146343,1.4287956720154231,2.0242211332788465,0.7548688958373457,1.5353458506432003,90,97
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,DISCOVERY,BEAR,218,211,55,156,1,6,26.066350710900473,1.0639580058983358,1.54366773144597,0.6133199122462285,1.0657330832166227,93,32
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,DISCOVERY,BULL,213,208,60,148,0,5,28.846153846153847,1.0411798314192238,1.600437503152791,0.6591067261636653,1.1788868776872459,92,32
warning_c3_state,C3_ADVERSE_WARNING,weekday,FRIDAY,ESCALATION_CONTEXT,VALIDATION,BEAR,184,183,47,136,1,0,25.683060109289617,1.2647425160247068,1.564207432395467,0.9391144100144362,1.2789451938198302,82,30
