feature,available_n,coverage_pct
weekly_ret_1w_pct,8339,98.60470616057704
weekly_ret_2w_pct,8210,97.07934255646211
weekly_ret_4w_pct,7970,94.24145678136455
weekly_ret_8w_pct,7411,87.63154783019984
weekly_ema9,7411,87.63154783019984
weekly_ema20,6070,71.77486106184226
weekly_close_vs_ema9_pct,7411,87.63154783019984
weekly_close_vs_ema20_pct,6070,71.77486106184226
weekly_ema9_vs_ema20_pct,6070,71.77486106184226
weekly_close_vs_sma20_pct,6070,71.77486106184226
weekly_ema9_slope_1w_pct,7243,85.64502778763155
weekly_ema20_slope_1w_pct,5945,70.29679555397895
weekly_trend_score,6070,71.77486106184226
