quarter,weekly_trend_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
2026Q1,OPPOSING,227,219,114,105,8,0,52.054794520547944,119,52.42290748898679,1.9976424703540292,1.6067866410445362,1.4543339150668992,1.226367666549863,59,57,BULL
2026Q2,ALIGNED,218,214,111,103,4,0,51.86915887850467,98,44.95412844036697,1.4605861634981379,1.8747711726549732,1.0849072572830532,1.3861933469120187,67,56,BEAR
2026Q2,MIXED,280,274,135,139,4,2,49.27007299270073,143,51.07142857142857,1.518736940044315,1.5740549191935869,1.2039600344547035,1.1354269586984396,93,61,BEAR
2026Q2,OPPOSING,304,293,145,148,5,6,49.48805460750853,148,48.68421052631579,1.8350122449239674,1.6467980221843819,1.2453400196333568,1.1563343191875948,68,62,BEAR
2026Q2,ALIGNED,288,283,147,136,2,3,51.9434628975265,146,50.69444444444444,2.348200271284073,1.6377148251863085,1.3452944793261943,1.0589014191936867,67,61,BULL
2026Q2,MIXED,328,323,166,157,5,0,51.39318885448916,146,44.51219512195122,1.5699962688601659,1.38520618949175,1.2057020440606911,1.0070732453865319,100,61,BULL
2026Q2,OPPOSING,209,206,95,111,2,1,46.116504854368934,97,46.411483253588514,1.790470689465903,1.404118120079695,1.2568923593273795,1.0628659046556985,67,55,BULL
2026Q3,ALIGNED,110,109,40,69,1,0,36.69724770642202,51,46.36363636363637,1.12493690963002,1.446644213441367,0.8320358479630117,1.0203107864517111,41,40,BEAR
2026Q3,MIXED,279,275,125,150,3,1,45.45454545454545,132,47.31182795698925,1.784962876782353,1.6688417955240145,1.202140798682584,1.119642725482141,89,46,BEAR
2026Q3,OPPOSING,236,227,130,97,2,7,57.268722466960355,126,53.389830508474574,1.6279391294684955,1.2754391705274646,1.0627562863999955,1.0014160375440873,71,46,BEAR
2026Q3,ALIGNED,252,245,105,140,5,2,42.857142857142854,115,45.63492063492063,1.5287997274785943,1.5561627876686779,1.1251998217101664,1.1103400770398753,76,45,BULL
2026Q3,MIXED,261,251,115,136,8,2,45.81673306772908,123,47.12643678160919,1.629772567888657,1.721274358359869,1.1626115096827352,1.3047638859995891,85,46,BULL
2026Q3,OPPOSING,107,103,55,48,4,0,53.398058252427184,48,44.85981308411215,1.741838385262261,1.5964260517252158,1.2827560930914388,1.0611303344867378,40,36,BULL
