research_period,state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction,lookback_days
DISCOVERY,FLAT,2,2,2,0,0,0,100.0,0,0.0,0.9649126304258759,0.21012645619194986,0.9649126304258759,0.21012645619194986,2,2,ALL,3
DISCOVERY,MODERATE_ALIGNED,1315,1279,673,606,3,33,52.6192337763878,609,46.31178707224335,1.1949996344221532,1.1048676040841567,0.8687485325193814,0.8022199798183527,112,157,ALL,3
DISCOVERY,MODERATE_OPPOSING,1191,1149,614,535,4,38,53.43777197563098,589,49.45424013434089,1.1011724782565966,1.1290839825553147,0.7675775253300583,0.7987772168455936,112,157,ALL,3
DISCOVERY,STRONG_ALIGNED,837,828,384,444,3,6,46.3768115942029,353,42.17443249701314,1.492871430022243,1.5318595958428922,1.0503984269895483,1.1507634991053683,109,154,ALL,3
DISCOVERY,STRONG_OPPOSING,837,831,409,422,4,2,49.21780986762936,385,45.997610513739545,1.548528987876373,1.3529727932993794,1.0976287513894056,0.923811500934192,110,152,ALL,3
DISCOVERY,UNKNOWN,90,88,52,36,0,2,59.09090909090909,49,54.44444444444444,1.0608429335108103,1.026951915651061,0.8345660782442099,0.6929182391751447,67,4,ALL,3
VALIDATION,FLAT,3,3,1,2,0,0,33.333333333333336,0,0.0,1.2312776707809878,1.3711847197314162,1.2265978050355035,1.115241635687737,3,3,ALL,3
VALIDATION,MODERATE_ALIGNED,1093,1074,554,520,6,13,51.5828677839851,526,48.12442817932296,1.3900213465342817,1.3936784099866208,1.0361962843751809,1.0122490643075857,112,161,ALL,3
VALIDATION,MODERATE_OPPOSING,983,959,478,481,13,11,49.84358706986444,483,49.1353001017294,1.4242594042891779,1.3454697522335965,0.9819843637874468,0.9664651503239619,112,158,ALL,3
VALIDATION,STRONG_ALIGNED,1041,1015,473,542,25,1,46.600985221674875,464,44.57252641690682,2.0460246886242395,1.6808137746347178,1.461172221310128,1.2618461699565453,112,160,ALL,3
VALIDATION,STRONG_OPPOSING,1065,1037,508,529,25,3,48.98746383799421,503,47.23004694835681,1.822610321055998,1.7790960751824336,1.3210663489236854,1.242692393700298,112,161,ALL,3
DISCOVERY,FLAT,1,1,1,0,0,0,100.0,0,0.0,1.3645147683464016,0.14616297662373423,1.3645147683464016,0.14616297662373423,1,1,BEAR,3
DISCOVERY,MODERATE_ALIGNED,614,602,308,294,3,9,51.16279069767442,274,44.62540716612378,1.2327450452251767,1.1379051166058538,0.9042903918620038,0.8659343233683199,110,149,BEAR,3
DISCOVERY,MODERATE_OPPOSING,628,599,315,284,3,26,52.587646076794655,303,48.2484076433121,1.0482192283430165,1.1300567597092965,0.7479585330405574,0.7991335269336853,112,150,BEAR,3
DISCOVERY,STRONG_ALIGNED,361,358,160,198,2,1,44.6927374301676,150,41.551246537396125,1.575970783315839,1.594463949824653,1.1282619228905624,1.185857150663964,99,131,BEAR,3
DISCOVERY,STRONG_OPPOSING,509,504,239,265,3,2,47.42063492063492,233,45.776031434184674,1.5618102768375137,1.377759042747029,1.1155587636984103,0.9487659847772008,104,142,BEAR,3
DISCOVERY,UNKNOWN,59,59,30,29,0,0,50.847457627118644,31,52.54237288135593,0.9626598388496109,1.2048135295159246,0.6804841306945106,0.9921562516232906,49,4,BEAR,3
DISCOVERY,FLAT,1,1,1,0,0,0,100.0,0,0.0,0.5653104925053504,0.2740899357601655,0.5653104925053504,0.2740899357601655,1,1,BULL,3
DISCOVERY,MODERATE_ALIGNED,701,677,365,312,0,24,53.91432791728213,335,47.78887303851641,1.1619387467858389,1.0759303249282053,0.8444797098163733,0.7418091901916329,111,152,BULL,3
DISCOVERY,MODERATE_OPPOSING,563,550,299,251,1,12,54.36363636363637,286,50.799289520426285,1.1602393360642846,1.1279988954279598,0.8166021980720722,0.7987772168455936,109,140,BULL,3
