ma_definition,symbol,short_ma_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
CONTINUOUS,AAPL,BOTH_FAVORABLE,73,70,34,36,0,3,48.57142857142857,36,49.31506849315068,0.9613308064601398,0.9459270749355059,0.7546101181056599,0.7662198499828174,1,73
CONTINUOUS,AAPL,BOTH_OPPOSING,5,5,3,2,0,0,60.0,2,40.0,0.7127417263805869,0.9186180788781503,0.7969201154956662,1.1703561116458212,1,5
CONTINUOUS,AAPL,EMA20_ONLY_OPPOSING,3,3,2,1,0,0,66.66666666666667,2,66.66666666666667,0.7647185888119066,1.0965419175659386,0.8875739644970446,1.4518470721084022,1,3
CONTINUOUS,ABBV,BOTH_FAVORABLE,52,50,25,25,1,1,50.0,24,46.15384615384615,0.958027524494696,1.0745511339568177,0.798822983010097,0.9839636593600953,1,52
CONTINUOUS,ABBV,BOTH_OPPOSING,9,8,3,5,0,1,37.5,5,55.55555555555556,0.6081295606639601,0.9459319109926072,0.4895089815194147,0.9423587001056659,1,9
CONTINUOUS,ABBV,EMA20_ONLY_OPPOSING,2,2,0,2,0,0,0.0,0,0.0,0.19572317934751032,2.062292353106612,0.19572317934751032,2.062292353106612,1,2
CONTINUOUS,ABBV,EMA9_ONLY_OPPOSING,1,1,1,0,0,0,100.0,1,100.0,2.4218607201608404,0.3632791080241345,2.4218607201608404,0.3632791080241345,1,1
CONTINUOUS,ABNB,BOTH_FAVORABLE,54,54,27,27,0,0,50.0,21,38.888888888888886,1.419226054842034,1.2000812595327146,1.1940877527172757,0.9284717093087425,1,54
CONTINUOUS,ABNB,BOTH_OPPOSING,5,5,4,1,0,0,80.0,4,80.0,1.2442097598541608,0.6395735596401702,0.9873122838991136,0.6579888427978944,1,5
CONTINUOUS,ABNB,EMA20_ONLY_OPPOSING,4,3,1,2,0,1,33.333333333333336,2,50.0,0.6393761588324647,1.356144364174444,0.43366619533112927,1.0849831857146093,1,4
CONTINUOUS,ABNB,EMA9_ONLY_OPPOSING,1,1,1,0,0,0,100.0,0,0.0,1.3145003265839317,0.4245591116917131,1.3145003265839317,0.4245591116917131,1,1
CONTINUOUS,ADBE,BOTH_FAVORABLE,77,76,37,39,1,0,48.68421052631579,33,42.857142857142854,1.5993581783192765,1.4025881086068805,1.318627450980391,1.3993710691823908,1,77
CONTINUOUS,ADBE,BOTH_OPPOSING,5,5,1,4,0,0,20.0,3,60.0,0.7962268744201237,1.2347925665682156,0.36585526924041867,1.2804964483155086,1,5
CONTINUOUS,ADBE,EMA20_ONLY_OPPOSING,4,4,2,2,0,0,50.0,1,25.0,1.6119369933444585,1.3334583122467432,1.3181823891987303,1.343694577664242,1,4
CONTINUOUS,AMAT,BOTH_FAVORABLE,67,64,33,31,3,0,51.5625,33,49.25373134328358,2.3673816399702785,1.782185215854421,1.666144364358089,1.4925373134328381,1,67
CONTINUOUS,AMAT,BOTH_OPPOSING,3,3,1,2,0,0,33.333333333333336,2,66.66666666666667,0.986030123319792,2.5979639345501813,0.9639330813629897,2.3996712779071334,1,3
CONTINUOUS,AMAT,EMA20_ONLY_OPPOSING,1,1,0,1,0,0,0.0,0,0.0,2.084995476672554,1.0166716925860446,2.084995476672554,1.0166716925860446,1,1
CONTINUOUS,AMD,BOTH_FAVORABLE,105,105,47,58,0,0,44.76190476190476,50,47.61904761904762,2.156566666595052,2.1621998452018403,1.482720369859216,1.7586827842743742,1,105
CONTINUOUS,AMD,BOTH_OPPOSING,1,1,0,1,0,0,0.0,0,0.0,0.33128459962512136,2.8289961204829823,0.33128459962512136,2.8289961204829823,1,1
CONTINUOUS,AMD,EMA20_ONLY_OPPOSING,2,2,0,2,0,0,0.0,0,0.0,3.352403308021571,1.8040134454453207,3.352403308021571,1.8040134454453207,1,2
CONTINUOUS,AMGN,BOTH_FAVORABLE,45,44,19,25,0,1,43.18181818181818,18,40.0,1.1401754029706652,1.1438660067919313,0.5626963724650177,0.9388455437210584,1,45
CONTINUOUS,AMGN,BOTH_OPPOSING,3,3,0,3,0,0,0.0,2,66.66666666666667,0.17773643406314868,2.3237922298997735,0.12159286655183357,1.862988722080895,1,3
CONTINUOUS,AMGN,EMA20_ONLY_OPPOSING,3,3,2,1,0,0,66.66666666666667,2,66.66666666666667,0.672080360922047,0.8863753469412234,0.8177231340253995,0.5480484834425524,1,3
CONTINUOUS,AMGN,EMA9_ONLY_OPPOSING,2,2,1,1,0,0,50.0,1,50.0,1.2302166248953785,1.1267184341170398,1.2302166248953785,1.1267184341170398,1,2
CONTINUOUS,AMZN,BOTH_FAVORABLE,88,88,45,43,0,0,51.13636363636363,40,45.45454545454545,1.0704968349471444,1.0770360157299799,0.9074981325265739,0.7895348686142885,1,88
CONTINUOUS,AMZN,BOTH_OPPOSING,3,3,2,1,0,0,66.66666666666667,0,0.0,1.620159443451074,0.7225853681079476,1.748046054290275,0.734149054505008,1,3
CONTINUOUS,AMZN,EMA20_ONLY_OPPOSING,2,2,1,1,0,0,50.0,1,50.0,0.33178360594288614,2.8889792074973135,0.33178360594288614,2.8889792074973135,1,2
CONTINUOUS,ANET,BOTH_FAVORABLE,73,71,43,28,2,0,60.563380281690144,46,63.013698630136986,2.1789457926242664,1.6990172905431462,1.774239178757623,1.4480035103115534,1,73
CONTINUOUS,ANET,BOTH_OPPOSING,4,4,2,2,0,0,50.0,1,25.0,2.297543009215061,0.8565044540291511,2.2214283496967813,0.43313315561848653,1,4
CONTINUOUS,ANET,EMA9_ONLY_OPPOSING,1,1,0,1,0,0,0.0,0,0.0,0.7250156478197448,1.6378051324848666,0.7250156478197448,1.6378051324848666,1,1
CONTINUOUS,APP,BOTH_FAVORABLE,96,91,53,38,5,0,58.24175824175824,52,54.166666666666664,3.0020066202412465,2.129906870823576,2.651668726478775,1.5436029131000717,1,96
CONTINUOUS,APP,BOTH_OPPOSING,2,2,2,0,0,0,100.0,2,100.0,3.0388456294208526,0.12552517836653704,3.0388456294208526,0.12552517836653704,1,2
