ma_definition,research_period,short_ma_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmed_n,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n,direction
RTH_ONLY,VALIDATION,EMA9_ONLY_OPPOSING,21,21,11,10,0,0,52.38095238095238,11,52.38095238095238,1.2015509777903952,1.2386871612300694,0.692221808708602,1.0599711237102678,20,18,ALL
CONTINUOUS,DISCOVERY,BOTH_FAVORABLE,1875,1830,910,920,11,34,49.72677595628415,849,45.28,1.3234323089894797,1.2817321112151316,0.9453280596931202,0.9336099585062202,112,158,BEAR
CONTINUOUS,DISCOVERY,BOTH_OPPOSING,164,161,81,80,0,3,50.31055900621118,81,49.390243902439025,1.1310389060820294,1.148596493051567,0.7626746562051545,0.8121309081213048,86,106,BEAR
CONTINUOUS,DISCOVERY,EMA20_ONLY_OPPOSING,68,67,31,36,0,1,46.26865671641791,30,44.11764705882353,1.2947845931114035,1.2464263285420187,0.8845640869069691,0.9418934414095212,51,55,BEAR
CONTINUOUS,DISCOVERY,EMA9_ONLY_OPPOSING,13,13,5,8,0,0,38.46153846153846,5,38.46153846153846,1.1929193200438788,0.9924007517679644,0.8719520691096532,0.8305358154945954,12,11,BEAR
CONTINUOUS,DISCOVERY,UNKNOWN,1,1,0,1,0,0,0.0,0,0.0,0.026146244661799847,2.0508041646274813,0.026146244661799847,2.0508041646274813,1,1,BEAR
CONTINUOUS,DISCOVERY,BOTH_FAVORABLE,1822,1786,946,840,2,34,52.96752519596865,859,47.14599341383096,1.2928739218554577,1.2256150840428386,0.917823850862107,0.8513184617746932,112,158,BULL
CONTINUOUS,DISCOVERY,BOTH_OPPOSING,152,146,73,73,1,5,50.0,74,48.68421052631579,1.0477718258485582,1.1261430358023294,0.8260578697094868,0.7602153213462235,79,98,BULL
CONTINUOUS,DISCOVERY,EMA20_ONLY_OPPOSING,63,59,26,33,0,4,44.067796610169495,28,44.44444444444444,1.1203453664075076,1.2834118142362927,0.662878787878781,1.071507883633137,49,50,BULL
CONTINUOUS,DISCOVERY,EMA9_ONLY_OPPOSING,12,12,6,6,0,0,50.0,4,33.333333333333336,1.8108187909688063,0.7648960038903159,1.3384390132088937,0.6004576394012926,11,10,BULL
CONTINUOUS,DISCOVERY,UNKNOWN,3,3,2,1,0,0,66.66666666666667,1,33.333333333333336,1.0799903232005652,0.3967920907984251,1.4438056786764348,0.2676087242726147,3,1,BULL
CONTINUOUS,VALIDATION,BOTH_FAVORABLE,1813,1778,905,873,21,14,50.899887514060744,866,47.76613348041919,1.676903040394772,1.556950109771275,1.1963737243634303,1.1242167342425349,112,159,BEAR
CONTINUOUS,VALIDATION,BOTH_OPPOSING,141,139,61,78,2,0,43.884892086330936,73,51.773049645390074,1.212281236985047,1.545901154949738,0.8801712765727493,1.0869356480325636,78,93,BEAR
CONTINUOUS,VALIDATION,EMA20_ONLY_OPPOSING,52,51,23,28,0,1,45.09803921568628,23,44.23076923076923,1.4861728532724532,1.4431719525484608,1.0434159254750686,0.9905063374087534,39,37,BEAR
