sensitivity,period_type,period,early_path_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
BASE,research_period,DISCOVERY,CONTINUATION_THEN_REVERSAL,380,372,158,214,0,8,42.473118279569896,100.0,1.1390384075795166,1.4414754037457174,0.7131957823362917,1.0485427172306436,106,140
BASE,research_period,DISCOVERY,FAILURE_THEN_RECOVERY,476,463,274,189,1,12,59.1792656587473,0.0,1.3911910514893977,1.0380225673439334,1.0584543162222273,0.7418602999116551,108,149
BASE,research_period,DISCOVERY,IMMEDIATE_CONTINUATION,1542,1501,1244,257,7,34,82.87808127914724,100.0,1.662525260606991,0.9140244153302274,1.271016337298128,0.547424976045763,112,158
BASE,research_period,DISCOVERY,IMMEDIATE_FAILURE,1694,1663,367,1296,6,25,22.06855081178593,0.0,0.9579554375874372,1.5579810088530923,0.5873834049198754,1.1703305423785397,112,158
BASE,research_period,DISCOVERY,INCOMPLETE,44,43,17,26,0,1,39.53488372093023,20.454545454545453,0.9811439912301896,1.2500207966311394,0.7725353924332585,1.1323474813240535,18,40
BASE,research_period,DISCOVERY,STALLED_MIXED,37,36,20,16,0,1,55.55555555555556,0.0,1.5224927905854968,1.1159255914612107,0.7887679444707366,0.6207508128879718,29,31
BASE,research_period,VALIDATION,CONTINUATION_THEN_REVERSAL,432,421,192,229,7,4,45.605700712589076,100.0,1.388173280831439,1.6486503391086922,1.0498329467884266,1.2393541811691424,107,143
BASE,research_period,VALIDATION,FAILURE_THEN_RECOVERY,516,504,283,221,11,1,56.15079365079365,0.0,1.8706772409834742,1.429988078755457,1.351323973991173,0.9051587175568736,110,152
BASE,research_period,VALIDATION,IMMEDIATE_CONTINUATION,1526,1485,1256,229,29,12,84.57912457912458,100.0,2.1255124101489713,1.2038093809513206,1.5904078768572683,0.7522361106566441,112,159
BASE,research_period,VALIDATION,IMMEDIATE_FAILURE,1623,1593,248,1345,20,10,15.568110483364721,0.0,1.2563769742197417,1.8981753586063612,0.7387862796833803,1.4418169672678693,112,159
BASE,research_period,VALIDATION,INCOMPLETE,13,13,6,7,0,0,46.15384615384615,7.6923076923076925,1.4492530471123124,0.9742502103883438,1.3064673383165364,0.8226565922032558,9,13
BASE,research_period,VALIDATION,STALLED_MIXED,24,24,13,11,0,0,54.166666666666664,0.0,1.5468304392385592,1.3545693839488464,1.2719009352651196,0.9764936986850432,19,24
BASE,validation_subperiod,VALIDATION_OLDER,CONTINUATION_THEN_REVERSAL,222,216,97,119,5,1,44.907407407407405,100.0,1.3278690739589192,1.676053110286746,1.0498329467884266,1.3778388410613476,95,73
BASE,validation_subperiod,VALIDATION_OLDER,FAILURE_THEN_RECOVERY,255,251,148,103,4,0,58.96414342629482,0.0,1.7063767342503386,1.3485539249178706,1.267166456577985,0.8305602900197476,97,75
BASE,validation_subperiod,VALIDATION_OLDER,IMMEDIATE_CONTINUATION,714,697,601,96,14,3,86.22668579626973,100.0,2.0395538214018187,1.0940379873271828,1.5247409172992668,0.7255714372911649,112,79
BASE,validation_subperiod,VALIDATION_OLDER,IMMEDIATE_FAILURE,832,818,137,681,10,4,16.748166259168705,0.0,1.2121120062073518,1.762280412908655,0.7390680320637513,1.3737006535976015,112,79
BASE,validation_subperiod,VALIDATION_OLDER,INCOMPLETE,3,3,0,3,0,0,0.0,0.0,1.772275876951646,0.7619150399354496,2.014066098213724,0.8226565922032558,2,3
BASE,validation_subperiod,VALIDATION_OLDER,STALLED_MIXED,15,15,8,7,0,0,53.333333333333336,0.0,1.0375015032514583,1.4621039095143566,0.9451483759131586,1.0163603502100886,13,15
BASE,validation_subperiod,VALIDATION_NEWER,CONTINUATION_THEN_REVERSAL,210,205,95,110,2,3,46.34146341463415,100.0,1.4519234423823888,1.6196816952918924,1.0519081354937692,1.112716057324608,96,70
BASE,validation_subperiod,VALIDATION_NEWER,FAILURE_THEN_RECOVERY,261,253,135,118,7,1,53.359683794466406,0.0,2.031200724573319,1.5095501830795361,1.5416666666666698,0.9337300831122388,102,77
BASE,validation_subperiod,VALIDATION_NEWER,IMMEDIATE_CONTINUATION,812,788,655,133,15,9,83.12182741116752,100.0,2.201096686461122,1.300332502931166,1.6578026630109883,0.7746305024474223,110,80
BASE,validation_subperiod,VALIDATION_NEWER,IMMEDIATE_FAILURE,791,775,111,664,10,6,14.32258064516129,0.0,1.3029363337473125,2.0411141636891568,0.7387862796833803,1.5577540232218605,112,80
BASE,validation_subperiod,VALIDATION_NEWER,INCOMPLETE,10,10,6,4,0,0,60.0,10.0,1.352346198160512,1.037950761524212,1.1902016261916222,0.8591453516819776,8,10
BASE,validation_subperiod,VALIDATION_NEWER,STALLED_MIXED,9,9,5,4,0,0,55.55555555555556,0.0,2.39571199921706,1.1753451746729968,1.5609960242728682,0.7518796992481203,8,9
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,CONTINUATION_THEN_REVERSAL,355,350,146,204,0,5,41.714285714285715,100.0,1.1433813988320265,1.4776137135729948,0.7114135477884221,1.083922041044618,103,138
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,FAILURE_THEN_RECOVERY,456,445,259,186,1,10,58.20224719101124,0.0,1.3966772351803578,1.0523329818477212,1.0648436529985046,0.7593032169633522,105,149
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,IMMEDIATE_CONTINUATION,1496,1468,1217,251,7,21,82.90190735694823,100.0,1.6803046360309561,0.9243443693034206,1.288448230058292,0.5616360121653885,109,158
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,IMMEDIATE_FAILURE,1652,1629,358,1271,6,17,21.97667280540209,0.0,0.9683374530641273,1.5648152712302261,0.6005194260785094,1.1896046200558472,109,158
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,INCOMPLETE,44,43,17,26,0,1,39.53488372093023,20.454545454545453,0.9811439912301896,1.2500207966311394,0.7725353924332585,1.1323474813240535,18,40
EXCLUDE_SPY_QQQ_TQQQ,research_period,DISCOVERY,STALLED_MIXED,37,36,20,16,0,1,55.55555555555556,0.0,1.5224927905854968,1.1159255914612107,0.7887679444707366,0.6207508128879718,29,31
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,CONTINUATION_THEN_REVERSAL,417,409,188,221,7,1,45.965770171149146,100.0,1.4056186028189501,1.6757716694229046,1.0630876021439282,1.253589301829523,104,142
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,FAILURE_THEN_RECOVERY,498,486,269,217,11,1,55.349794238683124,0.0,1.876730177973491,1.443307803418858,1.351323973991173,0.9319432152821231,107,151
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,IMMEDIATE_CONTINUATION,1443,1408,1206,202,29,6,85.6534090909091,100.0,2.1794138014080597,1.2211372910118483,1.6357042409888087,0.7728813559321941,109,159
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,IMMEDIATE_FAILURE,1550,1527,233,1294,20,3,15.258677144728225,0.0,1.2681604728258051,1.9194776560082794,0.7542520995512748,1.4797974098399727,109,159
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,INCOMPLETE,13,13,6,7,0,0,46.15384615384615,7.6923076923076925,1.4492530471123124,0.9742502103883438,1.3064673383165364,0.8226565922032558,9,13
EXCLUDE_SPY_QQQ_TQQQ,research_period,VALIDATION,STALLED_MIXED,24,24,13,11,0,0,54.166666666666664,0.0,1.5468304392385592,1.3545693839488464,1.2719009352651196,0.9764936986850432,19,24
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,CONTINUATION_THEN_REVERSAL,212,207,93,114,5,0,44.927536231884055,100.0,1.333557194015039,1.7222575992738134,1.0584930381634963,1.4131783678322076,92,72
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,FAILURE_THEN_RECOVERY,243,239,139,100,4,0,58.15899581589958,0.0,1.7104555004972166,1.3862910158974697,1.2741389607803972,0.90657814511212,94,75
EXCLUDE_SPY_QQQ_TQQQ,validation_subperiod,VALIDATION_OLDER,IMMEDIATE_CONTINUATION,689,674,585,89,14,1,86.79525222551929,100.0,2.0689659639548643,1.106917247999593,1.5475021972452718,0.7546140558232551,109,79
