early_path_state,symbol,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
CONTINUATION_THEN_REVERSAL,AAPL,10,8,4,4,0,2,50.0,100.0,1.082840180738412,0.7689263797244726,1.1083044356267189,0.5603904930522612,1,10
CONTINUATION_THEN_REVERSAL,ABBV,5,5,3,2,0,0,60.0,100.0,1.105375283256341,1.0086899712564663,1.015660407899003,0.9423587001056659,1,5
CONTINUATION_THEN_REVERSAL,ABNB,5,5,3,2,0,0,60.0,100.0,0.7856418085954053,1.0318359280016638,0.771012062543434,0.9282764004902324,1,5
CONTINUATION_THEN_REVERSAL,ADBE,6,6,1,5,0,0,16.666666666666668,100.0,1.0183134542076646,1.5818173187607627,0.9403525996255494,1.6576697198097903,1,6
CONTINUATION_THEN_REVERSAL,AMAT,3,3,1,2,0,0,33.333333333333336,100.0,1.4586450267715723,2.1449190435753374,1.5500393125912564,2.7901181059702984,1,3
CONTINUATION_THEN_REVERSAL,AMD,11,11,2,9,0,0,18.181818181818183,100.0,1.9047551155545734,1.7366453586617039,1.3210663489236854,1.5280348906529462,1,11
CONTINUATION_THEN_REVERSAL,AMGN,7,7,1,6,0,0,14.285714285714286,100.0,0.5374423738150534,1.4176516146146187,0.37917087967644386,1.7189079878665265,1,7
CONTINUATION_THEN_REVERSAL,AMZN,10,10,4,6,0,0,40.0,100.0,0.9551435457163363,1.34443163470459,0.7578943934805409,0.831872355853159,1,10
CONTINUATION_THEN_REVERSAL,ANET,11,11,6,5,0,0,54.54545454545455,100.0,2.002161112076457,1.8606383539746545,1.1344064300750527,1.4480035103115534,1,11
CONTINUATION_THEN_REVERSAL,APP,5,5,4,1,0,0,80.0,100.0,1.1508566445369404,3.102460623094388,1.1238482855944951,3.2195550120320306,1,5
CONTINUATION_THEN_REVERSAL,ARM,5,5,2,3,0,0,40.0,100.0,1.6614477865049242,2.1929249750210364,2.0533535302533013,2.3167155425219916,1,5
CONTINUATION_THEN_REVERSAL,ASML,7,7,2,5,0,0,28.571428571428573,100.0,1.107836688924917,0.9646639323828232,1.0538984741830641,0.8979369712561213,1,7
CONTINUATION_THEN_REVERSAL,AVGO,6,5,1,4,1,0,20.0,100.0,1.7416485942601507,2.444760726538523,0.7985349440110723,1.7940298019939673,1,6
CONTINUATION_THEN_REVERSAL,AXON,5,5,2,3,0,0,40.0,100.0,1.4270279753320145,3.8685009726674493,1.5565135695200614,4.6522926016749215,1,5
CONTINUATION_THEN_REVERSAL,AXP,1,1,0,1,0,0,0.0,100.0,0.7651645485321031,0.5050224762750412,0.7651645485321031,0.5050224762750412,1,1
CONTINUATION_THEN_REVERSAL,BA,9,9,3,6,0,0,33.333333333333336,100.0,0.9150737733743433,1.1398899331083552,0.8188835440205768,1.3244270413451573,1,9
CONTINUATION_THEN_REVERSAL,BAC,9,9,2,7,0,0,22.22222222222222,100.0,0.4664000118718088,1.5297240265026562,0.4036849187454721,1.2551517422255558,1,9
CONTINUATION_THEN_REVERSAL,BKNG,1,1,0,1,0,0,0.0,100.0,0.12632521233334046,2.73233483739188,0.12632521233334046,2.73233483739188,1,1
CONTINUATION_THEN_REVERSAL,BLK,3,3,2,1,0,0,66.66666666666667,100.0,1.5336338266100125,0.48065422267355545,1.888010794140338,0.23419429452581308,1,3
CONTINUATION_THEN_REVERSAL,BMY,7,7,2,5,0,0,28.571428571428573,100.0,0.6999436139404533,1.405432421712318,0.5777881547202144,1.162540365984928,1,7
CONTINUATION_THEN_REVERSAL,C,7,7,6,1,0,0,85.71428571428571,100.0,1.740925914136947,1.3733910172058803,1.2992034645425774,0.973487986743991,1,7
CONTINUATION_THEN_REVERSAL,CAT,8,8,1,7,0,0,12.5,100.0,2.0197833323979633,1.6314181762973134,2.1242971977936467,1.3540987720606328,1,8
CONTINUATION_THEN_REVERSAL,CEG,9,9,6,3,0,0,66.66666666666667,100.0,1.5715512242324814,1.9318818617870193,0.8339070861310848,2.2013408646993597,1,9
CONTINUATION_THEN_REVERSAL,CMCSA,4,3,1,2,0,1,33.333333333333336,100.0,0.9794076962014495,1.3377855806077439,0.3990918140598751,1.1941163683580875,1,4
CONTINUATION_THEN_REVERSAL,CME,9,9,2,7,0,0,22.22222222222222,100.0,0.3878882353711694,1.3998147516407846,0.28042724966956917,0.9107129581443928,1,9
CONTINUATION_THEN_REVERSAL,CMG,8,8,5,3,0,0,62.5,100.0,1.4509395354152619,1.2288125436537727,1.3556739219292977,1.184430299747201,1,8
CONTINUATION_THEN_REVERSAL,COIN,8,8,3,5,0,0,37.5,100.0,2.598704190403334,4.915660303548394,1.184314401563956,4.408902982800997,1,8
CONTINUATION_THEN_REVERSAL,COP,7,7,3,4,0,0,42.857142857142854,100.0,1.186175688662195,1.5725978986356797,0.7654052373921933,0.8835154615205827,1,7
