research_period,early_path_state,candle,elapsed_after_c2,total_n,avg_close_delta_pct,avg_cumulative_mfe_pct,avg_cumulative_mae_pct,median_cumulative_mfe_pct,median_cumulative_mae_pct
DISCOVERY,CONTINUATION_THEN_REVERSAL,C3,1,380,0.12153281386792543,0.24883332174746767,0.1260726729887952,0.20443931497325799,0.0989049269202278
DISCOVERY,CONTINUATION_THEN_REVERSAL,C4,2,380,-0.14737841292315687,0.26729808302283303,0.2442393639340828,0.2243841670320122,0.19608939501956807
DISCOVERY,CONTINUATION_THEN_REVERSAL,C5,3,380,-0.1431158624781458,0.2804070863195128,0.33776217526542773,0.23947200346597713,0.2711342891395573
DISCOVERY,CONTINUATION_THEN_REVERSAL,C6,4,380,-0.16617144835983014,0.3036326410549009,0.41276039594290503,0.2471910232062094,0.32152377255543585
DISCOVERY,CONTINUATION_THEN_REVERSAL,C7,5,380,-0.16740641929076008,0.3218323889924443,0.4576606500907079,0.25505274014849494,0.35480469290709443
DISCOVERY,CONTINUATION_THEN_REVERSAL,C8,6,380,-0.17788321649695107,0.33740224543132236,0.48825078828274054,0.2635806360100818,0.3874841120300918
DISCOVERY,CONTINUATION_THEN_REVERSAL,C9,7,380,-0.17490058030141573,0.3524468461958422,0.5129879514004366,0.2739646561524789,0.4065791643832743
DISCOVERY,CONTINUATION_THEN_REVERSAL,C10,8,380,-0.15878926711863486,0.3667531931977385,0.5364965435061945,0.28308804352702777,0.4190730575580437
DISCOVERY,FAILURE_THEN_RECOVERY,C3,1,476,-0.1283124099694753,0.1083473934101227,0.2510129994653327,0.07807879864946679,0.19585173631037217
DISCOVERY,FAILURE_THEN_RECOVERY,C4,2,476,0.14312752891063588,0.2320065659562317,0.2682966581035679,0.19034256828194882,0.21330957215672533
DISCOVERY,FAILURE_THEN_RECOVERY,C5,3,476,0.14534755372683575,0.33309198048550587,0.2791931330972942,0.2615126737531395,0.21938884991136498
DISCOVERY,FAILURE_THEN_RECOVERY,C6,4,476,0.13327685766723726,0.3937721475269165,0.29906983616102506,0.3047793144825805,0.24203543261392807
DISCOVERY,FAILURE_THEN_RECOVERY,C7,5,476,0.14359352395982222,0.44141812988572193,0.32280445802591556,0.347679278054152,0.25752477716403954
DISCOVERY,FAILURE_THEN_RECOVERY,C8,6,476,0.1527364464972257,0.47811196534475053,0.3419436466033229,0.36905255715554064,0.27734754598118594
DISCOVERY,FAILURE_THEN_RECOVERY,C9,7,476,0.14621040779955502,0.5027645735027082,0.3530919390215358,0.38492320039370953,0.28480907475580247
