research_period,early_path_state,candle,elapsed_after_c2,total_n,avg_close_delta_pct,avg_cumulative_mfe_pct,avg_cumulative_mae_pct,median_cumulative_mfe_pct,median_cumulative_mae_pct
DISCOVERY,FAILURE_THEN_RECOVERY,C10,8,476,0.15200960538429734,0.5253660453886827,0.36605064422702893,0.4003098650068041,0.2928802499656059
DISCOVERY,IMMEDIATE_CONTINUATION,C3,1,1542,0.2744493934401911,0.3733491191051617,0.09659427394511863,0.30025925365861383,0.06046827890296542
DISCOVERY,IMMEDIATE_CONTINUATION,C4,2,1542,0.3646093953244769,0.5228497151981811,0.10247855017872072,0.43023586274648684,0.06742715597734776
DISCOVERY,IMMEDIATE_CONTINUATION,C5,3,1542,0.3624410414492953,0.5986554151019713,0.1159972822536812,0.5020921521521069,0.0821314509638913
DISCOVERY,IMMEDIATE_CONTINUATION,C6,4,1542,0.3476080315472516,0.6549563094562801,0.13941880787734248,0.5403257998926005,0.09718687249394414
DISCOVERY,IMMEDIATE_CONTINUATION,C7,5,1542,0.3519996533432712,0.6932945196377266,0.15930342722433471,0.5730866764698448,0.10571754680280131
DISCOVERY,IMMEDIATE_CONTINUATION,C8,6,1542,0.3487238327214402,0.7219980898672558,0.17505944486700756,0.5895454915513103,0.11255265303645855
DISCOVERY,IMMEDIATE_CONTINUATION,C9,7,1542,0.35119358572872833,0.7452453286613928,0.18993008616736634,0.6174863678092046,0.11988376149303819
DISCOVERY,IMMEDIATE_CONTINUATION,C10,8,1542,0.3640755637603839,0.7697000586006165,0.20342425462203345,0.6413877666058697,0.1245477307557164
DISCOVERY,IMMEDIATE_FAILURE,C3,1,1694,-0.28146023711161394,0.09298384710830236,0.38228313161181815,0.05563544583289271,0.3030883154602884
DISCOVERY,IMMEDIATE_FAILURE,C4,2,1694,-0.33676332317273616,0.09922443873582801,0.5014748031702049,0.06470174502505871,0.40826095859075073
DISCOVERY,IMMEDIATE_FAILURE,C5,3,1694,-0.3380554565864064,0.11536705507521434,0.5623179622775782,0.07791691653029817,0.46434074847917617
DISCOVERY,IMMEDIATE_FAILURE,C6,4,1694,-0.3318150610346358,0.14085576933764474,0.6143892011272556,0.0914295968257237,0.5004649334938098
DISCOVERY,IMMEDIATE_FAILURE,C7,5,1694,-0.3298090610119361,0.16375389714789595,0.6545275002207721,0.10420866989657576,0.52659878610808
DISCOVERY,IMMEDIATE_FAILURE,C8,6,1694,-0.33199925817211484,0.18057546859604923,0.6829591286420753,0.11168545669013866,0.5480523123592214
DISCOVERY,IMMEDIATE_FAILURE,C9,7,1694,-0.34304018460176106,0.1950482214777124,0.7057429265615075,0.11909823521317556,0.5696260948650482
DISCOVERY,IMMEDIATE_FAILURE,C10,8,1694,-0.34495271995415056,0.2092509290029226,0.7292223327102725,0.12672549368745634,0.5889112294625739
DISCOVERY,INCOMPLETE,C3,1,44,-0.02202420751677958,0.13743316467510502,0.16836079288146671,0.07931675170902718,0.12231980467766944
DISCOVERY,INCOMPLETE,C4,2,44,-0.09885596224436462,0.11960769542766132,0.18994594058901162,0.003703703703700335,0.13612994782200583
DISCOVERY,INCOMPLETE,C5,3,44,-0.07052790186366456,0.1587208751189598,0.2830757921096618,0.09319408452350605,0.21571333184954392
DISCOVERY,INCOMPLETE,C6,4,44,-0.09246623303558248,0.18909644165217376,0.3429425675376236,0.15288174108457747,0.25944786594143787
DISCOVERY,INCOMPLETE,C7,5,44,-0.16722733359035527,0.20579428793779997,0.37231971335058256,0.1680092367892817,0.25944786594143787
DISCOVERY,INCOMPLETE,C8,6,44,-0.08790551035661215,0.2281821607829663,0.39110541381331543,0.17897890588312365,0.2877189132106611
DISCOVERY,INCOMPLETE,C9,7,44,-0.08551699705164684,0.2292798025824806,0.40893709426828556,0.18209289570482265,0.29075422717700555
DISCOVERY,INCOMPLETE,C10,8,44,-0.1890913369719932,0.24408285089899717,0.4354019662449023,0.18641092385126,0.29075422717700555
DISCOVERY,STALLED_MIXED,C3,1,37,0.0,0.10489939684370132,0.11405570432921626,0.08154020385051272,0.09686168151879943
DISCOVERY,STALLED_MIXED,C4,2,37,0.1053992633621033,0.24571106760473033,0.1650177990908957,0.13984791539200822,0.12807741568237285
DISCOVERY,STALLED_MIXED,C5,3,37,0.11970285492830421,0.3348736565758266,0.20065652002872927,0.22967386311437762,0.12963245386610944
DISCOVERY,STALLED_MIXED,C6,4,37,0.15728344483688245,0.435915818143579,0.23362874489255964,0.25579858017416907,0.1345454545454562
DISCOVERY,STALLED_MIXED,C7,5,37,0.1845216807516479,0.4761224439450039,0.2556289177469637,0.3149937001260094,0.1345454545454562
DISCOVERY,STALLED_MIXED,C8,6,37,0.17706545053539707,0.5025077307255909,0.26210196673326785,0.3253741803073563,0.15471892728211004
DISCOVERY,STALLED_MIXED,C9,7,37,0.15954785471192326,0.5318881884236054,0.2788990605673893,0.33326056901694884,0.15471892728211004
DISCOVERY,STALLED_MIXED,C10,8,37,0.15225224211357216,0.5429449463460666,0.290873347661226,0.33326056901694884,0.16299999999999953
VALIDATION,CONTINUATION_THEN_REVERSAL,C3,1,432,0.15337412451121785,0.3085579678916605,0.14679693695914478,0.24398480572754605,0.11202828162721964
VALIDATION,CONTINUATION_THEN_REVERSAL,C4,2,432,-0.23319627772752854,0.3337195670061688,0.35147648120575653,0.2682863916406877,0.27691133664444656
VALIDATION,CONTINUATION_THEN_REVERSAL,C5,3,432,-0.22950837856102574,0.34543368189468415,0.48215065566575377,0.27640025279524016,0.3905557992062647
VALIDATION,CONTINUATION_THEN_REVERSAL,C6,4,432,-0.2186902306225228,0.37485609119559066,0.565494726778397,0.298939485805025,0.4341047056837607
VALIDATION,CONTINUATION_THEN_REVERSAL,C7,5,432,-0.20380105913528637,0.40113888353772953,0.6090062190892267,0.3150992582019083,0.4820053404704825
VALIDATION,CONTINUATION_THEN_REVERSAL,C8,6,432,-0.20693108942782798,0.4241793017905618,0.6482527221333333,0.33566138081894414,0.5079557868840062
VALIDATION,CONTINUATION_THEN_REVERSAL,C9,7,432,-0.19675612417089872,0.44694995765812556,0.6825728830477501,0.34623534371278375,0.55487451461087
VALIDATION,CONTINUATION_THEN_REVERSAL,C10,8,432,-0.16634215388233442,0.47183444682097636,0.7038048966256738,0.3531468490268992,0.5813112313641422
VALIDATION,FAILURE_THEN_RECOVERY,C3,1,516,-0.16251764794135468,0.1598347320518579,0.32482713594514234,0.10980215648469993,0.266285140254227
VALIDATION,FAILURE_THEN_RECOVERY,C4,2,516,0.21833358379914253,0.3387751439273692,0.3528969178287629,0.26332588212556274,0.28880292187216905
VALIDATION,FAILURE_THEN_RECOVERY,C5,3,516,0.2173530440003293,0.4745668242218,0.36601873985383676,0.3722277441341927,0.30071895336960924
VALIDATION,FAILURE_THEN_RECOVERY,C6,4,516,0.21695329751952763,0.5623329962160631,0.40250672337473015,0.443606040709278,0.32964594141478387
VALIDATION,FAILURE_THEN_RECOVERY,C7,5,516,0.22398250910053832,0.6332934927998032,0.4400326591373141,0.4978939253273751,0.3419173850739363
VALIDATION,FAILURE_THEN_RECOVERY,C8,6,516,0.2296049669358506,0.6765023040770565,0.46401069204309997,0.5134674887874697,0.36044746689752527
VALIDATION,FAILURE_THEN_RECOVERY,C9,7,516,0.24042299695292627,0.7094377408079765,0.4841523554455923,0.5357476453406006,0.3705760475499232
VALIDATION,FAILURE_THEN_RECOVERY,C10,8,516,0.2411675591383614,0.7447814153929404,0.5024369124614039,0.5501717422247187,0.3851597464099138
VALIDATION,IMMEDIATE_CONTINUATION,C3,1,1526,0.32061301664310804,0.45374323054977117,0.12071879741273506,0.37589486070774886,0.07337872671162246
VALIDATION,IMMEDIATE_CONTINUATION,C4,2,1526,0.45016861382754597,0.6498474120310642,0.13009289385166528,0.5392012874299985,0.08149222128893474
VALIDATION,IMMEDIATE_CONTINUATION,C5,3,1526,0.44827897839025255,0.7523011877401917,0.15428140581221883,0.6155362853068643,0.09801114580353687
VALIDATION,IMMEDIATE_CONTINUATION,C6,4,1526,0.47589436513595895,0.8393643978667039,0.18809693462777277,0.6838958061315712,0.1144267409369198
VALIDATION,IMMEDIATE_CONTINUATION,C7,5,1526,0.4690443183958186,0.9018279340347559,0.22087088119762288,0.7293026458802343,0.12787055567383704
VALIDATION,IMMEDIATE_CONTINUATION,C8,6,1526,0.46210307120436106,0.9456519300455679,0.2515430487923542,0.7490647675421802,0.13886946001932873
VALIDATION,IMMEDIATE_CONTINUATION,C9,7,1526,0.47967730048699525,0.983883048064996,0.276541672100027,0.7751236642056601,0.15205876679745128
VALIDATION,IMMEDIATE_CONTINUATION,C10,8,1526,0.48106104549205886,1.0161575890458732,0.29398985247195963,0.7945512422073706,0.16122058672710726
VALIDATION,IMMEDIATE_FAILURE,C3,1,1623,-0.33991297836444767,0.11891589783095788,0.4569722500587579,0.06923723644515571,0.36140824592377385
VALIDATION,IMMEDIATE_FAILURE,C4,2,1623,-0.43091245457834787,0.12781916424041748,0.6346746156822571,0.07891414141414439,0.5109571931418277
VALIDATION,IMMEDIATE_FAILURE,C5,3,1623,-0.43017843752572227,0.14901951556631865,0.7313671862311236,0.09492839974954463,0.5827905382241966
VALIDATION,IMMEDIATE_FAILURE,C6,4,1623,-0.4301412136474128,0.17479603136683888,0.7990353247082947,0.11090608673622099,0.6446158723449218
VALIDATION,IMMEDIATE_FAILURE,C7,5,1623,-0.40489590525032887,0.21006821032842138,0.8491314837233678,0.12914777146714737,0.6924633652744191
VALIDATION,IMMEDIATE_FAILURE,C8,6,1623,-0.4111421700646235,0.23317665350955957,0.8820113734563353,0.14243157698751777,0.7097232079489034
VALIDATION,IMMEDIATE_FAILURE,C9,7,1623,-0.415761607508291,0.25414501963874114,0.9177132395900696,0.1545698924731305,0.7331716484031433
VALIDATION,IMMEDIATE_FAILURE,C10,8,1623,-0.408014354280034,0.2771107630455483,0.9446122171023635,0.16798656107512036,0.7583102493074784
VALIDATION,INCOMPLETE,C3,1,13,0.009835522912425114,0.21419880978440964,0.2242543653006147,0.163401477750193,0.2695746511201328
VALIDATION,INCOMPLETE,C4,2,13,-0.0019281112946672452,0.19319690447294144,0.20801723514053913,0.15640777540296977,0.20761620116525822
VALIDATION,INCOMPLETE,C5,3,13,-0.04535405590036485,0.23344143545082646,0.33557295352048655,0.2805113584107485,0.20610811030337214
VALIDATION,INCOMPLETE,C6,4,13,-0.004447716461442836,0.2983790799617669,0.3929113066375737,0.35749106272342085,0.20610811030337214
VALIDATION,INCOMPLETE,C7,5,13,0.0173155385320091,0.34858557372934634,0.43198133784157133,0.3688846596054068,0.20610811030337214
VALIDATION,INCOMPLETE,C8,6,13,-0.010730873146040132,0.4209178738422676,0.46039387761060896,0.4487350077542235,0.21911887025903282
VALIDATION,INCOMPLETE,C9,7,13,0.023289197313354524,0.45782631648760064,0.46039387761060896,0.45218273253602387,0.21911887025903282
VALIDATION,INCOMPLETE,C10,8,13,0.059213209608878346,0.46825353752959614,0.4702984400765621,0.5256241787122096,0.21911887025903282
VALIDATION,STALLED_MIXED,C3,1,24,0.0,0.1640303175462636,0.14737656317664868,0.13749351623491662,0.09464449294489788
VALIDATION,STALLED_MIXED,C4,2,24,0.08979280896545365,0.3081193796783299,0.27314510757228644,0.27302021225244133,0.1603855101410933
VALIDATION,STALLED_MIXED,C5,3,24,0.02712600150475487,0.3775291076824747,0.3361322791521199,0.33176813717317144,0.23496509591149511
VALIDATION,STALLED_MIXED,C6,4,24,0.08010642573789341,0.45630724852594745,0.3846308127965916,0.3382207111488853,0.2700605082788291
VALIDATION,STALLED_MIXED,C7,5,24,0.14594548056762022,0.5404409890537414,0.4106529922869823,0.3382207111488853,0.2700605082788291
VALIDATION,STALLED_MIXED,C8,6,24,0.14422861329055398,0.5669425777065781,0.43982691909004745,0.3382207111488853,0.299211425959634
VALIDATION,STALLED_MIXED,C9,7,24,0.14265006787127515,0.6005810502643704,0.46950231654623575,0.3382207111488853,0.299211425959634
VALIDATION,STALLED_MIXED,C10,8,24,0.17794405831270635,0.635089919900206,0.4881150618368398,0.3664912524464159,0.34135993340080684
