candle,available_n,coverage_pct
C3,8276,99.62682075358131
C4,8275,99.61478271337427
C5,8289,99.78331527627303
C6,8287,99.75923919585891
C7,8279,99.66293487420248
C8,8286,99.74720115565187
C9,8288,99.77127723606597
C10,8272,99.5786685927531
