sample,direction,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q3,BEAR,107,101,41,60,40.59405940594059,1.1583459643850647,1.477240855508579,0.9453280596931202,1.167810242195662,68,37
2025Q3,BULL,52,51,26,25,50.98039215686274,1.1010746964145715,1.4273530545577378,0.6780882228148848,1.2336680621251215,43,16
OTHER_PREFERRED_QUARTERS,BEAR,348,340,199,141,58.529411764705884,1.8632456937438793,1.4899493256967538,1.4196599232857146,0.9915037259037798,105,107
OTHER_PREFERRED_QUARTERS,BULL,265,261,163,98,62.452107279693486,1.7464821293566026,1.4113740840571263,1.322338981346485,0.9007287714605485,102,74
