feature,state,sample,share_of_sample_binary_pct,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
market_prior_5d_consensus,CONSENSUS_OPPOSING,2025Q3,100.0,152,152,67,85,44.078947368421055,1.0861105765499428,1.4332238784244495,0.8238280026462019,1.1627175401783318,81,53
market_prior_5d_consensus,CONSENSUS_OPPOSING,OTHER_PREFERRED_QUARTERS,100.0,601,601,362,239,60.232945091514146,1.818459218573502,1.4520314342900524,1.378869509633828,0.9515435103476524,110,181
market_3idx_prior_5d_state,ALL_3_OPPOSING,2025Q3,77.63157894736842,118,118,54,64,45.76271186440678,1.0505196150409002,1.4785971648300429,0.7852398872354793,1.177297267565348,75,42
market_3idx_prior_5d_state,ALL_3_OPPOSING,OTHER_PREFERRED_QUARTERS,78.03660565723794,469,469,281,188,59.914712153518124,1.7546363219195629,1.4894397556036647,1.322338981346485,0.9611493322541367,110,143
market_3idx_prior_5d_state,MAJORITY_OPPOSING,2025Q3,22.36842105263158,34,34,13,21,38.23529411764706,1.2096321488460324,1.275751884428568,1.1447863708639767,1.0901985876469533,29,11
market_3idx_prior_5d_state,MAJORITY_OPPOSING,OTHER_PREFERRED_QUARTERS,21.96339434276206,132,132,81,51,61.36363636363637,2.0452239044121203,1.3191185350772927,1.5684271856343526,0.8634454557590303,77,38
relative_multi_horizon_state,MIXED,2025Q3,37.5,57,57,28,29,49.12280701754386,1.2274386418107253,1.389034020762951,1.096121416526136,1.196969696969694,42,37
relative_multi_horizon_state,MIXED,OTHER_PREFERRED_QUARTERS,33.11148086522463,199,199,125,74,62.814070351758794,1.7998548417656337,1.5331412507342508,1.3935867947503657,1.0026987296223957,91,112
relative_multi_horizon_state,RELATIVE_ALIGNED,2025Q3,35.526315789473685,54,54,18,36,33.333333333333336,0.9461820310882665,1.4596545663709646,0.7528246475116116,1.0674125874624987,45,36
relative_multi_horizon_state,RELATIVE_ALIGNED,OTHER_PREFERRED_QUARTERS,50.74875207986689,305,305,176,129,57.704918032786885,1.7431573680335302,1.4138842838632955,1.3068783068783063,0.9289714641301464,101,138
relative_multi_horizon_state,RELATIVE_OPPOSING,2025Q3,26.973684210526315,41,41,21,20,51.21951219512195,1.0739262286247213,1.4598474086096598,0.6802028967686263,1.2274069086954293,34,26
relative_multi_horizon_state,RELATIVE_OPPOSING,OTHER_PREFERRED_QUARTERS,16.139767054908486,97,97,61,36,62.88659793814433,2.093400820629763,1.4055781085969126,1.5525317867499395,0.8686210640607978,60,66
session_level_clear_state,ALL_3_CLEARED,2025Q3,100.0,152,152,67,85,44.078947368421055,1.0861105765499428,1.4332238784244495,0.8238280026462019,1.1627175401783318,81,53
session_level_clear_state,ALL_3_CLEARED,OTHER_PREFERRED_QUARTERS,100.0,601,601,362,239,60.232945091514146,1.818459218573502,1.4520314342900524,1.378869509633828,0.9515435103476524,110,181
exhaustion_state,MULTIPLE,2025Q3,44.73684210526316,68,68,29,39,42.64705882352941,1.202499657229694,1.6634058347832124,0.8877687539595747,1.478838545567882,49,33
exhaustion_state,MULTIPLE,OTHER_PREFERRED_QUARTERS,42.92845257903494,258,258,145,113,56.201550387596896,2.128395505976161,1.7131676867340322,1.641302699433774,1.2414008144749888,91,130
exhaustion_state,NONE,2025Q3,38.81578947368421,59,59,26,33,44.067796610169495,0.971150477107858,1.0944971251292854,0.7586586036283647,0.8164710141836059,46,36
exhaustion_state,NONE,OTHER_PREFERRED_QUARTERS,39.267886855241265,236,236,148,88,62.71186440677966,1.503825980054017,1.194163745938766,1.1695401156682337,0.8715279203297537,95,126
exhaustion_state,ONE,2025Q3,16.44736842105263,25,25,12,13,48.0,1.0408381117843404,1.6065240949052033,0.9007053716766139,1.167810242195662,21,20
exhaustion_state,ONE,OTHER_PREFERRED_QUARTERS,17.803660565723792,107,107,69,38,64.48598130841121,1.7650936311035268,1.3911306989662848,1.402137679242289,0.8054388050704159,70,75
