quarter,preferred_binary_n,neutral_binary_n,avoid_binary_n,preferred_ff_pct,neutral_ff_pct,avoid_ff_pct,preferred_minus_neutral_pp,neutral_minus_avoid_pp,preferred_minus_avoid_pp,strict_order_pass,missing_state
2025Q2,40,467,171,67.5,51.820128479657384,52.046783625730995,15.679871520342616,-0.22665514607361104,15.453216374269005,False,False
2025Q3,152,1055,383,44.078947368421055,49.573459715639814,39.947780678851174,-5.494512347218759,9.62567903678864,4.131166689569881,False,False
2025Q4,137,1059,457,62.043795620437955,52.124645892351275,50.54704595185996,9.91914972808668,1.577599940491318,11.496749668577998,True,False
2026Q1,175,1041,325,61.142857142857146,52.641690682036504,47.69230769230769,8.501166460820642,4.949382989728811,13.450549450549453,True,False
2026Q2,160,1053,380,56.25,51.851851851851855,42.89473684210526,4.398148148148145,8.957115009746595,13.35526315789474,True,False
2026Q3,89,692,282,59.550561797752806,47.6878612716763,41.48936170212766,11.862700526076509,6.198499569548638,18.061200095625146,True,False
