quarter,candidate_triage_state,total_n,binary_n,favorable_n,adverse_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
2025Q2,AVOID,174,171,89,82,52.046783625730995,1.127028559990725,1.1281111695600572,0.8441231984273998,0.7766314778908453,85,22
2025Q2,NEUTRAL,474,467,242,225,51.820128479657384,1.157427562365284,1.1862645847389475,0.8362846089646527,0.9270990807231534,108,25
2025Q2,PREFERRED,41,40,27,13,67.5,1.7101188818212283,1.1396983909149538,1.291822761917065,0.8251221661459595,35,15
2025Q3,AVOID,393,383,153,230,39.947780678851174,0.9978260093423468,1.3557240904984507,0.7520430502866119,0.9772930340076726,105,63
2025Q3,NEUTRAL,1073,1055,523,532,49.573459715639814,1.2119997524619184,1.1719705715098174,0.8809717525615894,0.8722436524843197,112,64
2025Q3,PREFERRED,159,152,67,85,44.078947368421055,1.1396157383821361,1.4609253482793731,0.8540634344680269,1.167810242195662,83,53
2025Q4,AVOID,471,457,231,226,50.54704595185996,1.4692093291592516,1.2286964845332737,1.0023217622742002,0.8589369529366939,110,62
2025Q4,NEUTRAL,1090,1059,552,507,52.124645892351275,1.3469889978025278,1.2836400005125148,0.9598475487801673,0.8637044689871631,112,64
2025Q4,PREFERRED,141,137,85,52,62.043795620437955,1.445051960596305,1.5056271938378551,1.0905467559423188,0.9344733087547196,79,44
2026Q1,AVOID,331,325,155,170,47.69230769230769,1.3372554169739719,1.5486103257661985,0.9969630970275161,1.1483389253816014,109,57
2026Q1,NEUTRAL,1060,1041,548,493,52.641690682036504,1.6876406107980568,1.4525710882269507,1.231924702805316,1.0900750674625792,112,61
2026Q1,PREFERRED,178,175,107,68,61.142857142857146,2.0559238932779893,1.24520793591981,1.5847597751886076,0.8845456564107865,87,43
2026Q2,AVOID,389,380,163,217,42.89473684210526,1.6346556042556868,1.7579672386921712,1.1977033052004813,1.1883418743752892,108,60
2026Q2,NEUTRAL,1074,1053,546,507,51.851851851851855,1.7950627723231887,1.546702792744384,1.1799271730012801,1.0694952987343949,112,62
2026Q2,PREFERRED,164,160,90,70,56.25,1.8485867694856253,1.3690501426946637,1.5501119062269844,1.0163030956366093,78,47
2026Q3,AVOID,296,282,117,165,41.48936170212766,1.596156326134808,1.4791568963919182,1.1426011310297293,1.1319963244996556,96,41
2026Q3,NEUTRAL,710,692,330,362,47.6878612716763,1.5869476026950304,1.5676994114229732,1.1108455819938845,1.1291204741408014,112,41
2026Q3,PREFERRED,89,89,53,36,59.550561797752806,1.8903076618482666,2.104766216441653,1.3590679913347568,1.298408674834534,64,32
