symbol,status,rows,first_date,last_date,duplicate_dates,missing_ohlc_rows,elapsed_seconds
AAPL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.7
ABBV,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ABNB,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ADBE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AMAT,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AMD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AMGN,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AMZN,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ANET,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
APP,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ARM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ASML,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AVGO,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AXON,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
AXP,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
BA,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
BAC,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
BKNG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
BLK,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
BMY,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
C,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CAT,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CEG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CMCSA,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CME,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CMG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
COIN,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
COP,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
COST,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CRM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CRWD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CSCO,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CVS,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
CVX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
DASH,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
DDOG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
DE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
DELL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
DIS,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
EOG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ETN,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
FDX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
GE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
GILD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
GOOG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
GS,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
HAL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
HD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
HON,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
HOOD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
IBM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
INTC,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ISRG,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
IWM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
JNJ,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
JPM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
KLAC,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
LLY,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
LMT,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
LOW,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
LRCX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
LULU,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MA,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MCD,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
META,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MNDY,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MRK,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MRNA,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MRVL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MS,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MSFT,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
MU,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
NEE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
NFLX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
NKE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
NOW,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
NVDA,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
ORCL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
OXY,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
PANW,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
PEP,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
PFE,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
PLTR,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
PYPL,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
QCOM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
QQQ,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
RBLX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
REGN,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
RTX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SBUX,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SCHW,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SHOP,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SLB,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SNOW,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
SPY,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
T,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
TEAM,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
TGT,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
TMO,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.2
TMUS,SUCCESS,394,2025-02-03,2026-08-27,0,0,0.3
